row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.0716102881,0.003220488989,3
MeanDiff,LogReg,0.4915688106,0,3
MeanDiff,PCA,0.2304828082,9.46085995e-07,3
MeanDiff,Random,0.02293930516,0.01978995069,3
KMeans,MeanDiff,0.0716102881,0.003220488989,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.008048515533,0.001763718142,3
KMeans,PCA,0.9551606609,0.003351098384,3
KMeans,Random,0.02704637356,0.02338550772,3
LogReg,MeanDiff,0.4915688106,0,3
LogReg,KMeans,0.008048515533,0.001763718142,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.03439671755,6.708856186e-07,3
LogReg,Random,0.01779589228,0.01169157627,3
PCA,MeanDiff,0.2304828082,9.46085995e-07,3
PCA,KMeans,0.9551606609,0.003351098384,3
PCA,LogReg,0.03439671755,6.708856186e-07,3
PCA,PCA,1,0,3
PCA,Random,0.03038482219,0.02662306361,3
Random,MeanDiff,0.02293930516,0.01978995069,3
Random,KMeans,0.02704637356,0.02338550772,3
Random,LogReg,0.01779589228,0.01169157627,3
Random,PCA,0.03038482219,0.02662306361,3
Random,Random,1,0,3
