projection,y,level
-2.447227267,0,neutral
-5.938271478,0,neutral
-1.1143131,0,neutral
2.391637315,1,positive
-2.053878039,1,positive
9.162052569,1,positive
-1.281757147,0,neutral
-5.964984622,0,neutral
1.96369013,1,positive
2.935317142,1,positive
2.347734497,1,positive
-11.25359673,0,neutral
-8.554873747,0,neutral
-8.422612177,0,neutral
7.302202121,1,positive
10.60325417,1,positive
10.32562636,1,positive
0.637288476,0,neutral
-2.327870433,0,neutral
-5.112198861,0,neutral
0.3746213079,1,positive
0.3025198558,1,positive
6.125639654,1,positive
-1.503673793,0,neutral
-6.637038924,0,neutral
-7.822115396,0,neutral
1.514510263,1,positive
4.56081556,1,positive
9.88750229,1,positive
-5.851578334,0,neutral
0.5138991342,0,neutral
-6.340201556,0,neutral
3.447054742,1,positive
2.075900226,1,positive
6.154925788,1,positive
-2.373316792,0,neutral
-5.980741716,0,neutral
-2.710052673,0,neutral
6.750281967,1,positive
-1.180910012,1,positive
5.494739227,1,positive
-2.741286188,0,neutral
-2.678560649,0,neutral
2.787644808,0,neutral
1.743020275,1,positive
-1.845023221,1,positive
2.734204976,1,positive
-2.696753694,0,neutral
-2.488226253,0,neutral
-2.258501628,0,neutral
0.4459387283,1,positive
2.645952432,1,positive
4.351590415,1,positive
-2.640859499,0,neutral
-3.702278081,0,neutral
-4.95343807,0,neutral
-3.629110261,1,positive
14.92568591,1,positive
1.332491938,0,neutral
-8.564517365,0,neutral
-3.664969018,0,neutral
4.95642046,1,positive
2.10453907,1,positive
3.836034915,1,positive
-1.173941909,0,neutral
-6.57756602,0,neutral
-5.030949502,0,neutral
2.978427104,1,positive
4.872115639,1,positive
4.931914688,1,positive
-14.99089434,0,neutral
-15.73323085,0,neutral
-16.25535203,0,neutral
14.01786624,1,positive
18.02705416,1,positive
14.93455683,1,positive
-3.898968848,0,neutral
-5.571787841,0,neutral
-5.171370639,0,neutral
3.828138936,1,positive
10.81398839,1,positive
-8.170546423,0,neutral
-9.334071817,0,neutral
2.166644653,0,neutral
5.587915376,1,positive
-0.9371008743,1,positive
10.68715909,1,positive
-4.720872146,0,neutral
-12.80456511,0,neutral
-16.00200458,0,neutral
12.21305094,1,positive
