model,params_b,instruct,trait,token_pooling,n_seeds,apex_angle_deg,apex_angle_ci_lo,apex_angle_ci_hi,step_cosine,step_cosine_null_p,midpoint_residual,midpoint_residual_null_p,spearman_within_scenario,probe_r2_within_scenario,markedness_reliability_R,shared_bend_r2_cv
gemma-2-2b,2.0,False,politeness,avg,3,73.19302697,68.0480259,78.04456354,-0.2891483096,0.000999000999,0.6610418716,0.000999000999,0.8948961431,0.9182455837,0.93615,0.1663102497
gemma-2-2b,2.0,False,politeness,last,3,76.76572609,70.13100517,82.53763577,-0.2289332152,0.000999000999,0.6133574861,0.000999000999,0.8472459471,0.8581286457,0.8891384588,0.1102405885
qwen2.5-0.5b,0.5,False,politeness,avg,3,36.1890527,28.99182206,49.69597923,-0.8070731495,0.000999000999,1.412837636,0.000999000999,0.5842605141,0.8757251246,0.9762143195,0.2402928222
qwen2.5-0.5b,0.5,False,politeness,last,3,58.99534534,53.60306341,67.02828197,-0.5151077064,0.000999000999,0.8235428705,0.000999000999,0.7522183615,0.793159829,0.9249360411,0.1590241908
qwen2.5-1.5b,1.5,False,politeness,avg,3,25.84950266,19.18648327,45.08593807,-0.8999424052,0.000999000999,2.04208471,0.000999000999,0.3047248222,0.8945706096,0.9843612514,0.186686843
qwen2.5-1.5b,1.5,False,politeness,last,3,58.67880575,53.68054963,66.49447013,-0.5198351483,0.000999000999,0.8249266615,0.000999000999,0.7489446839,0.84272819,0.9211070172,0.1551957973
qwen2.5-1.5b-instruct,1.5,True,politeness,avg,3,23.64973949,17.66404569,40.59366075,-0.9160148289,0.000999000999,2.131676057,0.000999000999,0.2635310459,0.9057893407,0.9856977863,0.1976644921
qwen2.5-1.5b-instruct,1.5,True,politeness,last,3,60.53169253,55.38161729,68.26618283,-0.4919420531,0.000999000999,0.8015803786,0.000999000999,0.77240604,0.8316152618,0.911377559,0.1357166788
qwen2.5-3b,3.0,False,politeness,avg,3,35.8248123,30.83353639,43.99180211,-0.8108104252,0.000999000999,1.385122519,0.000999000999,0.6196344192,0.915885108,0.9826135329,0.3616109882
qwen2.5-3b,3.0,False,politeness,last,3,66.78855601,61.45401047,73.5547701,-0.3941254887,0.000999000999,0.7248600472,0.000999000999,0.8234208491,0.8799823655,0.9245210424,0.1540863013
qwen2.5-7b,7.0,False,politeness,avg,3,31.45900833,19.261274,81.87229027,-0.8530137372,0.000999000999,1.597166821,0.000999000999,0.3983883755,0.9115600571,0.912232812,0.04344565631
qwen2.5-7b,7.0,False,politeness,last,3,71.30341417,65.92173756,77.37825056,-0.3205565455,0.000999000999,0.6698450597,0.000999000999,0.8469731406,0.8782052135,0.9053527696,0.1301935042
