scenario_id,cos_valence,capture_valence,cos_bend
politeness-apology-003,0.4854618181,0.2356731768,0.3086426213
politeness-apology-013,0.4607801077,0.2123183076,0.5110316587
politeness-apology-043,0.4951963176,0.245219393,0.3323114515
politeness-apology-057,0.2713141201,0.07361135176,0.3226467038
politeness-apology-065,0.3522065303,0.12404944,0.4524134884
politeness-apology-067,0.3994604298,0.159568635,0.5029113026
politeness-apology-081,0.4880136137,0.2381572872,0.4654790613
politeness-apology-098,0.3907573339,0.152691294,0.2003956128
politeness-bad-news-delivery-020,0.3652122645,0.1333799981,0.4890038658
politeness-bad-news-delivery-028,0.4583147886,0.2100524455,0.5538157081
politeness-bad-news-delivery-066,0.4718507571,0.222643137,0.6508905086
politeness-bad-news-delivery-073,0.4324807015,0.1870395571,0.5889757451
politeness-complaint-030,0.5564469186,0.3096331732,0.5526936008
politeness-complaint-032,0.5779816206,0.3340627537,0.5773853031
politeness-complaint-040,0.6089776608,0.3708537913,0.6043266763
politeness-complaint-049,0.6511291551,0.4239691767,0.6382987319
politeness-complaint-063,0.5453386172,0.2973942074,0.3497280713
politeness-complaint-072,0.5384336579,0.289910804,0.5461191225
politeness-complaint-089,0.5663065174,0.3207030716,0.6871169867
politeness-correction-002,0.5605327764,0.3141969934,0.3679908679
politeness-correction-005,0.4280829255,0.1832549911,0.3827470827
politeness-correction-007,0.283610401,0.08043485954,0.4271353344
politeness-correction-024,0.5887198089,0.3465910134,0.3931882115
politeness-correction-027,0.3521518199,0.1240109042,0.1653898878
politeness-correction-045,0.6414531872,0.4114621914,0.5961179528
politeness-correction-051,0.3604429532,0.1299191225,0.4647676144
politeness-correction-076,0.2835446154,0.08039754894,0.5329515155
politeness-correction-087,0.4873640445,0.2375237119,0.3511527871
politeness-criticism-or-feedback-023,0.4456854385,0.1986355101,0.06192441616
politeness-criticism-or-feedback-036,0.4595926086,0.2112253659,0.431299791
politeness-criticism-or-feedback-041,0.4509419296,0.2033486239,0.1932211148
politeness-criticism-or-feedback-050,0.5419110432,0.2936675787,0.4383127439
politeness-criticism-or-feedback-054,0.3368639481,0.1134773195,0.4816704486
politeness-criticism-or-feedback-071,0.3720144591,0.1383947578,0.5605504657
politeness-criticism-or-feedback-099,0.4379639497,0.1918124212,0.4716202009
politeness-criticism-or-feedback-100,0.3241187625,0.1050529722,0.4472374506
politeness-disagreement-012,0.4712090818,0.2220379988,0.01064091926
politeness-disagreement-035,0.6069587339,0.3683989047,0.05269748666
politeness-disagreement-047,0.5079498374,0.2580130373,0.1330294538
politeness-disagreement-048,0.5451622649,0.297201895,0.4063152825
politeness-disagreement-075,0.4636661137,0.214986265,0.1726786923
politeness-disagreement-086,0.4004422685,0.1603540104,-0.07401092373
politeness-inquiry-sensitive-008,0.4748673372,0.225498988,0.404763084
politeness-inquiry-sensitive-009,0.5976110254,0.3571389377,0.4388836688
politeness-inquiry-sensitive-016,0.4809306269,0.2312942679,0.4253197159
politeness-inquiry-sensitive-092,0.3740317829,0.1398997746,0.1531899272
politeness-refusal-038,0.5088713,0.2589499999,0.4400022809
politeness-refusal-058,0.5214438473,0.2719036859,0.5330273501
politeness-refusal-064,0.5924238136,0.350965975,0.5307764072
politeness-refusal-069,0.5851644116,0.3424173886,0.4547443476
politeness-refusal-077,0.5467775937,0.2989657369,0.4754808412
politeness-refusal-080,0.5796217327,0.335961353,0.492858878
politeness-refusal-083,0.4783765302,0.2288441046,0.3455679855
politeness-refusal-090,0.6437807662,0.4144536749,0.5483419621
politeness-reminder-017,0.4367704098,0.1907683909,0.509198637
politeness-reminder-018,0.652447923,0.4256882922,0.595622227
politeness-reminder-019,0.559848296,0.3134301145,0.4226907347
politeness-reminder-021,0.4762761528,0.2268389738,0.5362123152
politeness-reminder-079,0.5668519984,0.3213211881,0.3500122323
politeness-reminder-094,0.4487135359,0.2013438373,0.4570818404
politeness-request-001,0.4977963407,0.2478011968,0.4911590234
politeness-request-006,0.6584234107,0.4335213878,0.3727479678
politeness-request-025,0.555428614,0.3085009452,0.3988217802
politeness-request-029,0.6110906528,0.373431786,0.4310107628
politeness-request-031,0.6500645109,0.4225838683,0.386396564
politeness-request-037,0.6336290431,0.4014857643,0.4575898281
politeness-request-053,0.4507132407,0.2031424254,0.2259570544
politeness-request-056,0.3962567462,0.1570194089,0.2917594126
politeness-request-061,0.6244448389,0.3899313568,0.483124908
politeness-request-074,0.4071309865,0.1657556401,0.4789981075
politeness-request-093,0.403354258,0.1626946574,0.3147220744
politeness-request-097,0.5893190838,0.3472969825,0.4772962955
