split,cosine
0,0.889084788
1,0.886450143
2,0.8989312616
3,0.891910636
4,0.8787389431
5,0.8859425808
6,0.8954607143
7,0.8815238581
8,0.8834983315
9,0.8632581783
10,0.8829123732
11,0.8760419149
12,0.8720883496
13,0.8414934017
14,0.8610126659
15,0.8790847977
16,0.881242971
17,0.8743466862
18,0.8584775382
19,0.8767313665
20,0.8859203615
21,0.8835156437
22,0.8527734259
23,0.8782682985
24,0.8675064557
25,0.8535477752
26,0.8286642769
27,0.8783675702
28,0.8680411416
29,0.8947188288
30,0.8974818007
31,0.8836498446
32,0.8970821495
33,0.8958832575
34,0.8547585973
35,0.9022893029
36,0.8919518076
37,0.8838672702
38,0.8674130284
39,0.8817108903
40,0.8847775157
41,0.8804570666
42,0.8976668781
43,0.874731917
44,0.8798924915
45,0.868468417
46,0.8532016982
47,0.8895158623
48,0.8740915465
49,0.8804108604
50,0.8781237376
51,0.8854242182
52,0.889561016
53,0.8854312242
54,0.866223151
55,0.8569636658
56,0.875896018
57,0.8770974319
58,0.8682698539
59,0.8867741185
60,0.8807154149
61,0.8754087661
62,0.8860621311
63,0.8811082305
64,0.8713367852
65,0.8485966754
66,0.8828267329
67,0.8921799347
68,0.8910387634
69,0.8968548784
70,0.8953032095
71,0.886683747
72,0.8543060093
73,0.8534063187
74,0.91069215
75,0.8842671029
76,0.8800430325
77,0.8793303553
78,0.8987416416
79,0.8611867013
80,0.8835279031
81,0.8899837746
82,0.8840454891
83,0.8377411644
84,0.8609580293
85,0.8701118991
86,0.8840968157
87,0.8721748521
88,0.8982218706
89,0.8752555668
90,0.9007956708
91,0.8694186596
92,0.9041574273
93,0.8945440341
94,0.8425553202
95,0.8900408766
96,0.8828847079
97,0.8889880149
98,0.8989942228
99,0.8627975535
100,0.8870290977
101,0.8213145257
102,0.9072680905
103,0.8696976183
104,0.8775753699
105,0.8767310517
106,0.8711875762
107,0.8728347292
108,0.8847456622
109,0.8695803566
110,0.8787876496
111,0.863622855
112,0.8962471717
113,0.8791885307
114,0.8855796184
115,0.891990021
116,0.8563355206
117,0.9025364527
118,0.8822132061
119,0.8903505801
120,0.8821969687
121,0.8486613567
122,0.8753691595
123,0.8396959104
124,0.8789229414
125,0.8940312713
126,0.8463749184
127,0.8887365072
128,0.8778355021
129,0.8872827693
130,0.8674774944
131,0.8734680061
132,0.8875091278
133,0.8588617944
134,0.9009975797
135,0.8774900934
136,0.8732492557
137,0.8640249504
138,0.8455002627
139,0.8893037314
140,0.8934302501
141,0.8716526599
142,0.8773754632
143,0.868042867
144,0.8691146047
145,0.8832713139
146,0.8925958752
147,0.8662399273
148,0.8493892938
149,0.888496334
150,0.8657253873
151,0.8660405497
152,0.8878630616
153,0.8569388417
154,0.88264214
155,0.8726921088
156,0.8915988417
157,0.87867555
158,0.8390480768
159,0.8580509233
160,0.8557034505
161,0.8781561667
162,0.8928986678
163,0.8987572907
164,0.8848887836
165,0.8966602818
166,0.8680715571
167,0.8688283339
168,0.8852290561
169,0.8913584891
170,0.8707544254
171,0.8808007316
172,0.8982861047
173,0.859972034
174,0.8990933786
175,0.8837419614
176,0.8422276019
177,0.8881303919
178,0.8771734473
179,0.892843307
180,0.8902565221
181,0.860175893
182,0.8515042526
183,0.7968922221
184,0.8764833451
185,0.8992279443
186,0.8963480441
187,0.8705482582
188,0.8806970376
189,0.8760604066
190,0.8982195176
191,0.894217773
192,0.8791822597
193,0.8655910563
194,0.8773554002
195,0.8803846558
196,0.8854860833
197,0.8612181238
198,0.8787643059
199,0.8816007828
200,0.8896787233
201,0.8791596858
202,0.8752678772
203,0.8899130922
204,0.8573560991
205,0.8819046344
206,0.8719584387
207,0.8864631129
208,0.8858309838
209,0.8943238451
210,0.9014701923
211,0.899779125
212,0.9023668651
213,0.8654777812
214,0.8862158041
215,0.8839892038
216,0.879962403
217,0.8903689971
218,0.885692672
219,0.8931836263
220,0.9070398677
221,0.8479309442
222,0.8823385078
223,0.8706227257
224,0.873732249
225,0.8946307675
226,0.8845616155
227,0.8936677324
228,0.9001625161
229,0.9061844124
230,0.8813609785
231,0.8709859675
232,0.8403307193
233,0.888869769
234,0.86577526
235,0.8968061871
236,0.8893958763
237,0.8684032925
238,0.9075301795
239,0.8986595014
240,0.860296692
241,0.8591916517
242,0.8597670399
243,0.8471772054
244,0.8892329038
245,0.8687209099
246,0.8902285467
247,0.8772635514
248,0.8832661654
249,0.8901874637
250,0.8705512207
251,0.8750550013
252,0.8902134184
253,0.856968441
254,0.8821265764
255,0.8579969117
256,0.8824180133
257,0.8645194545
258,0.8697888349
259,0.8896467184
260,0.8758939832
261,0.8907432635
262,0.8401308602
263,0.8852555299
264,0.8366517975
265,0.8931894635
266,0.8907357605
267,0.9155960842
268,0.8984947272
269,0.8845156718
270,0.9022899922
271,0.8579942139
272,0.8888188646
273,0.8455806893
274,0.892770003
275,0.8899274022
276,0.8504775179
277,0.8950744157
278,0.8644198008
279,0.872463694
280,0.8509394922
281,0.8821562982
282,0.8829402842
283,0.8646002212
284,0.8637302256
285,0.85431848
286,0.8700980066
287,0.8903152174
288,0.8838340434
289,0.8753874023
290,0.8796373499
291,0.839200886
292,0.8638201221
293,0.8742185701
294,0.8715410025
295,0.8967709223
296,0.8879269135
297,0.8841071171
298,0.8966144101
299,0.8936016426
