scenario_id,theta1_deg,theta2_deg,overlap
politeness-apology-003,60.35340875,71.51712289,0.1725899251
politeness-apology-013,47.04535945,74.34051296,0.2685943472
politeness-apology-043,60.01069311,70.37153077,0.1813401909
politeness-apology-057,70.54955441,74.10025583,0.09296730506
politeness-apology-065,55.85496393,69.70808492,0.2176593293
politeness-apology-067,59.66598174,66.4624357,0.2072730831
politeness-apology-081,54.19819489,71.28429576,0.2225823008
politeness-apology-098,65.42219686,78.88459715,0.1050814398
politeness-bad-news-delivery-020,55.31355545,67.73385675,0.2337150255
politeness-bad-news-delivery-028,48.03529918,76.31342486,0.251553812
politeness-bad-news-delivery-066,45.73251864,68.5583455,0.3104229729
politeness-bad-news-delivery-073,48.81181972,67.58756652,0.2895174521
politeness-complaint-030,52.41013366,60.66437619,0.306066107
politeness-complaint-032,44.79186257,67.06811474,0.3277246393
politeness-complaint-040,45.50951507,59.59290405,0.3736430203
politeness-complaint-049,46.36881475,52.14909473,0.4263172846
politeness-complaint-063,50.19494154,71.59011339,0.2547824837
politeness-complaint-072,55.2975892,56.90721248,0.3111153721
politeness-complaint-089,43.18504556,57.81173699,0.4077140744
politeness-correction-002,53.19180228,70.58263917,0.2347437428
politeness-correction-005,63.87642519,67.03084708,0.1730777141
politeness-correction-007,63.50925398,74.48683199,0.1352491391
politeness-correction-024,51.75659544,66.91059108,0.2684802047
politeness-correction-027,59.51604954,88.098057,0.1292258731
politeness-correction-045,49.00341379,53.73470438,0.3901280865
politeness-correction-051,62.25456265,68.82966436,0.1735773356
politeness-correction-076,57.48992264,72.38806468,0.1901989749
politeness-correction-087,55.82788092,75.74192085,0.1880720565
politeness-criticism-or-feedback-023,59.50818695,86.73184838,0.1303601306
politeness-criticism-or-feedback-036,55.0085881,72.45446322,0.2098647198
politeness-criticism-or-feedback-041,61.98455083,75.03240781,0.1436659467
politeness-criticism-or-feedback-050,55.69033979,64.92738236,0.2486483604
politeness-criticism-or-feedback-054,54.19340498,73.84473846,0.2098514333
politeness-criticism-or-feedback-071,47.98329196,77.40102198,0.2478023347
politeness-criticism-or-feedback-099,56.21609176,67.54436843,0.2275523235
politeness-criticism-or-feedback-100,58.55988769,75.14534339,0.1688992248
politeness-disagreement-012,59.10717348,84.91230512,0.1357392474
politeness-disagreement-035,51.39297412,85.88454369,0.1972478823
politeness-disagreement-047,57.99135685,81.92436808,0.150342348
politeness-disagreement-048,56.53457429,65.72320235,0.2365597629
politeness-disagreement-075,62.15751321,80.3049758,0.1232442453
politeness-disagreement-086,62.66895473,87.80474077,0.1061342686
politeness-inquiry-sensitive-008,57.81013255,66.17584014,0.2234789816
politeness-inquiry-sensitive-009,49.71948053,64.26874897,0.3032441291
politeness-inquiry-sensitive-016,54.35607632,62.74789172,0.2746357672
politeness-inquiry-sensitive-092,66.3195683,82.23435131,0.08978426384
politeness-refusal-038,57.32595958,65.40789433,0.2323165713
politeness-refusal-058,54.9057249,60.66769029,0.2852568541
politeness-refusal-064,48.95584485,62.84182088,0.319761009
politeness-refusal-069,54.03442804,62.73136635,0.2774167451
politeness-refusal-077,51.94340299,63.93291809,0.2865452292
politeness-refusal-080,52.8960043,61.54566799,0.2954696709
politeness-refusal-083,58.39780143,73.49289391,0.1776638792
politeness-refusal-090,48.0731044,58.40163971,0.3605013514
politeness-reminder-017,57.78767228,64.41526309,0.2353208567
politeness-reminder-018,46.83130758,56.4160079,0.3870220471
politeness-reminder-019,55.84226671,65.10451717,0.2462314887
politeness-reminder-021,54.59368658,64.92508768,0.257639806
politeness-reminder-079,54.36718394,71.47814709,0.2201606732
politeness-reminder-094,55.90359266,67.90422694,0.2278755658
politeness-request-001,58.67803162,60.72658168,0.2546699419
politeness-request-006,46.77551933,64.24535952,0.3289186237
politeness-request-025,56.18691757,66.50356494,0.2343156262
politeness-request-029,47.66339472,65.78712009,0.3108934794
politeness-request-031,49.2055335,63.28443499,0.314484323
politeness-request-037,48.21301575,59.90486045,0.3477395987
politeness-request-053,62.20520863,76.94100353,0.1342484032
politeness-request-056,65.54943719,72.78486328,0.129456172
politeness-request-061,50.27909482,61.10755489,0.3209166406
politeness-request-074,58.40109248,67.83509718,0.2084397761
politeness-request-093,63.12717386,74.87773782,0.1361863782
politeness-request-097,48.61722194,60.85556787,0.3371083424
