split,cosine
0,0.9247199124
1,0.9274694218
2,0.9214745688
3,0.9284020563
4,0.8955830468
5,0.9268714633
6,0.9296071643
7,0.9126115353
8,0.9376619242
9,0.9019322164
10,0.9258309555
11,0.9355213089
12,0.9052357173
13,0.8946104523
14,0.9301484664
15,0.9345776105
16,0.9213302537
17,0.9324720403
18,0.9158646223
19,0.902787594
20,0.9370529161
21,0.9301062817
22,0.8591941324
23,0.9183644545
24,0.8753836793
25,0.9221917619
26,0.8562796845
27,0.9190645256
28,0.9198990239
29,0.9002615069
30,0.9172264195
31,0.9010226035
32,0.925359616
33,0.9093657725
34,0.9370049453
35,0.9298773656
36,0.9350399596
37,0.9325633847
38,0.9063254151
39,0.9309677643
40,0.9173161833
41,0.9272766573
42,0.917299683
43,0.908585748
44,0.9335345376
45,0.9101872435
46,0.9148888881
47,0.9129136917
48,0.9036234283
49,0.9207004128
50,0.8905723585
51,0.9254311038
52,0.9378025498
53,0.941544294
54,0.9391099677
55,0.9104863595
56,0.9115833325
57,0.904917031
58,0.9167285143
59,0.919017306
60,0.909653996
61,0.9300933314
62,0.9058226827
63,0.9306904548
64,0.9213153326
65,0.9205329309
66,0.9151645678
67,0.9263153825
68,0.936090766
69,0.9146421172
70,0.926426819
71,0.9066734136
72,0.9121141004
73,0.9218885838
74,0.9289791436
75,0.9076451056
76,0.9049615352
77,0.8811851911
78,0.9145358882
79,0.9144054428
80,0.8903854088
81,0.9379680831
82,0.9159090896
83,0.8765438019
84,0.9268716823
85,0.9285415256
86,0.9145989381
87,0.92690874
88,0.9091282155
89,0.9153990971
90,0.9346162021
91,0.9363660083
92,0.9186048538
93,0.9302731189
94,0.8985267371
95,0.9469036713
96,0.8638099763
97,0.9320929065
98,0.9215448564
99,0.9141988595
100,0.8901613692
101,0.9194572224
102,0.9327562967
103,0.8939669517
104,0.9211792313
105,0.9117941295
106,0.9228408631
107,0.896825769
108,0.9296223882
109,0.9044336139
110,0.9339713327
111,0.8888062008
112,0.8939845711
113,0.9259537573
114,0.9182009665
115,0.9375910282
116,0.9003910976
117,0.9054512084
118,0.9113255187
119,0.9173408104
120,0.9145724899
121,0.9065933627
122,0.9065730028
123,0.8864625557
124,0.9188545865
125,0.9195628153
126,0.9022113024
127,0.9174119181
128,0.9244467656
129,0.9243652303
130,0.9116834321
131,0.9260705739
132,0.9271361599
133,0.9273380735
134,0.9146613023
135,0.9241277386
136,0.8902243335
137,0.9258115732
138,0.8962910564
139,0.9155858786
140,0.9288683437
141,0.9011405515
142,0.9202386025
143,0.936703815
144,0.9296650892
145,0.9030112103
146,0.9174495043
147,0.915446014
148,0.8883440699
149,0.9197174157
150,0.9124855178
151,0.9051805256
152,0.9217508213
153,0.910701242
154,0.9142782656
155,0.9294263244
156,0.919729761
157,0.9077902758
158,0.9115941991
159,0.9036524858
160,0.8984194258
161,0.93185474
162,0.9089778699
163,0.925397384
164,0.9383153769
165,0.9114651905
166,0.9099986504
167,0.8544579477
168,0.9120282288
169,0.9263961757
170,0.8774373211
171,0.927879336
172,0.9317118361
173,0.9287919557
174,0.9249507837
175,0.8987224279
176,0.9035668123
177,0.9097666332
178,0.9447078505
179,0.8903647689
180,0.9309258145
181,0.9235232669
182,0.9188119247
183,0.8987751642
184,0.944785916
185,0.9107624079
186,0.9126907192
187,0.9189478033
188,0.9223024111
189,0.9264383123
190,0.9389114603
191,0.9070138513
192,0.9350907076
193,0.9068203519
194,0.917328226
195,0.8929066661
196,0.9367433789
197,0.9220151021
198,0.9264752654
199,0.9217290949
200,0.9069574961
201,0.9225854541
202,0.8777492877
203,0.9309213115
204,0.9172718422
205,0.9347938404
206,0.9318771393
207,0.9202350431
208,0.8872376603
209,0.9189724569
210,0.9128733744
211,0.9194314042
212,0.920388188
213,0.9004094603
214,0.944616178
215,0.8968936882
216,0.9116852978
217,0.9153253018
218,0.8790326818
219,0.9258958172
220,0.9422062214
221,0.9217789021
222,0.9227169978
223,0.9098262663
224,0.898480471
225,0.8943282543
226,0.9182646526
227,0.9015820105
228,0.9088644833
229,0.8947983192
230,0.9036905495
231,0.9352406053
232,0.902627642
233,0.909921015
234,0.8873931952
235,0.9349892912
236,0.9299099338
237,0.9108950708
238,0.9123818673
239,0.9238043451
240,0.8989238792
241,0.9332995376
242,0.9269602717
243,0.8654361984
244,0.9200474069
245,0.9015858853
246,0.8996695625
247,0.921245943
248,0.9342479655
249,0.92131833
250,0.9286580971
251,0.902731541
252,0.9238550304
253,0.887077272
254,0.9257750237
255,0.9101526062
256,0.9100136123
257,0.8774024748
258,0.914488719
259,0.9377210936
260,0.9174185848
261,0.9168151625
262,0.9235122939
263,0.9245943771
264,0.9258018568
265,0.9310312287
266,0.926345748
267,0.9159907292
268,0.9265665989
269,0.9227536738
270,0.9371579975
271,0.9235235408
272,0.90780838
273,0.8847312287
274,0.9062531608
275,0.9103673062
276,0.902067496
277,0.9367298267
278,0.925853916
279,0.8869430424
280,0.9108538269
281,0.8875047435
282,0.9159119813
283,0.8989809245
284,0.9308505745
285,0.9103464307
286,0.9409318567
287,0.9399620104
288,0.9221952394
289,0.8891602765
290,0.9155753639
291,0.8708641839
292,0.9209016597
293,0.8916727554
294,0.9082335455
295,0.9110179953
296,0.9092776901
297,0.906669352
298,0.9105916965
299,0.9006191241
