draw,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
0,0.6774803876,0.2249948045,0.639028179,1.278056358,71.89084093,5.007592001,-0.3108283713
1,0.6788826811,0.228057826,0.6394304674,1.278860935,71.74764437,5.017586335,-0.3132028517
2,0.7034420838,0.2402912679,0.6611284836,1.322256967,69.67927418,5.166529133,-0.3472748949
3,0.6886085151,0.1506924387,0.6719177598,1.34383552,71.5490053,5.03151649,-0.3164934355
4,0.6644104972,0.2290751948,0.6236712788,1.247342558,72.93567767,4.935855969,-0.2934451028
5,0.6681336904,0.2338871891,0.6258589387,1.251717877,72.57746822,4.960217115,-0.2994160277
6,0.6897177365,0.2183369234,0.6542473109,1.308494622,70.96593866,5.072856173,-0.3261301912
7,0.6305570479,0.1999620734,0.5980111704,1.196022341,76.13527037,4.728426106,-0.2396304394
8,0.6615602722,0.2210812662,0.6235263166,1.247052633,73.24984221,4.914686355,-0.2881989052
9,0.6636456188,0.2018097012,0.6322170132,1.264434026,73.23755388,4.915510977,-0.2884042706
10,0.6928777613,0.2947935242,0.6270377742,1.254075548,69.85034784,5.153875552,-0.3444733786
11,0.6556441285,0.1845759012,0.6291271413,1.258254283,74.04461769,4.861933402,-0.2748887132
12,0.6406372813,0.2356548276,0.595720512,1.191441024,74.92883636,4.804558798,-0.2600185635
13,0.6428327536,0.2290263356,0.6006503864,1.201300773,74.79637118,4.813067724,-0.2622502973
14,0.6443088717,0.2319315133,0.6011170395,1.202234079,74.63910349,4.823209058,-0.2648980754
15,0.6506552164,0.1892148229,0.6225351085,1.245070217,74.43951436,4.836141169,-0.2682555062
16,0.6645698285,0.2009533295,0.6334594038,1.266918808,73.16681653,4.92026327,-0.2895861903
17,0.6440748541,0.2504508177,0.5933858825,1.186771765,74.47561956,4.833796646,-0.2676483949
18,0.636325146,0.2477470375,0.586115259,1.172230518,75.195307,4.787532818,-0.255524948
19,0.6472398187,0.1636091925,0.6262199415,1.252439883,74.90407032,4.806147362,-0.2604359203
20,0.7286267217,0.1741835495,0.7075005234,1.415001047,68.34557977,5.267348689,-0.3690074995
21,0.6472556382,0.197271511,0.6164607142,1.232921428,74.67446861,4.820924831,-0.264302837
22,0.6477348395,0.1859571137,0.6204678672,1.240935734,74.71549801,4.81827746,-0.2636121359
23,0.6688734578,0.2310299227,0.6277076369,1.255415274,72.5434947,4.96254008,-0.2999817219
24,0.6649585234,0.2568491005,0.6133501263,1.226700253,72.6036101,4.958431123,-0.2989806668
25,0.7093676678,0.2934445671,0.6458272014,1.291654403,68.59188111,5.248434569,-0.3650087125
26,0.6688781724,0.1551280935,0.650640672,1.301281344,73.12271635,4.923230673,-0.2903228181
27,0.6800221974,0.2574337273,0.6294108872,1.258821774,71.35013317,5.045540688,-0.3197840694
28,0.6456808352,0.2255655625,0.6049991057,1.209998211,74.57718428,4.827213624,-0.2659400084
29,0.7100589852,0.2404670303,0.6681013171,1.336202634,69.17033671,5.204543119,-0.3555908946
30,0.6590671458,0.2571774497,0.6068189698,1.21363794,73.09967124,4.92478275,-0.2907076837
31,0.6626419508,0.2329817574,0.6203336648,1.24066733,73.04737115,4.928308772,-0.2915809487
32,0.6795161859,0.2140784151,0.6449129236,1.289825847,71.82360163,5.012279972,-0.3119435737
33,0.6509777862,0.1697251672,0.628462764,1.256925528,74.54369841,4.829382063,-0.2665033557
34,0.7310029683,0.2828468007,0.6740645571,1.348129114,67.12674216,5.362989301,-0.3886939548
35,0.6356515441,0.1966560895,0.6044661016,1.208932203,75.70209979,4.755482358,-0.2469634998
36,0.6548363536,0.156656817,0.6358217452,1.27164349,74.2925493,4.845707993,-0.2707256313
37,0.6549831887,0.2365230117,0.6107862494,1.221572499,73.6657348,4.886939647,-0.2812406612
38,0.648762683,0.1692726822,0.6262904901,1.25258098,74.73751417,4.816858093,-0.2632414536
39,0.6626650906,0.2098946668,0.6285453454,1.257090691,73.25381615,4.914419739,-0.2881324891
40,0.6807343049,0.2181501368,0.6448330882,1.289666176,71.6887044,5.021711622,-0.3141796248
41,0.7269097365,0.2780895834,0.6716129456,1.343225891,67.48495946,5.334521986,-0.3829259439
42,0.6543850376,0.2693704442,0.5963718146,1.192743629,73.36174839,4.907189481,-0.2863280957
43,0.6876056105,0.1993525952,0.6580729582,1.316145916,71.29562028,5.049398527,-0.320685395
44,0.6416181349,0.2255212183,0.6006779596,1.201355919,74.93570609,4.804118341,-0.2599027864
45,0.6367029491,0.1241310835,0.6244854838,1.248970968,76.02687334,4.735167766,-0.2414667728
46,0.6836439812,0.1840627049,0.6583995851,1.31679917,71.72948011,5.018856953,-0.3135039113
47,0.6232936403,0.2064820814,0.5880987265,1.176197453,76.74851443,4.690644538,-0.2292256288
48,0.6723672707,0.2259903751,0.633250422,1.266500844,72.30149798,4.979149949,-0.3040081538
49,0.6931844157,0.258243438,0.6432845101,1.28656902,70.28615134,5.12191937,-0.3373228064
50,0.6533267581,0.1815598637,0.6275921197,1.255184239,74.26382196,4.84758245,-0.2712082606
51,0.6563127577,0.2042515502,0.6237208832,1.247441766,73.8390792,4.875467082,-0.2783360626
52,0.6094076309,0.2113901814,0.5715696386,1.143139277,78.010859,4.614742161,-0.2077263034
53,0.6937768772,0.2491181695,0.6475079095,1.295015819,70.34040571,5.117968774,-0.3364312376
54,0.6209332028,0.1938386474,0.5899022132,1.179804426,77.0582565,4.671790102,-0.2239602302
55,0.6187521858,0.1869241639,0.5898420334,1.179684067,77.30669078,4.656776747,-0.2197322838
56,0.6147063509,0.2471994414,0.5628110998,1.1256222,77.20035303,4.663191111,-0.2215424891
57,0.7153561967,0.2162390195,0.6818908817,1.363781763,69.00138393,5.217286662,-0.3583453997
58,0.655944184,0.2052874996,0.6229926284,1.245985257,73.86221237,4.873940117,-0.2779482446
59,0.6279989027,0.2441800495,0.5785833779,1.157166756,75.98829218,4.737571929,-0.2421201607
60,0.6407220709,0.2568444195,0.586988685,1.17397737,74.70519107,4.818942229,-0.2637856587
61,0.7123235264,0.2430684718,0.6695689093,1.339137819,68.97156132,5.219542564,-0.3588312867
62,0.6457838285,0.2293511597,0.6036843535,1.207368707,74.53347223,4.830044666,-0.266675377
63,0.6896475569,0.2901144592,0.6256575368,1.251315074,70.17056284,5.130356454,-0.3392212768
