scenario_id,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
politeness-apology-003,61.86294617,0.5518920502,0.07535277702,0.5467236907,1.093447381,84.29848961,4.270539148,-0.09934598064
politeness-apology-013,66.98363933,0.5221951877,0.05592902306,0.5191914468,1.038382894,87.49786031,4.114386326,-0.04365669636
politeness-apology-043,60.67839726,0.6604283418,0.0771533718,0.6559062066,1.311812413,74.15448862,4.854729723,-0.2730444734
politeness-apology-057,57.99967596,0.6254588169,0.2677629369,0.5652448507,1.130489701,75.97448794,4.738432726,-0.2423539146
politeness-apology-065,52.3198715,0.726955387,0.1162859629,0.7175943907,1.435188781,68.79114376,5.233231784,-0.3617686755
politeness-apology-067,51.38925775,0.8551343325,-0.06830835533,0.8524017218,1.704803444,60.55150247,5.945352061,-0.4916410092
politeness-apology-081,61.63404436,0.614742189,0.2895379137,0.5422875211,1.084575042,76.72835938,4.691876679,-0.2295680201
politeness-apology-098,51.33379999,0.6266493446,0.2624871678,0.5690253841,1.138050768,75.9227241,4.741663373,-0.2432303314
politeness-bad-news-delivery-020,51.83986085,0.6474317181,0.2143425026,0.6109215344,1.221843069,74.52227136,4.830770633,-0.2668637846
politeness-bad-news-delivery-028,56.92354895,0.6594096989,0.3138382981,0.5799367842,1.159873568,72.32334135,4.977646128,-0.3036449372
politeness-bad-news-delivery-066,47.58497117,0.882269787,0.3981857287,0.7873043265,1.574608653,56.13242895,6.413404992,-0.5572752394
politeness-bad-news-delivery-073,53.77187188,0.7210681779,0.2481623923,0.6770190132,1.354038026,68.26196575,5.27380066,-0.3703634553
politeness-complaint-030,58.65310247,1.030940943,-0.292548877,0.9885617744,1.977123549,50.57144505,7.118641748,-0.6351155476
politeness-complaint-032,46.07933546,0.8508650726,0.2562162073,0.8113720643,1.622744129,59.70822219,6.029320365,-0.5044037176
politeness-complaint-040,45.77754912,0.9224380494,0.241537096,0.8902537763,1.780507553,55.98194744,6.430644457,-0.559454086
politeness-complaint-049,63.65564671,0.6867392947,-0.2175484764,0.6513704931,1.302740986,71.21054329,5.055431167,-0.3220914919
politeness-complaint-063,53.58625012,0.6868449112,-0.004404317752,0.68683079,1.37366158,72.10637342,4.992623854,-0.3072507632
politeness-complaint-072,47.40072726,0.93743539,-0.02407024571,0.9371263168,1.874252634,56.1395122,6.412595798,-0.5571725851
politeness-complaint-089,48.58435385,0.8151835028,0.2260825876,0.7832054691,1.566410938,62.10924601,5.796238453,-0.467787192
politeness-correction-002,28.47353176,0.9002009695,-0.03832089801,0.8993849534,1.798769907,58.0750305,6.198877502,-0.5288082664
politeness-correction-005,45.24075743,0.591069011,-0.0105407068,0.5909750157,1.181950031,80.45593689,4.474498886,-0.1658060564
politeness-correction-007,28.45921245,1.019927856,-0.05599585799,1.018389559,2.036779119,52.18915052,6.897985432,-0.6130566658
politeness-correction-024,45.84176388,0.8201454256,0.2427853577,0.7833861048,1.56677221,61.65304131,5.839128003,-0.4748096746
politeness-correction-027,52.39299964,0.6315442821,-0.04850569046,0.6296787897,1.259357579,76.700136,4.693603151,-0.2300474272
politeness-correction-045,41.57324347,0.9234334559,0.07080415575,0.9207150042,1.841430008,56.78996524,6.339148095,-0.5477097656
politeness-correction-051,47.14506345,0.6836835976,-0.004639165252,0.6836678578,1.367335716,72.35805105,4.975258382,-0.3030676856
politeness-correction-076,45.46073476,0.7127232501,-0.2324686782,0.6737453116,1.347490623,69.04835338,5.213737655,-0.3575799496
politeness-correction-087,44.28992246,0.6926743107,0.1389999618,0.6785843435,1.357168687,71.29169974,5.049676208,-0.3207502066
politeness-criticism-or-feedback-023,43.06061836,0.9711480639,-0.02172757006,0.9709049772,1.941809954,54.47697812,6.608296062,-0.5810300266
politeness-criticism-or-feedback-036,57.11497406,0.5913290042,0.1900841687,0.5599446401,1.11988928,79.90707551,4.505233081,-0.1752451475
politeness-criticism-or-feedback-041,39.81319153,0.8355546209,0.3284832307,0.7682774836,1.536554967,59.74413823,6.025695753,-0.5038623509
politeness-criticism-or-feedback-050,49.00175685,0.5991512223,0.1056719977,0.5897589475,1.179517895,79.53035693,4.526573423,-0.1817145436
politeness-criticism-or-feedback-054,50.23462405,1.014935,-0.280866835,0.9752983523,1.950596705,51.34540867,7.011337709,-0.6246239449
politeness-criticism-or-feedback-071,51.69973693,0.7667018238,0.1380636145,0.754168499,1.508336998,65.86988568,5.465319945,-0.4088101841
politeness-criticism-or-feedback-099,53.32406732,0.704504285,0.3476019652,0.6127798637,1.225559727,68.10077582,5.286283389,-0.3729752191
politeness-criticism-or-feedback-100,53.59058335,0.7578937026,0.2577918777,0.7127034533,1.425406907,65.52628695,5.493978322,-0.4142757144
politeness-disagreement-012,43.93477893,0.5492502892,0.1574428709,0.5262011237,1.052402247,84.39122028,4.265846599,-0.09773540236
politeness-disagreement-035,49.78682688,0.6722806532,0.06563796862,0.6690687063,1.338137413,73.20333358,4.917808826,-0.2889760977
politeness-disagreement-047,40.56871672,0.6658080542,0.1169716206,0.6554525193,1.310905039,73.56861531,4.893390999,-0.2828668941
politeness-disagreement-048,43.37318069,0.7750116075,0.06414131785,0.772352823,1.544705646,65.58227058,5.489288444,-0.4133862091
politeness-disagreement-075,51.23847468,0.6434544499,0.1199179398,0.6321813955,1.264362791,75.45410215,4.771112368,-0.2511554764
politeness-disagreement-086,52.96128365,0.6983375667,-0.0951718391,0.6918219989,1.383643998,71.03984772,5.06757843,-0.3249104922
politeness-inquiry-sensitive-008,51.88757743,0.8960127723,0.2963146763,0.8455983093,1.691196619,56.82397153,6.335354434,-0.5472130884
politeness-inquiry-sensitive-009,49.07103028,0.6261142321,0.06426457241,0.6228074312,1.245614862,77.15446109,4.665964805,-0.22232348
politeness-inquiry-sensitive-016,53.39449417,0.7272908099,-0.08359524704,0.7224705924,1.444941185,68.88800936,5.225873172,-0.3601920452
politeness-inquiry-sensitive-092,44.65308597,0.6308566517,0.009216460064,0.6307893244,1.261578649,76.79743312,4.687656675,-0.2283944867
politeness-refusal-038,49.51450271,0.7635354656,0.3608320819,0.6728942085,1.345788417,63.67117135,5.654050214,-0.4435222063
politeness-refusal-058,45.48098685,0.8308911621,-0.02572591901,0.8304928057,1.660985611,62.06461953,5.800406137,-0.4684754553
politeness-refusal-064,49.33210143,0.8093883489,0.1042517142,0.8026462978,1.605292596,63.21913043,5.694478832,-0.450579491
politeness-refusal-069,43.58575262,0.8035584397,0.1214215828,0.7943317727,1.588663545,63.51924336,5.667573809,-0.4458972154
politeness-refusal-077,42.02584287,0.897908869,0.00622705679,0.8978872762,1.795774552,58.22182347,6.183248455,-0.5266320404
politeness-refusal-080,54.48531782,0.7261455805,-0.01255656544,0.7260370078,1.452074016,69.09718795,5.210052836,-0.3567838492
politeness-refusal-083,52.69271107,0.7387677069,0.1113848465,0.7303226278,1.460645256,67.95225066,5.297837769,-0.3753791627
politeness-refusal-090,41.69211834,0.9054448729,0.1892455049,0.8854470942,1.770894188,57.23665014,6.289676267,-0.5411704179
politeness-reminder-017,47.58560803,0.7923887131,-0.1844566968,0.7706202695,1.541240539,63.87860431,5.63568982,-0.4402744854
politeness-reminder-018,60.19286859,0.6641290493,0.14748088,0.6475467428,1.295093486,73.56059498,4.893924527,-0.2830011556
politeness-reminder-019,48.96028974,0.7728684126,0.05449508559,0.7709447897,1.541889579,65.74751158,5.4754924,-0.410758451
politeness-reminder-021,65.84241161,0.7349166094,0.239197459,0.6949007111,1.389801422,67.34077137,5.345944109,-0.3852494715
politeness-reminder-079,51.38628683,0.6628740641,0.2256208748,0.6232954722,1.246590944,73.09744328,4.924932855,-0.2907448893
politeness-reminder-094,46.25857084,0.8876977291,0.4280334066,0.7776854513,1.555370903,55.32429267,6.50708726,-0.5689308939
politeness-request-001,52.15819391,0.8048422576,0.272850118,0.7571815322,1.514363064,62.28565447,5.779822064,-0.4650637131
politeness-request-006,58.58310797,0.8789373251,0.2356005785,0.8467722178,1.693544436,58.32186801,6.172641794,-0.5251468847
politeness-request-025,50.761149,0.8895696246,-0.02693957379,0.8891616143,1.778323229,58.66635606,6.136396125,-0.5200207584
politeness-request-029,47.59828516,0.7091079453,0.1606296455,0.6906751733,1.381350347,69.89393852,5.150661239,-0.343759042
politeness-request-031,61.31058017,0.5875513414,0.3027755374,0.5035310842,1.007062168,79.29193689,4.540184212,-0.1858048945
politeness-request-037,49.04145648,0.6142743437,0.08184077431,0.6087980428,1.217596086,78.18661548,4.604368635,-0.2047247135
politeness-request-053,49.40022222,0.6186704799,0.2409370262,0.5698267386,1.139653477,76.88566204,4.682277429,-0.2268950326
politeness-request-056,44.48391949,0.6927164033,0.04234762599,0.6914207792,1.382841558,71.61112249,5.027152033,-0.3154648313
politeness-request-061,57.93641646,0.6112213337,0.1543339909,0.5914157066,1.182831413,78.19644099,4.603790089,-0.2045568552
politeness-request-074,42.73606561,0.7286057487,-0.01699436199,0.7284075293,1.456815059,68.91388163,5.223911228,-0.3597707614
politeness-request-093,45.42275448,0.7865584459,-0.04180016893,0.785446965,1.57089393,64.85551318,5.550800269,-0.424902416
politeness-request-097,59.60299575,0.7585937686,0.1944993791,0.7332356356,1.466471271,66.06479197,5.449195998,-0.4057033157
