intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,64.5599817,0.6028037615,0.2590369156,0.5443089668,1.088617934,78.23426615,4.601564222,-0.2039105968
bad-news-delivery,4,75.92022569,0.6447951571,0.3806440212,0.5204526144,1.040905229,72.33365893,4.976936122,-0.3034733588
complaint,7,71.17058573,0.758624122,0.1740535757,0.7383873721,1.476774744,66.21020438,5.437228345,-0.4033823355
correction,9,52.51974911,0.7338208806,0.1844717592,0.7102557672,1.420511534,67.89389753,5.302391129,-0.3763229438
criticism-or-feedback,8,56.54031903,0.7285372626,0.2269410508,0.6922891755,1.384578351,67.9243695,5.300012391,-0.3758301506
disagreement,6,62.37269419,0.5607861265,0.2174460648,0.5169122639,1.033824528,82.88949425,4.34313182,-0.1237834285
inquiry-sensitive,4,65.94768591,0.5968496736,0.07591577395,0.5920019664,1.184003933,79.82704235,4.509749947,-0.1766202018
refusal,8,66.61479381,0.6487770698,0.2807420557,0.584889378,1.169778756,73.71100462,4.883938319,-0.2804823569
reminder,6,73.53854932,0.6610363631,0.2328637615,0.6186627045,1.237325409,73.18440197,4.919080983,-0.289292404
request,12,56.81227325,0.510576558,0.2510008019,0.4446200839,0.8892401678,88.62290629,4.062155204,-0.02403250534
ALL,72,45.10414285,0.6132179727,0.2966358309,0.53669681,1.07339362,76.78429823,4.688458556,-0.2286176685
