scenario_id,level,valence,markedness
politeness-apology-003,negative,-22.92173453,-6.869041361
politeness-apology-003,neutral,-2.531291036,10.91583111
politeness-apology-003,positive,25.45302557,-4.046789752
politeness-apology-013,negative,-35.58688723,-23.98682086
politeness-apology-013,neutral,9.667190667,19.76551288
politeness-apology-013,positive,25.91969656,4.221307983
politeness-apology-043,negative,-20.53258393,-4.11506437
politeness-apology-043,neutral,2.414982256,21.73918229
politeness-apology-043,positive,18.11760167,-17.62411792
politeness-apology-057,negative,-15.6482012,-19.17276704
politeness-apology-057,neutral,-1.193009236,16.51540671
politeness-apology-057,positive,16.84121044,2.657360336
politeness-apology-065,negative,-26.17128239,-4.330986958
politeness-apology-065,neutral,15.49267056,22.17406778
politeness-apology-065,positive,10.67861183,-17.84308082
politeness-apology-067,negative,-19.96620118,-10.68051216
politeness-apology-067,neutral,5.263521455,16.68486376
politeness-apology-067,positive,14.70267973,-6.004351598
politeness-apology-081,negative,-27.45858438,-19.26382036
politeness-apology-081,neutral,10.93655779,15.28107278
politeness-apology-081,positive,16.52202659,3.982747585
politeness-apology-098,negative,-19.86286601,-3.443875357
politeness-apology-098,neutral,12.10355107,6.273249175
politeness-apology-098,positive,7.759314947,-2.829373819
politeness-bad-news-delivery-020,negative,-24.14542685,-5.115040901
politeness-bad-news-delivery-020,neutral,8.844413012,9.725850616
politeness-bad-news-delivery-020,positive,15.30101384,-4.610809715
politeness-bad-news-delivery-028,negative,-39.04920437,-20.95237947
politeness-bad-news-delivery-028,neutral,18.11564583,20.59963472
politeness-bad-news-delivery-028,positive,20.93355854,0.3527447431
politeness-bad-news-delivery-066,negative,-38.17436827,-15.19727625
politeness-bad-news-delivery-066,neutral,22.56852151,19.86153556
politeness-bad-news-delivery-066,positive,15.60584676,-4.664259304
politeness-bad-news-delivery-073,negative,-33.06748244,-21.36894688
politeness-bad-news-delivery-073,neutral,14.51171823,20.08442947
politeness-bad-news-delivery-073,positive,18.55576421,1.284517414
politeness-complaint-030,negative,-30.60441391,-11.62322584
politeness-complaint-030,neutral,-1.043114397,43.55174817
politeness-complaint-030,positive,31.6475283,-31.92852234
politeness-complaint-032,negative,-39.20067905,-19.55223807
politeness-complaint-032,neutral,17.49324134,24.84371365
politeness-complaint-032,positive,21.70743771,-5.291475586
