draw,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
0,0.6058309345,0.282470082,0.5359494137,1.071898827,77.68211619,4.634271279,-0.2133353424
1,0.5918170517,0.2377209436,0.5419743311,1.083948662,79.52060428,4.527128576,-0.181881923
2,0.6683245726,0.3350193896,0.5782903621,1.156580724,71.21850221,5.054866205,-0.3219599821
3,0.6681980433,0.2501473702,0.6196086816,1.239217363,72.40527861,4.972013186,-0.3022820728
4,0.5940692321,0.2410860395,0.5429509868,1.085901974,79.26672689,4.541628173,-0.1862372121
5,0.591316636,0.2923681059,0.5139807921,1.027961584,79.02711227,4.555398643,-0.1903444696
6,0.6888456044,0.3276915307,0.6059096693,1.211819339,69.66877445,5.167307776,-0.3474467388
7,0.5857353868,0.2411906069,0.5337724557,1.067544911,80.1075277,4.493959685,-0.171799672
8,0.6367754431,0.2721154892,0.5757048945,1.151409789,74.88646932,4.807276979,-0.2607325025
9,0.6185989236,0.2954771042,0.5434684068,1.086936814,76.28195862,4.719333464,-0.2371440571
10,0.6270234175,0.3356505657,0.5296197351,1.05923947,74.87418835,4.808065476,-0.260939426
11,0.5999837713,0.2615215441,0.5399879701,1.07997594,78.48790316,4.58669407,-0.1995748212
12,0.5954864363,0.3018793215,0.5132961826,1.026592365,78.48147862,4.587069539,-0.1996846935
13,0.6667136914,0.2867686805,0.6018894169,1.203778834,72.09119405,4.993675091,-0.3075028674
14,0.6274222747,0.3105847266,0.5451567099,1.09031342,75.23713236,4.784871362,-0.2548191235
15,0.6385726682,0.2721095736,0.5776949303,1.155389861,74.72439983,4.817703465,-0.2634622622
16,0.6332206272,0.242336623,0.5850139519,1.170027904,75.52997951,4.766319313,-0.2498733952
17,0.6371351012,0.3443076411,0.5360908369,1.072181674,73.78104404,4.879302058,-0.2793087982
18,0.6154692552,0.2953047093,0.5399977156,1.079995431,76.58425728,4.700704986,-0.2320151769
19,0.5875387284,0.2329747474,0.5393741971,1.078748394,79.9901581,4.500553675,-0.1738173391
20,0.6779060302,0.2681786673,0.6226048411,1.245209682,71.39777576,5.04217388,-0.3189961017
21,0.6049700293,0.2431531963,0.5539542034,1.107908407,78.17406921,4.605107597,-0.2049390443
22,0.6355555712,0.2790115369,0.5710371672,1.142074334,74.91372775,4.805527783,-0.2602731793
23,0.615417255,0.2634042772,0.556198332,1.112396664,76.96774033,4.677284255,-0.2254996255
24,0.6193373956,0.3007146708,0.541432818,1.082865636,76.14111668,4.728063046,-0.2395313738
25,0.6512647145,0.355281741,0.5458210447,1.091642089,72.30457177,4.978938277,-0.3039570447
26,0.6472062045,0.2408537717,0.600720677,1.201441354,74.29815222,4.845342573,-0.2706314926
27,0.6415592131,0.3116084171,0.5608015855,1.121603171,73.92535736,4.869776933,-0.2768894147
28,0.627992621,0.3108312423,0.5456726774,1.091345355,75.1801962,4.788495085,-0.2557799169
29,0.6424413243,0.2826548705,0.5769203406,1.153840681,74.24793091,4.848619963,-0.2714752062
30,0.5976920611,0.322618448,0.5031432569,1.006286514,77.96847274,4.617250888,-0.2084498895
31,0.6102051158,0.2415087977,0.5603782508,1.120756502,77.68359703,4.634182939,-0.2133100918
32,0.6572935456,0.3074585189,0.5809509999,1.161902,72.60217352,4.958529236,-0.2990045928
33,0.6157315805,0.2507554267,0.5623585112,1.124717022,77.06824304,4.671184729,-0.2237903562
34,0.6829844437,0.2887768125,0.6189310971,1.237862194,70.72299604,5.090282089,-0.3301355654
35,0.6002068543,0.2579908698,0.5419307881,1.083861576,78.5008931,4.585935087,-0.1993526598
36,0.5959192163,0.2212268189,0.5533339019,1.106667804,79.24340497,4.542964807,-0.1866371196
37,0.6391670526,0.3061571566,0.56107247,1.12214494,74.22203053,4.850311928,-0.271910249
38,0.5829062914,0.2152404744,0.5417114386,1.083422877,80.5897059,4.467071768,-0.163503213
39,0.6188287619,0.2848134563,0.5493908733,1.098781747,76.39631565,4.712269131,-0.2352046136
40,0.6096913202,0.2741007588,0.5446028644,1.089205729,77.40096763,4.651104644,-0.2181267597
41,0.6389449864,0.2804010423,0.5741306047,1.148261209,74.58991028,4.826390039,-0.2657258895
42,0.6253602974,0.3206455035,0.5369003284,1.073800657,75.2778032,4.782286208,-0.2541326521
43,0.6218300115,0.2258089365,0.5793814697,1.158762939,76.72692138,4.691964614,-0.2295924475
44,0.5552254029,0.206302937,0.5154748744,1.030949749,83.55000707,4.308796763,-0.1123359931
45,0.5841515099,0.210477424,0.5449148929,1.089829786,80.49534555,4.472308275,-0.1651277266
46,0.6276339531,0.2596211117,0.571420386,1.142840772,75.86289191,4.745403068,-0.2442431063
47,0.5679571171,0.2704924374,0.4994087786,0.9988175573,81.73152131,4.404665351,-0.143811791
48,0.6401118315,0.2935888794,0.5688134376,1.137626875,74.31335869,4.844351088,-0.270375984
49,0.6279865048,0.3334871085,0.5321216014,1.064243203,74.82077738,4.811497723,-0.2618392138
50,0.5999130806,0.2577553802,0.541717517,1.083435034,78.53229768,4.584101199,-0.1988155183
51,0.6225227262,0.23051325,0.5782717235,1.156543447,76.62149279,4.698420598,-0.2313829795
52,0.6232877764,0.3004614509,0.5460865945,1.092173189,75.76978094,4.751234536,-0.2458186587
53,0.6193028661,0.2969528563,0.5434657681,1.086931536,76.19522317,4.724705632,-0.2386144216
54,0.5900527077,0.2680860053,0.5256349414,1.051269883,79.42187619,4.532756178,-0.1835760411
55,0.6380199137,0.2423925547,0.5901823952,1.18036479,75.09691598,4.793805382,-0.2571848092
56,0.6116616617,0.2842399663,0.5416065269,1.083213054,77.0914027,4.66978142,-0.2233963776
57,0.6795887021,0.3094580434,0.6050425798,1.21008516,70.70355081,5.091682042,-0.3304559015
58,0.6659674932,0.3149308003,0.5867974889,1.173594978,71.74859898,5.017519577,-0.3131870288
59,0.5991802643,0.3209090901,0.5059983646,1.011996729,77.84151698,4.624781402,-0.2106164977
60,0.6518681599,0.3190276084,0.5684659031,1.136931806,72.89547449,4.938578184,-0.2941158177
61,0.6462457441,0.3010285186,0.5718525971,1.143705194,73.66196475,4.887189762,-0.2813038044
62,0.5963748951,0.2514747453,0.5407619328,1.081523866,78.94390434,4.560200094,-0.1917699697
63,0.6409769458,0.3619803585,0.5289817247,1.057963449,73.08666305,4.925659279,-0.2909249068
64,0.6164486902,0.2690619202,0.5546302108,1.109260422,76.80767248,4.687031756,-0.2282204961
65,0.6340573553,0.2660545271,0.5755377645,1.151075529,75.20324833,4.787027263,-0.2553909444
66,0.6341250008,0.2740430412,0.5718521909,1.143704382,75.10407842,4.793348212,-0.2570640041
67,0.6268024667,0.2973762876,0.5517686796,1.103537359,75.48206839,4.769344663,-0.2506829887
68,0.6220934048,0.2730852103,0.5589496151,1.11789923,76.2281344,4.722665756,-0.2380565651
69,0.5993336664,0.2395542045,0.5493765802,1.09875316,78.7577203,4.570980453,-0.1949581646
70,0.605854991,0.276552641,0.5390537142,1.078107428,77.747946,4.630347405,-0.2122127049
71,0.6172649062,0.2771796302,0.5515318821,1.103063764,76.63711246,4.697462997,-0.2311177544
