split,cosine
0,0.7936643502
1,0.8411225747
2,0.8050603712
3,0.8194804235
4,0.8001741792
5,0.8348551191
6,0.8189191612
7,0.8026061899
8,0.8032161265
9,0.7834291187
10,0.804327303
11,0.8410293516
12,0.7935815064
13,0.7980808818
14,0.7796222228
15,0.7983368585
16,0.8170533462
17,0.8185829107
18,0.8287263329
19,0.8103024557
20,0.7791875526
21,0.8286823102
22,0.8332331559
23,0.7923971038
24,0.8192406388
25,0.7622338151
26,0.8345327826
27,0.8017233425
28,0.7905061978
29,0.7855549626
30,0.7882372661
31,0.7225163615
32,0.8015040734
33,0.7979231451
34,0.8374602262
35,0.7962662947
36,0.8238743145
37,0.737046156
38,0.6953775338
39,0.7999326942
40,0.7593449446
41,0.7968879975
42,0.8242728823
43,0.770904494
44,0.7778933278
45,0.8139785632
46,0.8429673976
47,0.8064532577
48,0.7437263507
49,0.8166077631
50,0.8211654861
51,0.7813823064
52,0.7724502036
53,0.7938837207
54,0.7938706192
55,0.7311105165
56,0.817881325
57,0.8099195232
58,0.7887953358
59,0.7288453157
60,0.7902541611
61,0.8058734588
62,0.8252801933
63,0.8269410146
64,0.7765413242
65,0.8291412058
66,0.8398002829
67,0.8239276923
68,0.8058380989
69,0.7664925374
70,0.84516315
71,0.8053740867
72,0.825776949
73,0.8013621783
74,0.7740928795
75,0.8251806783
76,0.7785785216
77,0.8083626585
78,0.7939629078
79,0.7982726443
80,0.7970965468
81,0.7987764682
82,0.8319408747
83,0.803041446
84,0.814651545
85,0.7880451929
86,0.8122303875
87,0.7909827413
88,0.7917605287
89,0.7869609036
90,0.7996119891
91,0.8177389079
92,0.8027455008
93,0.8056186505
94,0.7967900079
95,0.798576393
96,0.7967008036
97,0.7950920865
98,0.7894010945
99,0.8052394765
100,0.8202918064
101,0.8017412495
102,0.8540339928
103,0.8497811491
104,0.7910702428
105,0.8083622532
106,0.8260403961
107,0.7973145016
108,0.7324964917
109,0.8079548587
110,0.7807936643
111,0.8095330785
112,0.8099481805
113,0.8094881814
114,0.831429759
115,0.773267831
116,0.8236106011
117,0.8016458656
118,0.7652817106
119,0.7725600527
120,0.7879842625
121,0.8113441064
122,0.7860244612
123,0.8121417768
124,0.8067256262
125,0.8204765555
126,0.8161262986
127,0.7582302042
128,0.8129521302
129,0.8096828237
130,0.8454983779
131,0.8233212908
132,0.7858712382
133,0.8175820454
134,0.7756159021
135,0.7689787274
136,0.8039682098
137,0.7956999677
138,0.8123785304
139,0.7848372547
140,0.7859784616
141,0.8210898262
142,0.8269032939
143,0.8163813971
144,0.7631518401
145,0.8426170385
146,0.8163445383
147,0.8065484661
148,0.8107497488
149,0.7639484991
150,0.7794552952
151,0.7829444052
152,0.8367284649
153,0.8105900609
154,0.8142046288
155,0.8047287747
156,0.8387068129
157,0.8220710112
158,0.7822869941
159,0.8298137853
160,0.8058800302
161,0.7915135599
162,0.7515187188
163,0.8119924961
164,0.8043291268
165,0.7834622859
166,0.7991883523
167,0.8241941912
168,0.7803265556
169,0.7932530323
170,0.8234913882
171,0.8058642621
172,0.8052141884
173,0.7957654487
174,0.7900938352
175,0.7303115367
176,0.78149609
177,0.806069025
178,0.7967753723
179,0.8162050221
180,0.7580411417
181,0.8121668124
182,0.8246133221
183,0.8238353126
184,0.8167431494
185,0.8146057816
186,0.839152639
187,0.8063714149
188,0.7549105495
189,0.7802496041
190,0.777975674
191,0.8206531814
192,0.7606422546
193,0.8365109078
194,0.8329974786
195,0.7887399362
196,0.8129317311
197,0.8166954908
198,0.8227362579
199,0.7960734821
200,0.8112625196
201,0.8271214694
202,0.8041828573
203,0.8172513514
204,0.8506013439
205,0.8097060549
206,0.8242613641
207,0.8427214562
208,0.8085420008
209,0.7585167761
210,0.7781012136
211,0.8302968494
212,0.8090430187
213,0.7814776474
214,0.8112144881
215,0.8239975468
216,0.8203251902
217,0.7873336702
218,0.8089823488
219,0.7383795904
220,0.8078437398
221,0.8354608633
222,0.8364982967
223,0.7648015632
224,0.814616339
225,0.7093259421
226,0.8420035539
227,0.7882034518
228,0.8096500554
229,0.827795841
230,0.793049463
231,0.738140721
232,0.8100169488
233,0.7863225984
234,0.8362292127
235,0.8143744808
236,0.7868059796
237,0.8100678766
238,0.7712176366
239,0.7676896148
240,0.7622710389
241,0.7980779571
242,0.8005702137
243,0.8269847121
244,0.8114565669
245,0.8104783965
246,0.7896811713
247,0.7978282458
248,0.7959472699
249,0.7987053658
250,0.8339220654
251,0.7971216367
252,0.824676372
253,0.7813965194
254,0.7901032628
255,0.8235297495
256,0.7821969525
257,0.8165897249
258,0.7809344305
259,0.7928869537
260,0.8091360822
261,0.7970546713
262,0.7987902554
263,0.8070921897
264,0.7689180747
265,0.786392527
266,0.799903874
267,0.7921269509
268,0.8151407434
269,0.7575601948
270,0.8078207547
271,0.7171931937
272,0.7930121751
273,0.8223964806
274,0.7733102246
275,0.8332494169
276,0.7679653457
277,0.7856893195
278,0.8173007863
279,0.811207697
280,0.8073813728
281,0.7920660095
282,0.8200089516
283,0.763581299
284,0.8233105587
285,0.7884812852
286,0.8201007047
287,0.8052424676
288,0.8038923268
289,0.8221616685
290,0.8156704717
291,0.810400962
292,0.7782326682
293,0.8373107237
294,0.8445381312
295,0.8258687538
296,0.7907613204
297,0.8074528552
298,0.791863569
299,0.8232536609
