split,cosine
0,0.9007546594
1,0.9071295593
2,0.8706531444
3,0.8586814172
4,0.8874797581
5,0.8892901046
6,0.8787363583
7,0.8743064334
8,0.896574985
9,0.885895732
10,0.892738352
11,0.9117540444
12,0.8771858828
13,0.8924723967
14,0.909809841
15,0.8646973248
16,0.8421889911
17,0.8760787097
18,0.8622280466
19,0.8915001947
20,0.890713106
21,0.8829636543
22,0.8929916516
23,0.8964177113
24,0.8637973194
25,0.8760300413
26,0.8714484246
27,0.8639181507
28,0.9029381502
29,0.8406875992
30,0.8975548513
31,0.8999767604
32,0.894921746
33,0.8275786057
34,0.9004587171
35,0.8836875185
36,0.9109562163
37,0.8968901143
38,0.8511598593
39,0.9022532052
40,0.9088784115
41,0.9016306606
42,0.8939682819
43,0.8836830227
44,0.8942262402
45,0.9095734337
46,0.862143462
47,0.8834996076
48,0.8718054758
49,0.8818058831
50,0.8258855114
51,0.8948192241
52,0.8751109836
53,0.8668122133
54,0.9046957969
55,0.8981858979
56,0.8893489484
57,0.8740517941
58,0.8808247971
59,0.8712524923
60,0.8592003792
61,0.8738911189
62,0.8779924257
63,0.852075972
64,0.8337530132
65,0.8552062943
66,0.884283177
67,0.8880495559
68,0.8580144818
69,0.9028552044
70,0.9059393688
71,0.8691488493
72,0.8909202621
73,0.8062482554
74,0.8809241873
75,0.8989456629
76,0.8895936247
77,0.8573965083
78,0.8974907548
79,0.8774238125
80,0.8938694704
81,0.8891628904
82,0.8656783302
83,0.8947249947
84,0.8843931537
85,0.9063141699
86,0.8825982438
87,0.8841408312
88,0.8863023448
89,0.9008644611
90,0.9110172886
91,0.8825323125
92,0.8707387631
93,0.8961815713
94,0.8733169475
95,0.8819761726
96,0.8940429887
97,0.8950592545
98,0.8978852969
99,0.8707962162
100,0.8781638474
101,0.8829498472
102,0.8803322849
103,0.8903975664
104,0.8871964516
105,0.8653986889
106,0.898962525
107,0.8946878304
108,0.8893192543
109,0.8855642057
110,0.8936963215
111,0.8835187895
112,0.8333495692
113,0.8898091523
114,0.8885440392
115,0.8635753929
116,0.8940708394
117,0.8706676631
118,0.8843494901
119,0.8613162521
120,0.8810312414
121,0.8674977878
122,0.8852032313
123,0.8489485544
124,0.8605051142
125,0.8511962251
126,0.8686219665
127,0.8646958858
128,0.8726749531
129,0.8860657673
130,0.8941779562
131,0.8959438867
132,0.8818044545
133,0.9003009145
134,0.9015811281
135,0.8897163421
136,0.8987665396
137,0.8761670031
138,0.8865163348
139,0.8847351821
140,0.8600876337
141,0.8930592226
142,0.8859473533
143,0.9096280535
144,0.9076497907
145,0.9059768584
146,0.8893222793
147,0.8830533887
148,0.8672622129
149,0.8912757655
150,0.8963353956
151,0.8854779929
152,0.8743136655
153,0.8781053487
154,0.8840470158
155,0.9130561219
156,0.8809475889
157,0.8557338586
158,0.8979759519
159,0.8823490364
160,0.9042272746
161,0.8622963245
162,0.8848277655
163,0.9012228576
164,0.9028824277
165,0.8971612832
166,0.8805705713
167,0.913889582
168,0.8799185994
169,0.8789961373
170,0.8937091203
171,0.8851957865
172,0.8908171348
173,0.8383794115
174,0.8681561884
175,0.8756574631
176,0.9252650927
177,0.8644769026
178,0.9085635663
179,0.8772012031
180,0.8787336101
181,0.8989955987
182,0.9021042003
183,0.8950462528
184,0.8295911376
185,0.8492461906
186,0.9018906988
187,0.8970717779
188,0.8772789926
189,0.9016988196
190,0.8859500279
191,0.8593958578
192,0.9120665671
193,0.8909950457
194,0.8946696645
195,0.8536037906
196,0.9002287784
197,0.915470783
198,0.8964061548
199,0.8658835033
200,0.8752069134
201,0.888270825
202,0.9097546914
203,0.8945765657
204,0.9143376171
205,0.8852778772
206,0.8900307501
207,0.8651884332
208,0.8883038639
209,0.8892600523
210,0.9090137749
211,0.8837642799
212,0.8967213161
213,0.8814149025
214,0.8717667068
215,0.8708192709
216,0.9008830058
217,0.8687416553
218,0.8965374781
219,0.8484903678
220,0.9062828238
221,0.870355609
222,0.8631027284
223,0.8895132535
224,0.8678900967
225,0.9026086158
226,0.8615842684
227,0.8791882076
228,0.8957914686
229,0.895439519
230,0.8888008801
231,0.9011344048
232,0.8945349026
233,0.9182757457
234,0.8935998485
235,0.8980660728
236,0.9072761508
237,0.8959935457
238,0.8680196847
239,0.8919175166
240,0.8966811107
241,0.9032908259
242,0.886908979
243,0.8889913514
244,0.8587325569
245,0.8966016941
246,0.888810607
247,0.8889618428
248,0.8769678791
249,0.8798930828
250,0.8516672838
251,0.8579607365
252,0.8938979639
253,0.8967684131
254,0.8416294385
255,0.8489508834
256,0.8891911038
257,0.8633382081
258,0.8669489055
259,0.9066428231
260,0.8654510689
261,0.8594015532
262,0.8791698863
263,0.8943059805
264,0.8733672226
265,0.8815737854
266,0.8947802741
267,0.8885687333
268,0.8943383385
269,0.8429584176
270,0.871581058
271,0.8900577133
272,0.8797777095
273,0.8872104996
274,0.8877262611
275,0.8872091834
276,0.8869428046
277,0.8779715957
278,0.8768310909
279,0.8869770712
280,0.9008174493
281,0.8854711279
282,0.8883373802
283,0.9016778069
284,0.881698409
285,0.8932093304
286,0.901966605
287,0.8888996181
288,0.9033574775
289,0.892054307
290,0.8844953939
291,0.9019635292
292,0.8688175142
293,0.8800020174
294,0.8907287294
295,0.8767032122
296,0.8830032773
297,0.8568761949
298,0.8276596918
299,0.8579657286
