scenario_id,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
politeness-apology-003,61.9232091,0.5522682115,0.07369142973,0.5473296545,1.094659309,84.26171276,4.272403067,-0.0999846618
politeness-apology-013,67.03225511,0.5228371055,0.05577434622,0.5198536921,1.039707384,87.42725341,4.117709135,-0.04488781086
politeness-apology-043,60.67423557,0.6603362616,0.07780933513,0.6557359878,1.311471976,74.16041624,4.854341686,-0.2729449467
politeness-apology-057,57.99774946,0.6258245261,0.2695913092,0.5647803674,1.129560735,75.9197251,4.741850679,-0.2432811015
politeness-apology-065,52.33494699,0.7275074466,0.1172981758,0.717989013,1.435978026,68.74608865,5.236661563,-0.3625016619
politeness-apology-067,51.44276036,0.8523963765,-0.07018678189,0.849501853,1.699003706,60.70711097,5.930112539,-0.4892742156
politeness-apology-081,61.6364135,0.6157980057,0.2900275272,0.5432229904,1.086445981,76.62064099,4.698472831,-0.2313974427
politeness-apology-098,51.35819872,0.6289480072,0.2620979844,0.5717344159,1.143468832,75.71483862,4.75468226,-0.246748046
politeness-bad-news-delivery-020,51.86346132,0.6484037229,0.2142668633,0.6119780218,1.223956044,74.43821784,4.836225402,-0.2682773053
politeness-bad-news-delivery-028,56.94215644,0.6597620811,0.3130204191,0.5807789776,1.161557955,72.30574929,4.978857194,-0.3039374655
politeness-bad-news-delivery-066,47.5888047,0.8817100793,0.3990335477,0.7862473476,1.572494695,56.1463944,6.411809767,-0.5570728362
politeness-bad-news-delivery-073,53.80133527,0.7212039166,0.2480705248,0.6771972416,1.354394483,68.25286233,5.274504068,-0.3705110365
politeness-complaint-030,58.70262851,1.030122772,-0.2933006867,0.9874855099,1.97497102,50.59919683,7.114737438,-0.6347413453
politeness-complaint-032,46.11861727,0.8502110295,0.2561839691,0.8106963479,1.621392696,59.74606281,6.025501649,-0.503833336
politeness-complaint-040,45.74969687,0.9238274629,0.2401812904,0.8920594874,1.784118975,55.92257668,6.437471614,-0.5603126642
politeness-complaint-049,63.69778495,0.6877047145,-0.21787206,0.6522802617,1.304560523,71.13048571,5.06112107,-0.323413983
politeness-complaint-063,53.5762412,0.6875151001,-0.004134995504,0.6875026652,1.37500533,72.0532458,4.996305107,-0.3081330304
politeness-complaint-072,47.39590861,0.9372759349,-0.0230288808,0.9369929823,1.873985965,56.14834546,6.411586967,-0.5570445565
politeness-complaint-089,48.63187252,0.8156294219,0.2243703137,0.7841615371,1.568323074,62.09662213,5.797416794,-0.4679819158
politeness-correction-002,28.50553723,0.8989000005,-0.037701256,0.898109028,1.796218056,58.14611573,6.191299203,-0.5277548506
politeness-correction-005,45.27795452,0.5886777123,-0.01126167569,0.5885699819,1.177139964,80.68488699,4.461802122,-0.1618641201
politeness-correction-007,28.45279842,1.020187039,-0.05703267542,1.01859161,2.03718322,52.17609311,6.899711699,-0.6132366956
politeness-correction-024,45.82835943,0.820617922,0.2432764432,0.78372849,1.56745698,61.61961256,5.842295741,-0.4753230742
politeness-correction-027,52.37926291,0.6319139954,-0.04849792873,0.6300501953,1.260100391,76.66747101,4.69560291,-0.2306022107
politeness-correction-045,41.6059181,0.9231280772,0.06984479239,0.9204820215,1.840964043,56.80789395,6.337147445,-0.5474479327
politeness-correction-051,47.17839277,0.684812605,-0.003447245329,0.6848039285,1.369607857,72.26815211,4.981447422,-0.3045625514
politeness-correction-076,45.61856631,0.7103080598,-0.2314071628,0.6715565984,1.343113197,69.24197966,5.199158109,-0.3544219361
politeness-correction-087,44.27213725,0.6927920754,0.1382768,0.6788522566,1.357704513,71.28621552,5.050064692,-0.3208408655
politeness-criticism-or-feedback-023,43.04854273,0.9712441029,-0.02247724622,0.9709839756,1.941967951,54.47189131,6.608913172,-0.581102282
politeness-criticism-or-feedback-036,57.17335084,0.5899982905,0.1885273126,0.559066575,1.11813315,80.04776984,4.49731455,-0.1728270428
politeness-criticism-or-feedback-041,39.78481327,0.837982774,0.3273947872,0.7713804398,1.54276088,59.61940378,6.038302586,-0.5057416364
politeness-criticism-or-feedback-050,48.99934475,0.599681211,0.1067085011,0.5901108799,1.18022176,79.47681916,4.529622647,-0.1826333178
politeness-criticism-or-feedback-054,50.26343935,1.015121482,-0.2804212581,0.9756205924,1.951241185,51.34108168,7.01192862,-0.6246829188
politeness-criticism-or-feedback-071,51.67679971,0.7667109128,0.1372350893,0.7543289429,1.508657886,65.8735508,5.465015862,-0.4087518046
politeness-criticism-or-feedback-099,53.32384078,0.7048535743,0.3474213095,0.6132837802,1.22656756,68.07747888,5.288092419,-0.3733524562
politeness-criticism-or-feedback-100,53.56655852,0.75833693,0.2574833103,0.7132862289,1.426572458,65.49922598,5.496248155,-0.4147055354
politeness-disagreement-012,43.93077891,0.5495210006,0.1565297115,0.5267559013,1.053511803,84.36504605,4.267170076,-0.0981900315
politeness-disagreement-035,49.80176041,0.6729942604,0.06632598825,0.6697179539,1.339435908,73.14344734,4.921835285,-0.2899765592
politeness-disagreement-047,40.59562959,0.6653624819,0.1178021287,0.6548510448,1.30970209,73.60208638,4.891165695,-0.282306524
politeness-disagreement-048,43.39542316,0.7755432628,0.0657009525,0.7727552894,1.545510579,65.5428383,5.492590943,-0.4140127766
politeness-disagreement-075,51.2277295,0.6434416717,0.1189112425,0.6323585227,1.264717045,75.45939981,4.77077741,-0.2510659774
politeness-disagreement-086,52.90409468,0.6988864238,-0.09454330202,0.6924621271,1.384924254,70.9993785,5.07046692,-0.3255784107
politeness-inquiry-sensitive-008,51.87001565,0.8973560901,0.2976805211,0.8465425328,1.693085066,56.73909783,6.344831232,-0.5484523471
politeness-inquiry-sensitive-009,49.11351385,0.6263444109,0.06503182894,0.6229592139,1.245918428,77.13228459,4.667306329,-0.2227008296
politeness-inquiry-sensitive-016,53.42803575,0.7276073245,-0.08332312109,0.722820639,1.445641278,68.86556979,5.227576002,-0.3605573741
politeness-inquiry-sensitive-092,44.5894116,0.6319981654,0.01018681478,0.6319160624,1.263832125,76.69630296,4.693837722,-0.2301125315
politeness-refusal-038,49.52899973,0.7639991176,0.3606285758,0.6735292733,1.347058547,63.64425546,5.656441378,-0.4439431958
politeness-refusal-058,45.46479002,0.8333473114,-0.02767604329,0.8328876143,1.665775229,61.91353562,5.814560522,-0.4708034734
politeness-refusal-064,49.41018666,0.8086424991,0.104249696,0.8018944396,1.603788879,63.266262,5.690236607,-0.4498449728
politeness-refusal-069,43.56690515,0.8043855033,0.1214566124,0.7951630834,1.590326167,63.46640264,5.672292505,-0.4467225121
politeness-refusal-077,42.07119724,0.8972770757,0.003501426611,0.8972702439,1.794540488,58.25653519,6.179564213,-0.5261169286
politeness-refusal-080,54.5114008,0.7257093398,-0.01227647173,0.7256054948,1.45121099,69.12948358,5.207618824,-0.356257224
politeness-refusal-083,52.72302646,0.7389801089,0.1108139466,0.7306243019,1.461248604,67.93933699,5.298844763,-0.375588057
politeness-refusal-090,41.71251855,0.9042582578,0.1889365351,0.884299713,1.768599426,57.30125394,6.282585027,-0.5402219036
politeness-reminder-017,47.59902227,0.7912106463,-0.1840304164,0.7695109439,1.539021888,63.95798761,5.628694921,-0.4390300737
politeness-reminder-018,60.2381199,0.6645890887,0.146455296,0.6482511111,1.296502222,73.52779913,4.896107381,-0.2835501051
politeness-reminder-019,49.00180356,0.7717945294,0.05426492823,0.7698844804,1.539768961,65.82062183,5.469410497,-0.409594718
politeness-reminder-021,65.89296705,0.7357471574,0.240415733,0.6953590116,1.390718023,67.26852716,5.351685479,-0.3864127386
politeness-reminder-079,51.40394645,0.662249148,0.2268183311,0.6221956113,1.244391223,73.13908709,4.922128704,-0.2900493892
politeness-reminder-094,46.30574805,0.8881829763,0.428113786,0.778195082,1.556390164,55.29894608,6.510069821,-0.5692946462
politeness-request-001,52.22474802,0.80356171,0.2708502462,0.7565392031,1.513078406,62.38796981,5.770343243,-0.463482098
politeness-request-006,58.57563311,0.8786560007,0.2346118919,0.8467547625,1.693509525,58.34557668,6.170133547,-0.5247946961
politeness-request-025,50.77591398,0.8897956831,-0.02677904744,0.8893926244,1.778785249,58.65406244,6.137682285,-0.5202040171
politeness-request-029,47.59193524,0.7091472138,0.1598514408,0.6908960036,1.381792007,69.89577747,5.150525726,-0.3437289021
politeness-request-031,61.38394143,0.5881318147,0.3015539468,0.5049398465,1.009879693,79.24636321,4.54279522,-0.1865863957
politeness-request-037,49.0948276,0.6132236793,0.08301370813,0.6075788056,1.215157611,78.28012997,4.598868195,-0.2031268751
