intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,40.38324658,0.5514217948,0.2149019285,0.5078219736,1.015643947,83.92281539,4.289655898,-0.105868114
bad-news-delivery,4,36.46200472,0.8271959802,0.3918213564,0.7285116432,1.457023286,59.20156149,6.080920688,-0.5120194553
complaint,7,37.75941631,0.8046837386,0.009007302809,0.804633325,1.60926665,63.7090794,5.650685952,-0.4429291232
correction,9,28.57826928,0.6569488587,0.06281294662,0.6539390925,1.307878185,74.4814158,4.833420473,-0.2675509208
criticism-or-feedback,8,32.62956659,0.688832399,0.2355605041,0.6473031151,1.29460623,70.87303111,5.079506187,-0.3276626463
disagreement,6,33.2215331,0.4976576037,0.1580953374,0.4718781144,0.9437562288,90.2837469,3.987428661,0.004952297477
inquiry-sensitive,4,32.90465278,0.6560727105,0.08872593144,0.6500454681,1.300090936,74.48708229,4.833052778,-0.2674556261
refusal,8,33.35763911,0.7953280051,0.2223284238,0.7636207879,1.527241576,63.39077268,5.679059976,-0.447903083
reminder,6,38.82027817,0.6849731715,0.2408020239,0.6412508331,1.282501666,71.12887496,5.061235682,-0.3234405849
request,12,34.25530401,0.5653587806,0.1255160343,0.5512497401,1.10249948,82.80086819,4.347780499,-0.1253182003
ALL,72,24.81915269,0.6610418665,0.2319192681,0.6190232648,1.23804653,73.19302697,4.918501323,-0.2891483028
