scenario_id,level,valence,markedness
politeness-apology-003,negative,-16.84095698,-1.938890387
politeness-apology-003,neutral,3.612676402,6.991346391
politeness-apology-003,positive,13.22828058,-5.052456005
politeness-apology-013,negative,-17.40453113,-15.63599237
politeness-apology-013,neutral,3.915484716,11.80646935
politeness-apology-013,positive,13.48904641,3.829523019
politeness-apology-043,negative,-15.71412107,-3.075106735
politeness-apology-043,neutral,1.399080077,8.922053712
politeness-apology-043,positive,14.31504099,-5.846946977
politeness-apology-057,negative,-8.805367271,-5.703042381
politeness-apology-057,neutral,1.910567232,7.874535256
politeness-apology-057,positive,6.894800039,-2.171492875
politeness-apology-065,negative,-13.86657967,-2.244823266
politeness-apology-065,neutral,9.268474033,10.68680149
politeness-apology-065,positive,4.59810564,-8.441978227
politeness-apology-067,negative,-9.806938646,-7.523815264
politeness-apology-067,neutral,-0.9513133021,14.59662933
politeness-apology-067,positive,10.75825195,-7.072814069
politeness-apology-081,negative,-17.89430636,-13.32200358
politeness-apology-081,neutral,5.717366771,11.45421437
politeness-apology-081,positive,12.17693959,1.867789209
politeness-apology-098,negative,-12.92806438,-2.395704321
politeness-apology-098,neutral,5.778184387,4.297461832
politeness-apology-098,positive,7.149879996,-1.90175751
politeness-bad-news-delivery-020,negative,-11.91822684,-1.831885182
politeness-bad-news-delivery-020,neutral,4.895723961,10.69758731
politeness-bad-news-delivery-020,positive,7.022502877,-8.865702129
politeness-bad-news-delivery-028,negative,-17.29948883,-14.85577454
politeness-bad-news-delivery-028,neutral,8.52402513,13.1145329
politeness-bad-news-delivery-028,positive,8.775463696,1.741241646
politeness-bad-news-delivery-066,negative,-15.07873803,-14.5690975
politeness-bad-news-delivery-066,neutral,7.750208447,17.49135887
politeness-bad-news-delivery-066,positive,7.328529583,-2.922261368
politeness-bad-news-delivery-073,negative,-16.34165144,-7.226821387
politeness-bad-news-delivery-073,neutral,9.423316213,14.18852245
politeness-bad-news-delivery-073,positive,6.918335232,-6.961701067
politeness-complaint-030,negative,-12.2048496,-8.766583245
politeness-complaint-030,neutral,-8.250245073,21.76369944
politeness-complaint-030,positive,20.45509467,-12.99711619
politeness-complaint-032,negative,-17.28797659,-11.30817156
politeness-complaint-032,neutral,7.95333526,14.38019586
politeness-complaint-032,positive,9.33464133,-3.0720243
politeness-complaint-040,negative,-18.61250336,-8.360082098
politeness-complaint-040,neutral,9.314059596,16.08666541
politeness-complaint-040,positive,9.298443769,-7.726583307
politeness-complaint-049,negative,-19.82214931,-2.646242516
politeness-complaint-049,neutral,-1.856601248,18.61839215
politeness-complaint-049,positive,21.67875055,-15.97214963
politeness-complaint-063,negative,-15.0934017,3.745737646
politeness-complaint-063,neutral,0.9363619441,8.554302339
politeness-complaint-063,positive,14.15703975,-12.30003999
politeness-complaint-072,negative,-14.91545479,-4.772448368
politeness-complaint-072,neutral,4.303750649,16.01987351
politeness-complaint-072,positive,10.61170414,-11.24742514
politeness-complaint-089,negative,-18.06024218,-8.162788646
politeness-complaint-089,neutral,8.619369681,17.17381764
politeness-complaint-089,positive,9.440872495,-9.011028994
politeness-correction-002,negative,-8.639334587,-4.407839623
politeness-correction-002,neutral,1.298677268,6.347325229
politeness-correction-002,positive,7.340657319,-1.939485606
politeness-correction-005,negative,-10.52436201,-1.294486158
politeness-correction-005,neutral,1.691093991,6.704087482
politeness-correction-005,positive,8.833268023,-5.409601323
politeness-correction-007,negative,-4.557902508,-4.579694651
politeness-correction-007,neutral,1.040834234,8.259755297
politeness-correction-007,positive,3.517068274,-3.680060646
politeness-correction-024,negative,-14.10324524,-4.64356557
politeness-correction-024,neutral,1.229657902,9.820482686
politeness-correction-024,positive,12.87358734,-5.176917116
politeness-correction-027,negative,-10.96624848,-8.547254229
politeness-correction-027,neutral,3.484557604,3.591409055
politeness-correction-027,positive,7.48169088,4.955845174
politeness-correction-045,negative,-15.28529122,-6.280484095
politeness-correction-045,neutral,3.885133836,15.06800521
politeness-correction-045,positive,11.40015739,-8.787521112
