split,cosine
0,0.8930657362
1,0.8517777193
2,0.8472394318
3,0.8862829021
4,0.8815176679
5,0.8857992781
6,0.8665547831
7,0.8864624099
8,0.8845041632
9,0.8670797938
10,0.8746929942
11,0.8896304669
12,0.8692520615
13,0.8645470511
14,0.855370003
15,0.8784233992
16,0.897385437
17,0.8898904079
18,0.9032260722
19,0.8734198282
20,0.8792307483
21,0.8580613379
22,0.8806490777
23,0.8707567133
24,0.8967722103
25,0.8698039415
26,0.8699479291
27,0.884086313
28,0.8854825795
29,0.884881914
30,0.8979002924
31,0.9027284275
32,0.8775350331
33,0.8665241155
34,0.8212430002
35,0.8832246893
36,0.8814172156
37,0.8489644112
38,0.8765297725
39,0.8751720129
40,0.8963208068
41,0.8884141634
42,0.8779827557
43,0.8965249517
44,0.898944245
45,0.8969110258
46,0.9118029385
47,0.8774656048
48,0.8833863358
49,0.884206119
50,0.8836200208
51,0.8679169606
52,0.9000539948
53,0.8882528669
54,0.8882322936
55,0.9072196344
56,0.8879571513
57,0.8833077989
58,0.8632005523
59,0.8708319323
60,0.8870124634
61,0.8811457741
62,0.891441385
63,0.9045443298
64,0.8998338127
65,0.8600121908
66,0.8907881828
67,0.8809214
68,0.9013267636
69,0.8423467381
70,0.8721505041
71,0.8958785313
72,0.8820686952
73,0.8794396276
74,0.8676758099
75,0.9040391841
76,0.8694373023
77,0.8720544064
78,0.8590398059
79,0.890529752
80,0.8626262778
81,0.8677603281
82,0.9096401886
83,0.8663380373
84,0.8862056203
85,0.8625271693
86,0.8694242936
87,0.887377963
88,0.8772739334
89,0.8909438318
90,0.8722551133
91,0.8754449829
92,0.87428046
93,0.8592014331
94,0.8921869954
95,0.8683710228
96,0.8897082917
97,0.8696125999
98,0.8764153673
99,0.8982327791
100,0.8607711033
101,0.860302831
102,0.8785728406
103,0.8709149857
104,0.8715970563
105,0.8730546411
106,0.8586627962
107,0.8604227654
108,0.8880484246
109,0.8645663731
110,0.8954100248
111,0.8704150629
112,0.9048906479
113,0.8864953332
114,0.8999036571
115,0.9006510654
116,0.8935568218
117,0.8871975168
118,0.8787203474
119,0.8730891914
120,0.8819900299
121,0.8697113141
122,0.8973010302
123,0.8839210421
124,0.8863198115
125,0.8535747891
126,0.8943625279
127,0.866166082
128,0.8625871111
129,0.9064804153
130,0.8575860066
131,0.8911699956
132,0.8893990273
133,0.886848534
134,0.870777369
135,0.8834304733
136,0.8848023235
137,0.8679348315
138,0.8810803758
139,0.8941554691
140,0.8884996409
141,0.8747229829
142,0.8735209087
143,0.8661385707
144,0.8781998561
145,0.8787285753
146,0.8699097027
147,0.9037824123
148,0.8714739418
149,0.880132225
150,0.8573828163
151,0.8930103136
152,0.8771652066
153,0.8886895318
154,0.8869467086
155,0.8850507702
156,0.863996786
157,0.8775742352
158,0.8710913199
159,0.8545461473
160,0.9048247169
161,0.8855824378
162,0.8791886052
163,0.8778121618
164,0.8969222989
165,0.8798603451
166,0.8930850675
167,0.8826814552
168,0.8094514157
169,0.8873937191
170,0.8864671523
171,0.8547877199
172,0.8810619286
173,0.8869065633
174,0.8657019963
175,0.899192039
176,0.8835275095
177,0.8782746817
178,0.8981448749
179,0.8768744884
180,0.8694328727
181,0.9041560231
182,0.9010985742
183,0.8760041722
184,0.8848207883
185,0.885360571
186,0.878930074
187,0.8866785036
188,0.8927934758
189,0.8900325728
190,0.8656322352
191,0.8457587371
192,0.8919333001
193,0.8747782703
194,0.8656558625
195,0.8959074863
196,0.8970809456
197,0.8880469253
198,0.8816695172
199,0.895243371
200,0.8893526593
201,0.8668072084
202,0.8827382404
203,0.8532079912
204,0.8646541428
205,0.8799119746
206,0.8564741837
207,0.8895962193
208,0.8848617569
209,0.8941778611
210,0.8870989732
211,0.8697751417
212,0.8839373357
213,0.8825295324
214,0.8853199892
215,0.8764754123
216,0.8833449109
217,0.8706591222
218,0.8773372731
219,0.8793828464
220,0.8638515851
221,0.8730047485
222,0.8680940085
223,0.8794764396
224,0.8622029599
225,0.8890108382
226,0.8896063021
227,0.8686108571
228,0.8659494838
229,0.8766467482
230,0.8785929176
231,0.8940637158
232,0.8698072731
233,0.8928073731
234,0.8830426615
235,0.9051811288
236,0.8716486555
237,0.8885470115
238,0.8641361408
239,0.9072700678
240,0.8710349811
241,0.8630412106
242,0.8911355247
243,0.8894781949
244,0.891666579
245,0.8829218864
246,0.8823658186
247,0.9026876729
248,0.8784305076
249,0.888122803
250,0.8709877744
251,0.8784450017
252,0.9005331246
253,0.8728267881
254,0.8711061616
255,0.8610097419
256,0.8855581526
257,0.8929302449
258,0.8944176816
259,0.8624631804
260,0.8677909294
261,0.8787350314
262,0.8810244295
263,0.8913266707
264,0.8521764955
265,0.8820705936
266,0.8816159542
267,0.8601987887
268,0.8830938662
269,0.9087584704
270,0.8667048672
271,0.8814732263
272,0.8911499267
273,0.856253116
274,0.8870610693
275,0.8697720782
276,0.8973919415
277,0.8923290428
278,0.8589290967
279,0.8554561713
280,0.8822142215
281,0.8619860061
282,0.8745552365
283,0.8484302976
284,0.8564279484
285,0.8785854367
286,0.8624773029
287,0.8590668879
288,0.8665908613
289,0.8674492957
290,0.8815157029
291,0.8769700885
292,0.8756506345
293,0.8814563386
294,0.9003543455
295,0.8829714211
296,0.8672373586
297,0.9126744103
298,0.8906937174
299,0.8867261166
