draw,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
0,0.6824913163,0.2398063938,0.6389736226,1.277947245,71.33912779,5.046319056,-0.3199660577
1,0.683993251,0.1932043577,0.6561393477,1.312278695,71.63316473,5.025605128,-0.3150997427
2,0.679206889,0.2453473959,0.6333456034,1.266691207,71.54821568,5.031572018,-0.3165065085
3,0.6556821415,0.2630767244,0.6005911319,1.201182264,73.32336265,4.909758459,-0.2869699389
4,0.6925240401,0.2819922423,0.6325108074,1.265021615,70.05005341,5.139182377,-0.3411991005
5,0.6376125922,0.2473676099,0.5876725987,1.175345197,75.0834093,4.794667735,-0.2574126086
6,0.6122352135,0.1790567778,0.5854661621,1.170932324,77.96374242,4.617531032,-0.2085306347
7,0.6957769943,0.1680745375,0.6751715157,1.350343031,70.87677628,5.079237783,-0.3276008886
8,0.6948412208,0.2205259609,0.6589177663,1.317835533,70.54101483,5.103413963,-0.3331319898
9,0.6921864003,0.2313222456,0.6523894783,1.304778957,70.64850401,5.0956493,-0.3313625234
10,0.663218128,0.2182206272,0.6262891051,1.25257821,73.13542542,4.922375141,-0.2901105496
11,0.6566055543,0.2319486669,0.614272472,1.228544944,73.57076483,4.893248029,-0.28283091
12,0.6629252017,0.21004903,0.628768024,1.257536048,73.23060651,4.91597731,-0.2885203707
13,0.6964525603,0.2163997728,0.6619798389,1.323959678,70.45180748,5.109875997,-0.3345996139
14,0.6734250945,0.2277774198,0.6337340175,1.267468035,72.19740806,4.986328591,-0.305738377
15,0.6556785277,0.2054432534,0.6226615463,1.245323093,73.88366623,4.872524854,-0.2775885391
16,0.6606418713,0.195967638,0.630907574,1.261815148,73.5363794,4.8955361,-0.2834064942
17,0.638743472,0.2335021227,0.5945334151,1.18906683,75.1179912,4.792460425,-0.2568293329
18,0.6536467758,0.2034097585,0.6211912569,1.242382514,74.07414306,4.859995474,-0.2743932138
19,0.6584305669,0.1819853694,0.6327812709,1.265562542,73.8258162,4.876342972,-0.2785583909
20,0.683748605,0.1973675901,0.6546435589,1.309287118,71.62039417,5.026501238,-0.3153112688
21,0.6711915387,0.2586166696,0.6193670155,1.238734031,72.06248099,4.995664804,-0.3079796846
22,0.7078500564,0.1981055475,0.6795630173,1.359126035,69.72420295,5.163199933,-0.3465394365
23,0.6096055059,0.2245331209,0.5667484013,1.133496803,77.88854287,4.621989149,-0.2098140808
24,0.6586921785,0.2520894988,0.6085443867,1.217088773,73.18748896,4.9188735,-0.2892408293
25,0.623192648,0.2299641509,0.5792111582,1.158422316,76.56429261,4.701930727,-0.2323541036
26,0.6601257073,0.2228030059,0.6213893867,1.242778773,73.35583012,4.907585388,-0.2864270628
27,0.6564748594,0.243777383,0.6095341078,1.219068216,73.46483364,4.900303753,-0.2846037848
28,0.64918882,0.2246473997,0.6090810044,1.218162009,74.27897628,4.846593451,-0.2709536712
29,0.6567697405,0.2113041703,0.6218496921,1.243699384,73.74203152,4.881883406,-0.2799625314
30,0.6708114253,0.268279812,0.6148283588,1.229656718,71.98161596,5.001276996,-0.3093221364
31,0.6112324597,0.2224754734,0.5693064056,1.138612811,77.75032848,4.630205518,-0.2121720695
32,0.6887456956,0.2820117902,0.6283629392,1.256725878,70.349791,5.117285992,-0.3362769775
33,0.6540076844,0.2360074688,0.6099397723,1.219879545,73.75477766,4.881039729,-0.2797489584
34,0.5930771965,0.1697945812,0.5682520226,1.136504045,79.8492427,4.508496109,-0.1762388108
35,0.684233307,0.3158855105,0.6069526858,1.213905372,70.22851783,5.126122708,-0.3382695737
36,0.6249266329,0.2257408028,0.5827301147,1.165460229,76.44124463,4.709499456,-0.2344423817
37,0.7041343087,0.2928905204,0.64032825,1.2806565,68.99952125,5.217427505,-0.3583757504
38,0.6547873572,0.2519900177,0.6043571081,1.208714216,73.52373127,4.896378268,-0.283618188
39,0.6780392178,0.2504982272,0.6300696938,1.260139388,71.58846532,5.028743086,-0.3158400565
40,0.6696893758,0.2625742209,0.6160670731,1.232134146,72.14215061,4.990147881,-0.3066564782
41,0.6989868211,0.1920871021,0.6720752349,1.34415047,70.45545053,5.10961178,-0.3345396949
42,0.6980818939,0.1816754404,0.6740269764,1.348053953,70.60333044,5.098909609,-0.3321063044
43,0.6803096206,0.2615289755,0.6280316671,1.256063334,71.28001482,5.050504,-0.3209433648
44,0.6458168163,0.2221623558,0.6064018864,1.212803773,74.59574491,4.826012535,-0.2656277155
45,0.665448314,0.1853779427,0.6391059983,1.278211997,73.21117602,4.917282027,-0.2888450583
46,0.6553701876,0.1525048339,0.6373792893,1.274758579,74.2707752,4.847128619,-0.27109145
47,0.6465217292,0.246247433,0.5977897189,1.195579438,74.30362118,4.844985941,-0.2705396019
48,0.68570547,0.2722497599,0.6293425616,1.258685123,70.71627253,5.090766059,-0.3302463313
49,0.6600548026,0.2375762195,0.6158164356,1.231632871,73.22162648,4.916580214,-0.2886704329
50,0.7281673788,0.2770854543,0.6733879882,1.346775976,67.40555773,5.340805894,-0.3842057688
51,0.6273484146,0.1854908388,0.5992989088,1.198597818,76.52828825,4.70414285,-0.2329652539
52,0.6981153552,0.1776298591,0.6751390097,1.350278019,70.62937005,5.097029745,-0.3316775886
53,0.6389475212,0.213195343,0.6023302089,1.204660418,75.27903736,4.782207805,-0.2541118191
54,0.6750197429,0.193874404,0.6465789734,1.293157947,72.35615405,4.975388821,-0.3030992371
55,0.6460006791,0.2186340622,0.6078782972,1.215756594,74.61057503,4.825053283,-0.2653781708
56,0.6313789404,0.2018321385,0.5982500767,1.196500153,76.04699842,4.733914651,-0.2411259029
57,0.6340162625,0.2104792624,0.5980594463,1.196118893,75.74200206,4.752977083,-0.246288586
58,0.6325139733,0.1986066409,0.6005242115,1.201048423,75.96888645,4.73878211,-0.2424487634
59,0.6539836043,0.2616376957,0.599366558,1.198733116,73.48645893,4.898861712,-0.2842419406
60,0.6667243807,0.2502895961,0.6179615829,1.235923166,72.5270868,4.963662762,-0.3002548926
61,0.7009596131,0.2546982627,0.6530491361,1.306098272,69.71743062,5.163701485,-0.3466503093
62,0.6304088785,0.1748011633,0.6056896131,1.211379226,76.3210616,4.716915521,-0.2364809942
63,0.7058554948,0.1295931691,0.6938570386,1.387714077,70.3149918,5.119818559,-0.3368489052
64,0.6246620615,0.2106564151,0.5880702049,1.17614041,76.59035591,4.700330684,-0.2319116389
65,0.6758901791,0.2148775787,0.6408238138,1.281647628,72.1123816,4.992207885,-0.3071509714
66,0.5892653738,0.151495186,0.5694584176,1.138916835,80.31032644,4.482611589,-0.1683117232
67,0.6798948717,0.2185766608,0.6438022056,1.287604411,71.75297742,5.017213402,-0.3131144541
68,0.6625012003,0.2537522644,0.6119784544,1.223956909,72.84538986,4.941973688,-0.2949511834
69,0.7102894036,0.2416664555,0.6679134384,1.335826877,69.14046145,5.206791977,-0.3560781887
70,0.6581791956,0.2230101225,0.6192465896,1.238493179,73.51951023,4.896659389,-0.2836888332
71,0.6598471993,0.2280144227,0.6191992809,1.238398562,73.33144549,4.909217288,-0.2868347974
72,0.6838585113,0.225518446,0.6456035115,1.291207023,71.36868601,5.044229061,-0.3194772477
73,0.6857820848,0.2826431634,0.6248279043,1.249655809,70.57875669,5.100684921,-0.3325108237
74,0.6396454394,0.1690499683,0.6169022584,1.233804517,75.53443384,4.766038239,-0.2497981178
75,0.7007964072,0.2264866266,0.663188821,1.326377642,70.02024842,5.141369934,-0.341688033
76,0.655353303,0.1816367358,0.6296793215,1.259358643,74.08997852,4.858956733,-0.2741274305
77,0.6841512746,0.244469095,0.6389818684,1.277963737,71.15695728,5.05923825,-0.3229767623
78,0.6515919187,0.2110420116,0.6164684078,1.232936816,74.18889544,4.852478229,-0.2724667305
79,0.6770155428,0.2007817795,0.6465575939,1.293115188,72.13871613,4.990385459,-0.3067135326
80,0.6648799096,0.1636204261,0.6444328129,1.288865626,73.40395786,4.9043677,-0.2856221679
81,0.6527451845,0.1932415696,0.623485342,1.246970684,74.22997856,4.84979259,-0.2717767537
82,0.6893522726,0.1889526016,0.6629505789,1.325901158,71.23720192,5.053539307,-0.3216509718
83,0.6881922565,0.2332805171,0.6474478992,1.294895798,70.94666271,5.07423445,-0.3264482073
84,0.6455549131,0.195385675,0.6152768351,1.23055367,74.83693814,4.810458698,-0.2615669856
85,0.6245323824,0.208092056,0.5888449651,1.17768993,76.62228096,4.698372268,-0.2313695966
86,0.6426199342,0.2418926544,0.5953556278,1.190711256,74.69198582,4.8197942,-0.2640079638
87,0.6001530671,0.2056415529,0.5638220071,1.127644014,78.94245279,4.560283944,-0.1917948338
88,0.6613813649,0.2608751254,0.6077577468,1.215515494,72.86085549,4.940924692,-0.2946932549
89,0.6598419328,0.2283036533,0.6190870845,1.238174169,73.32918259,4.909368785,-0.2868726327
90,0.6701869167,0.2651965185,0.6154846138,1.230969228,72.07013125,4.995134514,-0.3078526498
91,0.645790879,0.2275472712,0.604374138,1.208748276,74.54947872,4.829007609,-0.2664061175
92,0.6549835077,0.1927604515,0.6259766798,1.25195336,74.04166489,4.862127297,-0.2749382636
93,0.6727789186,0.2662555383,0.617850679,1.235701358,71.84248127,5.010962785,-0.3116304874
94,0.6559834944,0.1363825439,0.6416495512,1.283299102,74.30374145,4.844978099,-0.270537581
95,0.6900687358,0.2617769042,0.6384886158,1.276977232,70.49249044,5.106926961,-0.3339304052
96,0.6683053307,0.2423170226,0.6228278058,1.245655612,72.47865191,4.9669798,-0.3010611282
97,0.6966110271,0.26291218,0.6450923257,1.290184651,69.96294996,5.145580628,-0.3426277194
98,0.6702098487,0.2171221282,0.6340656296,1.268131259,72.56075032,4.961359942,-0.2996944111
99,0.6292448572,0.2137575331,0.5918249803,1.183649961,76.14678831,4.727710886,-0.2394352656
100,0.692580456,0.2343431521,0.6517292192,1.303458438,70.58767441,5.100040524,-0.3323640323
101,0.6730503372,0.2495288981,0.6250856624,1.250171325,72.00877932,4.999390399,-0.3088712622
102,0.6320551138,0.241111546,0.5842592655,1.168518531,75.64772316,4.758900664,-0.2478830426
103,0.6657565844,0.1978706857,0.6356721021,1.271344204,73.09175868,4.925315884,-0.2908398169
104,0.6710737586,0.2567909102,0.6199987241,1.239997448,72.09281547,4.99356278,-0.3074759394
105,0.7367840764,0.2977459598,0.6739422221,1.347884444,66.51341751,5.412441782,-0.3985343011
106,0.6775866705,0.2701414727,0.6214074997,1.242814999,71.40025116,5.041999071,-0.3189551547
107,0.6499780643,0.1344601649,0.635918193,1.271836386,74.82548226,4.811195185,-0.2617599622
108,0.6808933383,0.2860179981,0.6179073094,1.235814619,70.92930317,5.07547634,-0.3267345746
109,0.6356891991,0.2142211128,0.5985065352,1.19701307,75.56135238,4.764340349,-0.2493431672
110,0.6638393521,0.2581709644,0.6115802798,1.22316056,72.68320843,4.953000945,-0.2976546713
111,0.6251486893,0.1870972385,0.5964943479,1.192988696,76.71768646,4.692529411,-0.2297493187
112,0.6663000327,0.2778031168,0.6056246048,1.21124921,72.24195372,4.983253933,-0.3049980448
113,0.6912648678,0.2366093647,0.6495099121,1.299019824,70.66920495,5.094156645,-0.3310216144
114,0.602740973,0.2307459264,0.5568240278,1.113648056,78.49905623,4.586042397,-0.1993840756
115,0.7047959138,0.2313118662,0.6657567879,1.331513576,69.66470299,5.167609773,-0.3475133714
116,0.660221952,0.2430388968,0.6138608316,1.227721663,73.15232255,4.921238143,-0.2898283096
117,0.613772899,0.2247122675,0.571158094,1.142316188,77.49096745,4.645702743,-0.2165935222
118,0.6616579113,0.2307493032,0.620117691,1.240235382,73.15203261,4.921257649,-0.2898331529
119,0.6415288055,0.2470754518,0.592041324,1.184082648,74.73646913,4.816925447,-0.2632590496
120,0.6803139959,0.267166825,0.6256588692,1.251317738,71.21350256,5.055221089,-0.322042595
121,0.6845997821,0.202615403,0.6539295529,1.307859106,71.50984267,5.034272018,-0.317141742
122,0.6558179915,0.2537422017,0.604741377,1.209482754,73.41601113,4.903562513,-0.285420556
123,0.6524733167,0.21375006,0.6164676316,1.232935263,74.09002798,4.858953489,-0.2741266004
124,0.6331434676,0.2039773519,0.5993862615,1.198772523,75.87165898,4.74485473,-0.2440947234
125,0.5997369944,0.2337678412,0.5523016014,1.104603203,78.76748022,4.570414072,-0.1947910877
126,0.6511584296,0.1944560827,0.6214451966,1.242890393,74.35752738,4.841473523,-0.2696337267
127,0.6902947532,0.2626571396,0.6383714227,1.276742845,70.4643053,5.10896969,-0.3343940507
128,0.6386311283,0.2451121717,0.5897200533,1.179440107,75.01498483,4.799041162,-0.2585664131
129,0.7001778701,0.2761551137,0.6434185286,1.286837057,69.52463606,5.178020633,-0.3498045983
130,0.6386831106,0.2336920861,0.5943939137,1.188787827,75.12159588,4.79223046,-0.2567685291
131,0.654500055,0.2852039824,0.5890916825,1.178183365,73.15427914,4.92110652,-0.2897956262
132,0.6806115017,0.2220172033,0.6433819843,1.286763969,71.66358179,5.023472049,-0.3145958642
133,0.6471155424,0.2053576045,0.613666668,1.227333336,74.62373213,4.824202566,-0.2651567627
134,0.6405196692,0.2327813617,0.5967229543,1.193445909,74.96649915,4.802145013,-0.2593837779
135,0.6855412941,0.213819162,0.6513434055,1.302686811,71.3395272,5.046290803,-0.3199594531
136,0.6960780527,0.215254557,0.6619593123,1.323918625,70.49134277,5.107010107,-0.3339492859
137,0.703244375,0.2109094179,0.670872468,1.341744936,69.97172155,5.144935583,-0.3424838889
138,0.7206164371,0.2577724744,0.6729349158,1.345869832,68.19021739,5.279349646,-0.3715263587
139,0.6303123505,0.1700454409,0.6069416835,1.213883367,76.35907178,4.714567524,-0.2358363561
140,0.6946490122,0.2335297166,0.6542179465,1.308435893,70.43259485,5.111269871,-0.3349155909
141,0.6984728906,0.2173286055,0.6638016692,1.327603338,70.28554377,5.121963645,-0.3373327889
142,0.7214307875,0.2164104972,0.6882070022,1.376414004,68.5453875,5.251994527,-0.365764071
143,0.629308744,0.1610928186,0.6083408576,1.216681715,76.50180089,4.705771574,-0.2334148008
144,0.7110247866,0.270117054,0.6577180432,1.315436086,68.76637003,5.235117105,-0.3621717386
145,0.6389478561,0.2361251174,0.5937165078,1.187433016,75.07489332,4.795211609,-0.2575562289
146,0.6286196522,0.1526461749,0.609804733,1.219609466,76.61007517,4.69912083,-0.2315768422
147,0.6072048948,0.2127479872,0.5687144084,1.137428817,78.21089377,4.602939343,-0.204309934
148,0.6824227745,0.1872051855,0.6562431422,1.312486284,71.80480041,5.013592377,-0.3122553259
149,0.6931326153,0.2254193313,0.6554532382,1.310906476,70.6302346,5.096967355,-0.3316633534
150,0.6603471791,0.2111178195,0.62568975,1.2513795,73.43935079,4.902004118,-0.2850301234
151,0.6577596515,0.2278378109,0.6170394567,1.234078913,73.51089796,4.897233063,-0.2838329669
152,0.6538457754,0.1949878576,0.6240945709,1.248189142,74.12239625,4.856831649,-0.2735832643
153,0.6862965689,0.2014917877,0.6560518577,1.312103715,71.38296743,5.043219874,-0.3192410425
154,0.6726517274,0.2264671125,0.6333821859,1.266764372,72.27354311,4.981075847,-0.3044729293
155,0.6788408763,0.2485524077,0.631701382,1.263402764,71.54400871,5.031867888,-0.3165761584
156,0.6859733467,0.2220875322,0.6490273958,1.298054792,71.2306624,5.05400326,-0.3217590404
157,0.7037962031,0.2712364844,0.6494304158,1.298860832,69.30542045,5.194398903,-0.3533863448
158,0.681420541,0.265536296,0.6275543237,1.255108647,71.14298919,5.060231572,-0.3232074765
159,0.6530724417,0.2166616063,0.6160855155,1.232171031,74.01341216,4.86398329,-0.27541233
160,0.6846869406,0.2176936109,0.6491576838,1.298315368,71.37380044,5.043867607,-0.3193926606
161,0.7270991305,0.2367751018,0.6874668696,1.374933739,67.93422203,5.299243728,-0.3756707925
162,0.6593666734,0.261657218,0.605227156,1.210454312,73.02356032,4.929915748,-0.2919784425
163,0.7013599158,0.2433019049,0.6578068977,1.315613795,69.80921274,5.156912474,-0.3451472918
164,0.6360398772,0.2205102371,0.5965919549,1.19318391,75.47681788,4.76967644,-0.2507717003
165,0.6708837482,0.2389775103,0.6268769841,1.253753968,72.298089,4.979384725,-0.3040648352
166,0.6650888529,0.2488028095,0.6167984632,1.233596926,72.68036926,4.953194428,-0.2977019778
167,0.7035107464,0.3010002891,0.6358664925,1.271732985,68.9339745,5.222388563,-0.3594435344
168,0.6112068196,0.2075334194,0.5748944739,1.149788948,77.86883815,4.623158744,-0.2101503256
169,0.6542302751,0.2466589408,0.6059510045,1.211902009,73.62818262,4.889432106,-0.2818695558
170,0.6694432483,0.2888936659,0.6038995881,1.207799176,71.83406828,5.011549653,-0.3117700064
171,0.6700669152,0.185324449,0.6439289708,1.287857942,72.82758238,4.943182078,-0.2952481416
172,0.6909697566,0.2613444367,0.6396391873,1.279278375,70.42592485,5.111753957,-0.335025279
173,0.6911261554,0.2396327335,0.6482526634,1.296505327,70.64958845,5.095571084,-0.3313446657
174,0.647987441,0.2259885141,0.6073029846,1.214605969,74.37149953,4.840563956,-0.2693988904
