split,cosine
0,0.8675781143
1,0.8871827962
2,0.8741466295
3,0.88655878
4,0.8805271134
5,0.8737045076
6,0.8517208665
7,0.8837676507
8,0.8770081128
9,0.8920637463
10,0.8929494906
11,0.8963960673
12,0.906684685
13,0.8596273162
14,0.8788206804
15,0.888651216
16,0.8397740707
17,0.8913790794
18,0.9076005004
19,0.882589947
20,0.8639293301
21,0.8902513962
22,0.8993485558
23,0.9007212964
24,0.8422820699
25,0.8727641712
26,0.8592231725
27,0.87566683
28,0.89368684
29,0.8799405203
30,0.8662093521
31,0.866472081
32,0.8832439331
33,0.8755464448
34,0.8665956354
35,0.8668762985
36,0.9011413322
37,0.8881580334
38,0.9101138185
39,0.8983699821
40,0.8857668231
41,0.8868878859
42,0.8821486863
43,0.8907515861
44,0.8906487521
45,0.8715114301
46,0.876113572
47,0.8755819848
48,0.8782290925
49,0.8658957729
50,0.8863769868
51,0.8776503575
52,0.9091309303
53,0.8980042258
54,0.8878339286
55,0.892151712
56,0.8828190005
57,0.9026791811
58,0.8942568172
59,0.8854712838
60,0.8636770724
61,0.8662726757
62,0.8542234636
63,0.9033395336
64,0.884548921
65,0.8713592542
66,0.8811318886
67,0.8591599075
68,0.893396757
69,0.8833340897
70,0.8973342535
71,0.885952211
72,0.8840389705
73,0.8723275664
74,0.8888607002
75,0.9025092376
76,0.8658053772
77,0.8846899893
78,0.8799427953
79,0.8799116556
80,0.8824946467
81,0.8901707002
82,0.8808658888
83,0.8864506133
84,0.8733789044
85,0.8838631099
86,0.8830786648
87,0.8758205351
88,0.8451707682
89,0.8754958971
90,0.8838842562
91,0.866994063
92,0.8888202624
93,0.8574824739
94,0.8954553303
95,0.8581376879
96,0.8769571094
97,0.8811190936
98,0.9027171273
99,0.8735857586
100,0.8942580571
101,0.8824561934
102,0.8791698027
103,0.9054869101
104,0.884313882
105,0.8663194776
106,0.8926940308
107,0.8748345911
108,0.86243143
109,0.8887351195
110,0.8900750088
111,0.8526959916
112,0.8852510304
113,0.8873438607
114,0.8990576366
115,0.8920108337
116,0.8829525749
117,0.8834257166
118,0.8875474342
119,0.8689934527
120,0.8859275939
121,0.866220873
122,0.8331611523
123,0.8706332855
124,0.8804923123
125,0.8838013066
126,0.8693766681
127,0.8732045011
128,0.8961396047
129,0.8618532367
130,0.8506037385
131,0.8782046933
132,0.844635188
133,0.9071198465
134,0.8819821629
135,0.8806464812
136,0.8799489028
137,0.8387687259
138,0.8718803663
139,0.8854790441
140,0.8764024494
141,0.871996191
142,0.8829638261
143,0.872992178
144,0.8791967879
145,0.8765171704
146,0.8948809918
147,0.9042714147
148,0.873904518
149,0.8938753618
150,0.8861686125
151,0.8811316686
152,0.8879843153
153,0.9012618277
154,0.8937992706
155,0.8871942167
156,0.8749349373
157,0.8861827433
158,0.8941551291
159,0.8453265473
160,0.8985177281
161,0.8904396999
162,0.8732373439
163,0.8911977586
164,0.8775835277
165,0.8834260528
166,0.8954063598
167,0.9017970781
168,0.8915671931
169,0.9032056281
170,0.8970981443
171,0.841914138
172,0.8421647807
173,0.8615015262
174,0.9097045394
175,0.8700132441
176,0.890916236
177,0.8840739582
178,0.8895528876
179,0.8813100456
180,0.870654
181,0.8762390694
182,0.8947679098
183,0.8908752528
184,0.880783312
185,0.8690467285
186,0.8952842547
187,0.8701840538
188,0.875905209
189,0.8991710198
190,0.8859781582
191,0.9085139358
192,0.8778940103
193,0.8919731784
194,0.9052568261
195,0.8771869542
196,0.8664110308
197,0.8739127792
198,0.9026321817
199,0.8915466304
200,0.8787507908
201,0.8809067144
202,0.8677827864
203,0.884544902
204,0.8801216564
205,0.8695059911
206,0.8762353998
207,0.8872425061
208,0.874992617
209,0.8800886484
210,0.8661028277
211,0.8931261719
212,0.8855659091
213,0.881502206
214,0.8893791026
215,0.8845917039
216,0.8861312607
217,0.8903100927
218,0.8483478319
219,0.8801372549
220,0.8809485258
221,0.8631017452
222,0.8858321744
223,0.8838846829
224,0.8965365042
225,0.888030155
226,0.8755567986
227,0.9063552842
228,0.8822014897
229,0.8423300893
230,0.8997375758
231,0.890211476
232,0.8848152537
233,0.8930892456
234,0.8333560195
235,0.8873679925
236,0.9117091141
237,0.8731394553
238,0.8530960582
239,0.8769676568
240,0.8918995769
241,0.8757437225
242,0.8553226472
243,0.8854640006
244,0.8789633826
245,0.8625518133
246,0.872783071
247,0.8488268663
248,0.8784760894
249,0.9094864274
250,0.8757287061
251,0.8662211166
252,0.8650795692
253,0.87379001
254,0.8799320987
255,0.8870451916
256,0.8443326672
257,0.856577153
258,0.893832801
259,0.8979275351
260,0.8918417912
261,0.8895585164
262,0.892918201
263,0.8658714309
264,0.843909272
265,0.8789188476
266,0.8802387026
267,0.8904036743
268,0.8641108311
269,0.8806237246
270,0.8816217312
271,0.8929513945
272,0.9033222054
273,0.8650736311
274,0.8716815369
275,0.8939588436
276,0.866758031
277,0.8913525514
278,0.8598082104
279,0.8613914219
280,0.8846418163
281,0.9025704254
282,0.873433702
283,0.9060309966
284,0.8682025388
285,0.8759917026
286,0.8908703578
287,0.8892075046
288,0.8644404493
289,0.861915998
290,0.8886188725
291,0.8897014942
292,0.9069561059
293,0.8902021302
294,0.9068113091
295,0.8809493984
296,0.9171453675
297,0.9021700968
298,0.860278104
299,0.8848869152
