split,cosine
0,0.9233832998
1,0.9338474459
2,0.9133956736
3,0.9250730885
4,0.9034328143
5,0.934963449
6,0.8968300448
7,0.9125148969
8,0.923196981
9,0.9260021033
10,0.9243660897
11,0.9357227002
12,0.9339375771
13,0.9145737151
14,0.9217823977
15,0.9287658702
16,0.9415580303
17,0.8644680209
18,0.9046471002
19,0.921710615
20,0.9230966716
21,0.8977207734
22,0.9290916592
23,0.9119530179
24,0.8959155566
25,0.9325731625
26,0.9105751915
27,0.925107446
28,0.9087189798
29,0.9064982767
30,0.911053475
31,0.9207737629
32,0.8997900942
33,0.9178363161
34,0.9128195328
35,0.9352282501
36,0.8975395666
37,0.9025575081
38,0.9188286866
39,0.9349262023
40,0.9273690846
41,0.8934371831
42,0.9376651203
43,0.9083789761
44,0.9255416991
45,0.8814418081
46,0.9319086218
47,0.9241140089
48,0.91045678
49,0.9346445696
50,0.9274726955
51,0.8727471058
52,0.9229049684
53,0.9136562592
54,0.8626872122
55,0.895722343
56,0.9226973774
57,0.894663795
58,0.9283404128
59,0.8934483137
60,0.93492467
61,0.9166238885
62,0.8866749836
63,0.9234820029
64,0.9181408024
65,0.9058537647
66,0.9022168733
67,0.9070414732
68,0.9315779255
69,0.9191709736
70,0.9289628276
71,0.8843935892
72,0.8941110383
73,0.9207539278
74,0.9135821357
75,0.9239075512
76,0.9079180342
77,0.9098046229
78,0.9099597778
79,0.9383904645
80,0.9330442128
81,0.931986546
82,0.9222010701
83,0.9309550886
84,0.878451876
85,0.9016160658
86,0.9206436014
87,0.898508244
88,0.8779960312
89,0.9135981131
90,0.8957316413
91,0.9167417966
92,0.9099688751
93,0.9045170524
94,0.9143066886
95,0.9127854791
96,0.9030124873
97,0.922960822
98,0.9340852013
99,0.9061815937
100,0.9159273899
101,0.9252824666
102,0.9294715288
103,0.9102345788
104,0.927142326
105,0.9286092037
106,0.904556227
107,0.9415761112
108,0.9077624101
109,0.9053170837
110,0.9293969769
111,0.9222136343
112,0.9087771812
113,0.9200937127
114,0.9088710528
115,0.9344070245
116,0.9100189568
117,0.9312051658
118,0.9016704608
119,0.9095189079
120,0.9015401822
121,0.9321836945
122,0.8996971169
123,0.8984616426
124,0.9256752377
125,0.9066466768
126,0.9226655672
127,0.926622626
128,0.8929770906
129,0.9046057546
130,0.915792506
131,0.9357184855
132,0.9203738225
133,0.9023144075
134,0.9208810634
135,0.9171450891
136,0.9255932193
137,0.9070606419
138,0.9207423468
139,0.920277741
140,0.9195263078
141,0.9369010474
142,0.9189751166
143,0.9199506583
144,0.9183461125
145,0.9055863675
146,0.9003231383
147,0.925041795
148,0.9180041547
149,0.9244343836
150,0.9338930898
151,0.9365470127
152,0.9288354083
153,0.9453248782
154,0.911338331
155,0.9124228961
156,0.8922079178
157,0.9204335253
158,0.9149011089
159,0.9412207286
160,0.9358495381
161,0.9276202163
162,0.909599826
163,0.9151756169
164,0.9243360638
165,0.8837076998
166,0.9276719754
167,0.9278359787
168,0.9411918106
169,0.9008240574
170,0.899613772
171,0.9143114387
172,0.9380966874
173,0.893092378
174,0.9076841349
175,0.9005935048
176,0.8891005313
177,0.8898614175
178,0.9347193653
179,0.9367659982
180,0.9208580616
181,0.9330486771
182,0.909179153
183,0.9295300149
184,0.9215121396
185,0.9082665056
186,0.8848598713
187,0.8927281845
188,0.9201219403
189,0.900052799
190,0.8878801455
191,0.9315352873
192,0.9073420437
193,0.9292819962
194,0.9056369651
195,0.9242869309
196,0.9243326081
197,0.9181575586
198,0.8932002484
199,0.9279769581
200,0.8841811409
201,0.9270770712
202,0.9266302216
203,0.9167322043
204,0.8932355054
205,0.9039364033
206,0.9112364708
207,0.9067539199
208,0.9096389195
209,0.9059771426
210,0.916759693
211,0.9196704711
212,0.9342650814
213,0.9379051566
214,0.9093971766
215,0.9117571739
216,0.9166589907
217,0.925775593
218,0.8910703288
219,0.9160966708
220,0.9349331577
221,0.9225481264
222,0.9157419133
223,0.9140194993
224,0.9298210404
225,0.9187257192
226,0.8983776437
227,0.9226407805
228,0.9288776973
229,0.9128850967
230,0.9081795884
231,0.8996906665
232,0.9213282844
233,0.9170239547
234,0.9325215903
235,0.9224513359
236,0.8905723154
237,0.9020709523
238,0.9334952872
239,0.9190630637
240,0.9252151127
241,0.9431422756
242,0.9315541837
243,0.9191763664
244,0.9370636112
245,0.8958366709
246,0.927546801
247,0.9226503465
248,0.8952412625
249,0.9341561312
250,0.9207176737
251,0.9132388181
252,0.9122441481
253,0.8985629545
254,0.9132166424
255,0.9253743498
256,0.9475702619
257,0.9099529928
258,0.8708626307
259,0.9164048229
260,0.8942552753
261,0.917641661
262,0.9243323643
263,0.9272766624
264,0.9148193409
265,0.8790902315
266,0.9358023659
267,0.9237151698
268,0.906468528
269,0.9332777972
270,0.9186420753
271,0.9240191401
272,0.8992664083
273,0.9138018355
274,0.9120829477
275,0.9334390983
276,0.9244771732
277,0.914440184
278,0.8840423962
279,0.9228357827
280,0.9205033833
281,0.9412935994
282,0.9282119384
283,0.9160774555
284,0.8843903605
285,0.9259028439
286,0.9398536954
287,0.9284709018
288,0.929966155
289,0.9323567063
290,0.9050093522
291,0.9259624961
292,0.9000640737
293,0.9075597111
294,0.9316628343
295,0.9337610655
296,0.9292425865
297,0.898238194
298,0.9339732428
299,0.9293579898
