scenario_id,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
politeness-apology-003,110.259267,0.6108194678,-0.01899484752,0.610524052,1.221048104,78.60025435,4.58013785,-0.1976529887
politeness-apology-013,119.385307,0.5788789191,0.2056422894,0.5411211064,1.082242213,81.06243655,4.441021209,-0.1553580652
politeness-apology-043,111.936962,0.7287947311,-0.04674514989,0.7272940609,1.454588122,68.86556277,5.227576535,-0.3605574883
politeness-apology-057,109.7379553,0.5959761781,0.1855927368,0.5663417175,1.132683435,79.47825168,4.529541005,-0.182608736
politeness-apology-065,107.1039292,0.7751785058,-0.099274337,0.7687953706,1.537590741,65.46659397,5.498987777,-0.4152237208
politeness-apology-067,98.8555911,0.8626905517,-0.03935333951,0.861792494,1.723584988,60.16587943,5.983457791,-0.4974906414
politeness-apology-081,103.8100306,0.6271452063,0.3243845538,0.5367362211,1.073472442,75.0505007,4.79677013,-0.2579675744
politeness-apology-098,99.85763578,0.6423582329,0.263693434,0.5857387406,1.171477481,74.48325461,4.833301148,-0.2675199975
politeness-bad-news-delivery-020,85.20649491,0.6529622856,0.2012967567,0.6211596913,1.242319383,74.1496878,4.855044042,-0.2731250786
politeness-bad-news-delivery-028,125.3772779,0.5778556566,0.2918517246,0.4987381384,0.9974762768,80.44893488,4.474888332,-0.1659265716
politeness-bad-news-delivery-066,97.75920843,0.8416416317,0.3122039981,0.7815940761,1.563188152,59.61079278,6.039174841,-0.5058712838
politeness-bad-news-delivery-073,123.1951732,0.5885680743,0.28418202,0.5154153253,1.030830651,79.40483087,4.533729196,-0.1838684742
politeness-complaint-030,119.8961148,0.8789615451,-0.1484969654,0.8663267565,1.732653513,58.90137295,6.111911862,-0.5165128104
politeness-complaint-032,104.2814527,0.7289279618,0.3782797505,0.6230894028,1.246178806,65.69997551,5.479454097,-0.4115147481
politeness-complaint-040,87.73127253,0.8915533583,0.3413516475,0.8236178989,1.647235798,56.51322763,6.370190044,-0.5517444549
politeness-complaint-049,125.2703319,0.7213770671,-0.09243024376,0.7154310051,1.43086201,69.29677475,5.195046975,-0.3535275006
politeness-complaint-063,125.1705664,0.7179522352,-0.1464326286,0.7028605105,1.405721021,69.30951946,5.194091703,-0.3533194186
politeness-complaint-072,104.7777981,0.8186446526,-0.003651019312,0.8186365111,1.637273022,62.83006907,5.729740637,-0.4566310946
politeness-complaint-089,102.9991205,0.7475021243,0.103388937,0.7403176032,1.480635206,67.36076599,5.344357279,-0.3849274125
politeness-correction-002,80.32635948,0.8124704336,0.1932768636,0.7891465387,1.578293077,62.53974336,5.75633958,-0.461133225
politeness-correction-005,111.6705977,0.5236262518,-0.05319337727,0.5209173794,1.041834759,87.34185732,4.121735111,-0.04637670116
politeness-correction-007,76.59502833,0.8740042834,-0.03520748373,0.8732948646,1.746589729,59.52565168,6.047812831,-0.5071525554
politeness-correction-024,94.44801583,0.7293952453,0.3925381121,0.6147611361,1.229522272,65.35703653,5.508205682,-0.4169624694
politeness-correction-027,129.7879815,0.6572234296,0.08371822214,0.6518695389,1.303739078,74.40510516,4.838377679,-0.2688339999
politeness-correction-045,103.9956036,0.9115719975,0.0742420992,0.9085436793,1.817087359,57.40333085,6.271413081,-0.5387218087
politeness-correction-051,109.7541941,0.6007056899,-0.06211202179,0.5974859184,1.194971837,79.48981553,4.528882066,-0.1824102987
politeness-correction-076,101.0442568,0.7195902053,-0.2611305884,0.6705377538,1.341075508,68.22843249,5.276392654,-0.3709070375
politeness-correction-087,105.3969765,0.7397159124,0.09519785526,0.7335645844,1.467129169,67.9462839,5.298303003,-0.3754756847
politeness-criticism-or-feedback-023,78.64249032,0.829162204,-0.04733238372,0.8278101267,1.655620253,62.14288232,5.793101101,-0.4672682397
politeness-criticism-or-feedback-036,127.4275758,0.7747486548,0.2601950559,0.7297492796,1.459498559,64.36181321,5.593378776,-0.4326867109
politeness-criticism-or-feedback-041,97.6392106,0.7593860644,-0.1536665219,0.7436758668,1.487351734,66.28602842,5.431008745,-0.4021710491
politeness-criticism-or-feedback-050,102.9461034,0.6206308834,0.1639312582,0.5985893718,1.197178744,77.27406406,4.658742935,-0.2202877747
politeness-criticism-or-feedback-054,100.6942899,0.8250779686,-0.319504264,0.7607040684,1.521408137,60.47900778,5.952478608,-0.4927424109
politeness-criticism-or-feedback-071,102.594525,0.8650414235,0.007391954111,0.86500984,1.73001968,60.05552118,5.994453015,-0.4991605631
politeness-criticism-or-feedback-099,94.74650218,0.6888516174,0.1445764067,0.6735088814,1.347017763,71.56401067,5.030461494,-0.3162449944
