scenario_id,level,valence,markedness
politeness-apology-003,negative,-22.80752812,-6.895285805
politeness-apology-003,neutral,-2.570326145,10.89561632
politeness-apology-003,positive,25.37785427,-4.00033052
politeness-apology-013,negative,-35.57028653,-23.95839551
politeness-apology-013,neutral,9.594601326,19.74977484
politeness-apology-013,positive,25.9756852,4.208620665
politeness-apology-043,negative,-20.63923118,-4.117249461
politeness-apology-043,neutral,2.554675544,21.71016175
politeness-apology-043,positive,18.08455564,-17.59291229
politeness-apology-057,negative,-15.67929995,-19.19566872
politeness-apology-057,neutral,-1.104312134,16.53129757
politeness-apology-057,positive,16.78361209,2.664371149
politeness-apology-065,negative,-26.10739659,-4.421802156
politeness-apology-065,neutral,15.47652579,22.27016528
politeness-apology-065,positive,10.6308708,-17.84836313
politeness-apology-067,negative,-19.96371103,-10.640042
politeness-apology-067,neutral,5.229032439,16.65373389
politeness-apology-067,positive,14.73467859,-6.013691884
politeness-apology-081,negative,-27.45602443,-19.21622158
politeness-apology-081,neutral,10.85981435,15.2128271
politeness-apology-081,positive,16.59621008,4.00339448
politeness-apology-098,negative,-19.83047492,-3.438766768
politeness-apology-098,neutral,12.02439332,6.264642056
politeness-apology-098,positive,7.806081602,-2.825875288
politeness-bad-news-delivery-020,negative,-24.1315929,-5.026284531
politeness-bad-news-delivery-020,neutral,8.994744342,9.635444417
politeness-bad-news-delivery-020,positive,15.13684856,-4.609159886
politeness-bad-news-delivery-028,negative,-39.17229329,-20.90248576
politeness-bad-news-delivery-028,neutral,18.13514446,20.58461909
politeness-bad-news-delivery-028,positive,21.03714884,0.3178666607
politeness-bad-news-delivery-066,negative,-38.19600849,-15.21659648
politeness-bad-news-delivery-066,neutral,22.57568574,19.82233529
politeness-bad-news-delivery-066,positive,15.62032276,-4.605738809
politeness-bad-news-delivery-073,negative,-33.03679611,-21.32450785
politeness-bad-news-delivery-073,neutral,14.56760467,19.99397285
politeness-bad-news-delivery-073,positive,18.46919144,1.330534996
politeness-complaint-030,negative,-30.62929461,-11.60289221
politeness-complaint-030,neutral,-1.021349829,43.58372197
politeness-complaint-030,positive,31.65064444,-31.98082975
politeness-complaint-032,negative,-39.21407107,-19.6598227
politeness-complaint-032,neutral,17.40203798,24.78169565
politeness-complaint-032,positive,21.81203309,-5.12187295
politeness-complaint-040,negative,-36.29753821,-18.97986593
politeness-complaint-040,neutral,19.58814148,24.44600482
politeness-complaint-040,positive,16.70939674,-5.466138887
politeness-complaint-049,negative,-34.59931007,-12.8973098
politeness-complaint-049,neutral,6.404254556,30.58462357
politeness-complaint-049,positive,28.19505551,-17.68731376
politeness-complaint-063,negative,-22.0293111,9.92017539
politeness-complaint-063,neutral,-3.171078059,16.23806898
politeness-complaint-063,positive,25.20038916,-26.15824437
politeness-complaint-072,negative,-26.68576584,-14.67363083
politeness-complaint-072,neutral,22.27055704,23.99956523
politeness-complaint-072,positive,4.415208804,-9.325934403
politeness-complaint-089,negative,-32.93697661,-6.78128202
politeness-complaint-089,neutral,18.34437107,27.98285391
politeness-complaint-089,positive,14.59260554,-21.20157189
politeness-correction-002,negative,-20.24919663,-10.90280682
politeness-correction-002,neutral,4.89055863,16.91763388
politeness-correction-002,positive,15.358638,-6.014827057
politeness-correction-005,negative,-28.37515384,4.376744924
politeness-correction-005,neutral,3.599246677,17.92852407
politeness-correction-005,positive,24.77590716,-22.305269
politeness-correction-007,negative,-12.09648442,-8.758468756
politeness-correction-007,neutral,4.95533609,17.72835048
politeness-correction-007,positive,7.141148329,-8.969881727
politeness-correction-024,negative,-24.43535279,-4.707513516
politeness-correction-024,neutral,10.65498643,10.8208022
politeness-correction-024,positive,13.78036635,-6.113288688
politeness-correction-027,negative,-21.87585173,-28.10176789
politeness-correction-027,neutral,6.925134242,13.99748729
politeness-correction-027,positive,14.95071749,14.1042806
politeness-correction-045,negative,-35.89391746,-15.934801
politeness-correction-045,neutral,10.94602543,32.34450408
politeness-correction-045,positive,24.94789203,-16.40970308
politeness-correction-051,negative,-8.703610253,-11.23738473
politeness-correction-051,neutral,0.559080328,13.67461682
politeness-correction-051,positive,8.144529925,-2.437232093
politeness-correction-076,negative,-14.1290106,0.3191333346
politeness-correction-076,neutral,5.923907201,21.56020611
politeness-correction-076,positive,8.205103404,-21.87933944
politeness-correction-087,negative,-30.34473243,-4.989949152
politeness-correction-087,neutral,11.55571696,19.04861871
politeness-correction-087,positive,18.78901548,-14.05866956
politeness-criticism-or-feedback-023,negative,-21.39140208,2.16003075
politeness-criticism-or-feedback-023,neutral,5.36648905,7.583950444
politeness-criticism-or-feedback-023,positive,16.02491303,-9.743981194
politeness-criticism-or-feedback-036,negative,-31.5318004,-23.31580817
politeness-criticism-or-feedback-036,neutral,20.94498566,28.7965587
politeness-criticism-or-feedback-036,positive,10.58681474,-5.480750533
politeness-criticism-or-feedback-041,negative,-16.66887826,0.5921314856
politeness-criticism-or-feedback-041,neutral,8.952169869,10.65726724
politeness-criticism-or-feedback-041,positive,7.716708387,-11.24939873
politeness-criticism-or-feedback-050,negative,-29.57674316,-13.56538867
politeness-criticism-or-feedback-050,neutral,10.43961111,19.42139438
politeness-criticism-or-feedback-050,positive,19.13713205,-5.85600571
politeness-criticism-or-feedback-054,negative,-18.74837889,-9.833099275
politeness-criticism-or-feedback-054,neutral,3.315265987,20.682391
politeness-criticism-or-feedback-054,positive,15.4331129,-10.84929173
politeness-criticism-or-feedback-071,negative,-23.07528712,-14.82566611
politeness-criticism-or-feedback-071,neutral,8.975425532,29.60558011
politeness-criticism-or-feedback-071,positive,14.09986159,-14.779914
politeness-criticism-or-feedback-099,negative,-25.18993025,-21.73180309
politeness-criticism-or-feedback-099,neutral,-0.3826038272,18.42472714
politeness-criticism-or-feedback-099,positive,25.57253408,3.307075955
politeness-criticism-or-feedback-100,negative,-30.09152951,-9.077209285
politeness-criticism-or-feedback-100,neutral,19.0344422,13.91082901
politeness-criticism-or-feedback-100,positive,11.05708731,-4.833619722
politeness-disagreement-012,negative,-27.38355589,9.526731277
politeness-disagreement-012,neutral,7.683971253,9.814940573
politeness-disagreement-012,positive,19.69958464,-19.34167185
politeness-disagreement-035,negative,-24.10796487,-4.105704447
politeness-disagreement-035,neutral,9.365410544,9.151343226
politeness-disagreement-035,positive,14.74255432,-5.045638779
politeness-disagreement-047,negative,-20.98304158,6.797618949
politeness-disagreement-047,neutral,0.7436000858,4.112743666
politeness-disagreement-047,positive,20.2394415,-10.91036262
politeness-disagreement-048,negative,-26.65171957,-20.93270304
politeness-disagreement-048,neutral,12.68695754,24.42012679
politeness-disagreement-048,positive,13.96476203,-3.48742375
politeness-disagreement-075,negative,-21.33075498,-3.508386138
politeness-disagreement-075,neutral,9.766169517,8.487329902
politeness-disagreement-075,positive,11.56458547,-4.978943764
politeness-disagreement-086,negative,-21.99972389,8.666079147
politeness-disagreement-086,neutral,4.704492517,-5.512635796
politeness-disagreement-086,positive,17.29523137,-3.153443351
politeness-inquiry-sensitive-008,negative,-23.89843918,-11.71032399
politeness-inquiry-sensitive-008,neutral,-3.939941237,17.16654187
politeness-inquiry-sensitive-008,positive,27.83838042,-5.456217882
politeness-inquiry-sensitive-009,negative,-31.58880358,4.372692625
politeness-inquiry-sensitive-009,neutral,12.41426435,17.0766676
politeness-inquiry-sensitive-009,positive,19.17453923,-21.44936022
politeness-inquiry-sensitive-016,negative,-27.42198003,9.634015172
politeness-inquiry-sensitive-016,neutral,10.71322634,15.77357362
politeness-inquiry-sensitive-016,positive,16.7087537,-25.4075888
politeness-inquiry-sensitive-092,negative,-12.22249784,0.8023133973
politeness-inquiry-sensitive-092,neutral,8.751308547,2.915947488
politeness-inquiry-sensitive-092,positive,3.471189291,-3.718260886
politeness-refusal-038,negative,-29.22019745,-22.7510609
politeness-refusal-038,neutral,16.00340716,15.84843009
politeness-refusal-038,positive,13.21679029,6.902630811
politeness-refusal-058,negative,-27.00307598,0.8203199063
politeness-refusal-058,neutral,4.816227431,18.14566435
politeness-refusal-058,positive,22.18684855,-18.96598426
politeness-refusal-064,negative,-34.15296787,-8.130059108
politeness-refusal-064,neutral,8.991319514,14.92027495
politeness-refusal-064,positive,25.16164835,-6.790215843
politeness-refusal-069,negative,-31.32911698,0.5934473006
politeness-refusal-069,neutral,4.333573225,1.124545086
politeness-refusal-069,positive,26.99554375,-1.717992387
politeness-refusal-077,negative,-26.66647138,4.889155501
politeness-refusal-077,neutral,8.73310106,18.13031426
politeness-refusal-077,positive,17.93337032,-23.01946976
politeness-refusal-080,negative,-31.78967892,-5.522508386
politeness-refusal-080,neutral,5.316678516,6.029770978
politeness-refusal-080,positive,26.4730004,-0.5072625925
politeness-refusal-083,negative,-27.38252255,-11.24573238
politeness-refusal-083,neutral,4.187685626,18.09637761
politeness-refusal-083,positive,23.19483693,-6.850645227
politeness-refusal-090,negative,-30.72442453,-9.224037667
politeness-refusal-090,neutral,11.55495041,14.55938109
politeness-refusal-090,positive,19.16947412,-5.335343428
politeness-reminder-017,negative,-19.39368288,-4.325945904
politeness-reminder-017,neutral,5.877699966,24.23795633
politeness-reminder-017,positive,13.51598291,-19.91201043
