draw,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
0,0.6224419251,0.2683145143,0.5616415863,1.123283173,76.2498914,4.721318199,-0.2376877333
1,0.6001198318,0.2774628905,0.5321260724,1.064252145,78.30559596,4.597372583,-0.2026916557
2,0.6041251314,0.2249430549,0.5606851134,1.121370227,78.41225283,4.591119206,-0.2008684322
3,0.5986151163,0.248829363,0.5444483498,1.0888967,78.74569295,4.571678609,-0.1951640492
4,0.6177196825,0.292208242,0.5442351968,1.088470394,76.40862765,4.711509826,-0.2349957517
5,0.5906945293,0.2703441705,0.5251990636,1.050398127,79.33343276,4.537809439,-0.1850932177
6,0.6380033699,0.2055694061,0.6039780785,1.207956157,75.42453984,4.772982384,-0.2516548643
7,0.6297104598,0.2947339738,0.556477446,1.112954892,75.24740236,4.784218308,-0.2546457913
8,0.6381542989,0.300099258,0.5631885515,1.126377103,74.40039259,4.838684145,-0.268913221
9,0.6308580405,0.2881355889,0.561212749,1.122425498,75.2283407,4.785430553,-0.2549674986
10,0.588902263,0.2986874748,0.5075348932,1.015069786,79.20126175,4.545382132,-0.1873596829
11,0.611604104,0.2778342992,0.5448556527,1.089711305,77.17286267,4.664852223,-0.2220103384
12,0.6256723296,0.3545881116,0.515493099,1.030986198,74.65420937,4.822233107,-0.2646438372
13,0.582443879,0.3354083224,0.4761744737,0.9523489474,79.38520842,4.534849844,-0.1842051008
14,0.6134785855,0.2521410059,0.5592681718,1.118536344,77.26885875,4.659056777,-0.2203763919
15,0.5558875088,0.2563276729,0.4932616411,0.9865232822,83.17789326,4.328073072,-0.1187870808
16,0.6100087714,0.2591984436,0.5522018363,1.104403673,77.53061244,4.64332718,-0.2159179599
17,0.5782975518,0.249063073,0.521915361,1.043830722,80.81110257,4.454833415,-0.1596899011
18,0.6090394477,0.2416836216,0.5590331617,1.118066323,77.79394896,4.627609278,-0.2114280207
19,0.6196513382,0.263243154,0.560955277,1.121910554,76.56816797,4.701692747,-0.2322883164
20,0.6421762871,0.3343731446,0.5482563121,1.096512624,73.50101213,4.897891737,-0.2839984071
21,0.6284745272,0.3274891808,0.5364056933,1.072811387,74.87542334,4.807986171,-0.260918618
22,0.5871013839,0.2907603645,0.5100455327,1.020091065,79.48298452,4.529271292,-0.1825275206
23,0.6606687534,0.2741879881,0.6010858083,1.202171617,72.76381577,4.947514038,-0.2963112817
24,0.6520664658,0.2779767386,0.5898471061,1.179694212,73.4580373,4.900757129,-0.2847174959
25,0.5709766768,0.2738988155,0.5009928187,1.001985637,81.37246107,4.424101167,-0.150010567
26,0.5918033628,0.2217836887,0.5486740523,1.097348105,79.64741851,4.519920504,-0.1797050709
27,0.5838842082,0.2562914001,0.524628904,1.049257808,80.16801669,4.490568868,-0.1707595412
28,0.6131619697,0.3258572666,0.5194079734,1.038815947,76.3677421,4.714032262,-0.2356892963
29,0.6157751405,0.2870926762,0.5447539068,1.089507814,76.6596984,4.696079003,-0.23073421
30,0.6419273778,0.2955574245,0.5698390713,1.139678143,74.12345486,4.856762285,-0.2735654929
31,0.636157705,0.3121031946,0.5543358383,1.108671677,74.40735666,4.838231274,-0.2687961503
32,0.5936584749,0.3037810108,0.5100465492,1.020093098,78.64459282,4.577555647,-0.1968943439
33,0.6372427288,0.2473677681,0.5872712173,1.174542435,75.11662865,4.792547356,-0.2568523162
34,0.6246251333,0.2864572737,0.5550664713,1.110132943,75.82880185,4.74753644,-0.2448200272
35,0.6324104217,0.2443065301,0.5833157471,1.166631494,75.58406727,4.762908547,-0.2489592198
36,0.6267331274,0.2221683677,0.5860338125,1.172067625,76.30602,4.717845328,-0.2367360652
37,0.5820150165,0.2671160836,0.5170981313,1.034196263,80.26207919,4.485306182,-0.1691417235
38,0.6046061991,0.2779045524,0.5369522472,1.073904494,77.85552105,4.62394953,-0.2103775568
39,0.6160397259,0.3058797704,0.5347359255,1.069471851,76.38596027,4.712907958,-0.2353802749
40,0.6117049009,0.2708222851,0.54848717,1.09697434,77.24275487,4.660631287,-0.2208207667
41,0.6185053314,0.3233607807,0.5272443935,1.054488787,75.88832625,4.743812623,-0.2438126137
42,0.6054237134,0.2521241307,0.5504282837,1.100856567,78.04574809,4.612679215,-0.207130618
