draw,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
0,0.5668450104,0.2507683314,0.5083586428,1.016717286,82.01457672,4.38946361,-0.1389211606
1,0.5738654327,0.2867134708,0.4971085601,0.9942171202,80.93398047,4.44806987,-0.1575724329
2,0.6245760313,0.3140489396,0.5398782108,1.079756422,75.45293686,4.771186053,-0.2511751626
3,0.6296267673,0.2790923044,0.5643911336,1.128782267,75.45543951,4.771027806,-0.2511328831
4,0.5997287222,0.3148470593,0.5104369398,1.02087388,77.87356609,4.622878058,-0.2100696494
5,0.5548892748,0.2639699301,0.4880798943,0.9761597887,83.23448233,4.325130522,-0.1178063502
6,0.5826552945,0.2766154684,0.5128070543,1.025614109,80.10129744,4.494309225,-0.1719067928
7,0.5950657638,0.2232698063,0.5515921109,1.103184222,79.31215076,4.539027079,-0.1854582277
8,0.5806367305,0.269131801,0.5144969256,1.028993851,80.38718493,4.478325747,-0.1669892755
9,0.647469026,0.2590140942,0.5934036052,1.18680721,74.08386552,4.859357668,-0.2742300339
10,0.617477941,0.3079303981,0.5352175983,1.070435197,76.2184816,4.723263865,-0.2382201915
11,0.5897271431,0.2384349962,0.5393763584,1.078752717,79.72500958,4.515521565,-0.1783727328
12,0.5902116657,0.2270927507,0.5447739833,1.089547967,79.76643566,4.513176464,-0.1776612598
13,0.6385196748,0.2253444663,0.5974338847,1.194867769,75.2126825,4.786426811,-0.255231744
14,0.6231706384,0.2901066747,0.5515249422,1.103049884,75.91874881,4.741911657,-0.243297629
15,0.6369603974,0.2558136869,0.5833334428,1.166666886,75.05364008,4.796569488,-0.2579146359
16,0.5702076633,0.2666043348,0.5040425656,1.008085131,81.5214481,4.416015765,-0.1474391725
17,0.6364220813,0.3263012284,0.5464069673,1.092813935,74.15967116,4.854390457,-0.2729574569
18,0.6503972975,0.2586133218,0.5967711407,1.193542281,73.83200224,4.875934406,-0.2784546958
19,0.6078084467,0.3332654493,0.5082964177,1.016592835,76.7774304,4.688877944,-0.2287343586
20,0.6208910515,0.3012749833,0.5428987772,1.085797554,75.98551124,4.737745317,-0.242167253
21,0.627795147,0.3385440046,0.5286915012,1.057383002,74.75111976,4.815981368,-0.2630123591
22,0.6554594658,0.2903412271,0.5876470736,1.175294147,73.00308778,4.931298264,-0.2923201672
23,0.6414484428,0.2607369664,0.5860651322,1.172130264,74.59755816,4.825895229,-0.2655972053
24,0.5198803429,0.2493355486,0.4561878507,0.9123757014,87.45512601,4.11639679,-0.04440182739
