split,cosine
0,0.8326141289
1,0.7725130141
2,0.8106202081
3,0.7949780597
4,0.806554928
5,0.8465831213
6,0.8248638147
7,0.7612526704
8,0.8148441972
9,0.7789892295
10,0.7926909478
11,0.7955532205
12,0.7938397208
13,0.7311255893
14,0.7676067481
15,0.8131614533
16,0.7698804487
17,0.8177387143
18,0.7833897682
19,0.7928337646
20,0.8055054381
21,0.819770058
22,0.7920940158
23,0.7960694909
24,0.8080567692
25,0.7738083458
26,0.7531814026
27,0.8031817312
28,0.8189841423
29,0.7959168284
30,0.8165117163
31,0.7709978505
32,0.8282639944
33,0.8253926249
34,0.7822728041
35,0.8256614548
36,0.8076414351
37,0.7908524628
38,0.7989800362
39,0.80870291
40,0.8339264883
41,0.7903500997
42,0.8352723184
43,0.8121980474
44,0.8211137725
45,0.8214040341
46,0.7281703802
47,0.8030683381
48,0.7809623709
49,0.8351836129
50,0.7853515139
51,0.8101607051
52,0.8209110724
53,0.7546145694
54,0.7380483175
55,0.7903338695
56,0.8082199035
57,0.7950352375
58,0.7307549828
59,0.8020159454
60,0.7746005308
61,0.8096135798
62,0.802066403
63,0.7778932532
64,0.7591282454
65,0.7283972264
66,0.8228928337
67,0.7821486111
68,0.8121588045
69,0.8015064561
70,0.7868412073
71,0.8258132065
72,0.7990435483
73,0.7957711282
74,0.8123257482
75,0.7777405874
76,0.8031873929
77,0.7919619318
78,0.81119085
79,0.7612387751
80,0.8200754358
81,0.8170049724
82,0.8158063221
83,0.7674838217
84,0.8127327851
85,0.7789485613
86,0.798439853
87,0.8012776329
88,0.8200282725
89,0.8173283398
90,0.8300655903
91,0.7482079947
92,0.8214102471
93,0.8083212179
94,0.7398568512
95,0.8144599678
96,0.8217183789
97,0.8406650424
98,0.8194868141
99,0.8248303032
100,0.8248196404
101,0.7461910638
102,0.8404973878
103,0.7616494128
104,0.791080586
105,0.8178438712
106,0.812179359
107,0.7642555937
108,0.8249984985
109,0.7872303903
110,0.8137212282
111,0.7965502153
112,0.793164475
113,0.7801534888
114,0.8176011554
115,0.8290946987
116,0.7866169573
117,0.8203719497
118,0.827349158
119,0.808545892
120,0.8006854393
121,0.793008689
122,0.8026802113
123,0.7876101155
124,0.8065756517
125,0.7857959438
126,0.7196782934
127,0.818731416
128,0.8008703904
129,0.8206857094
130,0.7135391369
131,0.8001969002
132,0.8003272102
133,0.7985132008
134,0.7957562657
135,0.8204710749
136,0.8109954472
137,0.7906005358
138,0.7545123389
139,0.7886853675
140,0.7885951506
141,0.8014330694
142,0.8031421288
143,0.8183807106
144,0.7873870943
145,0.8103953682
146,0.8224742567
147,0.7472223969
148,0.7854304879
149,0.7834594447
150,0.7747882143
151,0.7496711071
152,0.8132244683
153,0.7940217113
154,0.8035694743
155,0.8028281012
156,0.8035039051
157,0.8220891479
158,0.7250415297
159,0.7889347783
160,0.8014821439
161,0.8131138078
162,0.8353432437
163,0.8142979007
164,0.8009294794
165,0.8210534933
166,0.7980657776
167,0.7908364263
168,0.8242041393
169,0.796503784
170,0.7590114924
171,0.7876559985
172,0.8332896515
173,0.7922936448
174,0.7816028386
175,0.8284505699
176,0.7700110942
177,0.8239500136
178,0.8007916557
179,0.8394189223
180,0.8083931023
181,0.7867327251
182,0.7939624295
183,0.7376591902
184,0.7849791974
185,0.81734415
186,0.8408714591
187,0.7841397627
188,0.7866573114
189,0.8117038476
190,0.8285178279
191,0.7890344186
192,0.8214498359
193,0.7805226529
194,0.8235803927
195,0.7867386739
196,0.770361986
197,0.749981815
198,0.8254226434
199,0.8123641711
200,0.8303036951
201,0.7704183817
202,0.7953669959
203,0.8034353944
204,0.782354208
205,0.7733010992
206,0.7814962079
207,0.8189487194
208,0.8256400503
209,0.7819479457
210,0.7737197723
211,0.8032914982
212,0.842836086
213,0.7928644739
214,0.8176834095
215,0.7681481682
216,0.8138789051
217,0.8024514799
218,0.8034328912
219,0.8024977418
220,0.8476045232
221,0.7874071207
222,0.8020684915
223,0.8097827076
224,0.7919074158
225,0.8123268583
226,0.822403237
227,0.8174054455
228,0.8326924767
229,0.8313919513
230,0.7878265233
231,0.7636322307
232,0.7764212545
233,0.8085962702
234,0.7910547272
235,0.8130886354
236,0.8129026471
237,0.7953102332
238,0.8513022885
239,0.8178725884
240,0.7912775164
241,0.7879540756
242,0.831059682
243,0.7770513996
244,0.8027378632
245,0.7997813125
246,0.8245217126
247,0.8076399294
248,0.8269566691
249,0.8153873172
250,0.797953598
251,0.8043511493
252,0.8160540238
253,0.7937092009
254,0.7459195227
255,0.7782348841
256,0.7963019431
257,0.7911152594
258,0.7827323906
259,0.8192008698
260,0.8151057534
261,0.7873852593
262,0.7599713347
263,0.793300454
264,0.7981519129
265,0.8179254449
266,0.7676714888
267,0.833489796
268,0.8221960034
269,0.8134380821
270,0.8225809191
271,0.7775818845
272,0.8088445664
273,0.7876724291
274,0.7654560209
275,0.8279441106
276,0.7979778061
277,0.8130430474
278,0.8116225161
279,0.8066967996
280,0.7588456402
281,0.8192374261
282,0.7826035109
283,0.7836159612
284,0.7900220711
285,0.8053392099
286,0.7850621309
287,0.8340480321
288,0.8230570105
289,0.829730132
290,0.8264871905
291,0.743989972
292,0.8055659483
293,0.7429811938
294,0.7840004107
295,0.8062197615
296,0.8107867658
297,0.7747358282
298,0.823965579
299,0.7886668622
