split,cosine
0,0.874222558
1,0.8963464421
2,0.8794925698
3,0.8819277263
4,0.8792633777
5,0.8842229748
6,0.9027906774
7,0.8844808388
8,0.8996723306
9,0.846013879
10,0.8994369653
11,0.9022497301
12,0.8773619649
13,0.8662783053
14,0.9009846832
15,0.8876677289
16,0.8963109929
17,0.8673264758
18,0.8726213611
19,0.8541641966
20,0.8904004649
21,0.8909004609
22,0.8423616514
23,0.8945089031
24,0.8578995079
25,0.8792538339
26,0.8189281121
27,0.8931558618
28,0.8720795427
29,0.8803131931
30,0.8790636445
31,0.8929234443
32,0.8883458376
33,0.8854850399
34,0.9078485962
35,0.8910472924
36,0.8909865195
37,0.898174824
38,0.877349334
39,0.891759846
40,0.8766687543
41,0.9044812381
42,0.8430504115
43,0.877796543
44,0.8984986261
45,0.905687683
46,0.8965669374
47,0.8923744735
48,0.8959222686
49,0.8570187288
50,0.873023765
51,0.9026856907
52,0.9142358052
53,0.9132552451
54,0.8957099114
55,0.8846476255
56,0.8709580216
57,0.8724895134
58,0.8479774947
59,0.8977464234
60,0.8884327115
61,0.8565767681
62,0.8852242631
63,0.8927847725
64,0.8726951256
65,0.8907360662
66,0.8794428755
67,0.8968745625
68,0.8994227459
69,0.9114039927
70,0.9105839223
71,0.8838495577
72,0.8909593707
73,0.8959539214
74,0.8782736196
75,0.9129002985
76,0.8874244882
77,0.8736987102
78,0.8655808807
79,0.8818578668
80,0.8651774694
81,0.8932367191
82,0.879409008
83,0.8574063546
84,0.8940123242
85,0.8855949064
86,0.877394483
87,0.897759988
88,0.8589185262
89,0.8930014137
90,0.8858749302
91,0.9089367233
92,0.8608198398
93,0.8867674361
94,0.8533385346
95,0.874686848
96,0.8387504076
97,0.904653574
98,0.9010530781
99,0.9024580094
100,0.8760732282
101,0.8890990907
102,0.8705684269
103,0.8594214616
104,0.8825314758
105,0.8766530093
106,0.9033652818
107,0.8894671105
108,0.9084587991
109,0.8460465929
110,0.9039256032
111,0.879065997
112,0.8470968238
113,0.8757972099
114,0.8670990477
115,0.8848404211
116,0.8573595994
117,0.8717576176
118,0.8939710078
119,0.8905123201
120,0.883659052
121,0.8704840059
122,0.9022555158
123,0.8839787771
124,0.8860233189
125,0.8839432764
126,0.8788642486
127,0.8812504891
128,0.8824506804
129,0.8882307776
130,0.8961810844
131,0.8877376932
132,0.8972929353
133,0.86465265
134,0.911322929
135,0.9021774229
136,0.8663977833
137,0.9070890536
138,0.8795839942
139,0.8792533003
140,0.9034722512
141,0.8611369821
142,0.8894759724
143,0.9060365617
144,0.8930675628
145,0.8888268204
146,0.8892998765
147,0.9050482284
148,0.8598396682
149,0.9140805628
150,0.8646648363
151,0.8648974988
152,0.8914400204
153,0.9003094437
154,0.8863840968
155,0.8764098215
156,0.8777585744
157,0.8747588629
158,0.8935048094
159,0.8945803028
160,0.8946829288
161,0.8951779188
162,0.8893663452
163,0.8895759201
164,0.9094018244
165,0.8599965504
166,0.8483077713
167,0.8279140781
168,0.8881082916
169,0.9039742781
170,0.8343400282
171,0.8811664907
172,0.8857134117
173,0.9017980371
174,0.9017951801
175,0.8775097783
176,0.8669938502
177,0.8963011981
178,0.8639188299
179,0.8773597133
180,0.9103655259
181,0.895294863
182,0.8441610121
183,0.8944078052
184,0.8843453316
185,0.9018375177
186,0.8632353086
187,0.8875255043
188,0.8950556313
189,0.8889880274
190,0.9065459653
191,0.8825131123
192,0.9067558664
193,0.8869531742
194,0.8956234185
195,0.8642274454
196,0.8915281292
197,0.8686887678
198,0.8965249445
199,0.8767923308
200,0.8698281875
201,0.8953927558
202,0.8604545882
203,0.8773510033
204,0.8869451862
205,0.9030785033
206,0.8838505617
207,0.8967276739
208,0.8393781681
209,0.8719594304
210,0.8809985856
211,0.8773299526
212,0.9063795523
213,0.887709533
214,0.9062872302
215,0.8600343661
216,0.8509687157
217,0.8805941029
218,0.8595343287
219,0.9002271101
220,0.8939913902
221,0.872349268
222,0.8772415585
223,0.8691298487
224,0.8646503865
225,0.8707092971
226,0.8811156066
227,0.8765887434
228,0.8947831547
229,0.8841935638
230,0.8812422276
231,0.9037774323
232,0.8774676344
233,0.8932738091
234,0.8665490275
235,0.8713028356
236,0.890877124
237,0.8726379063
238,0.8891493461
239,0.8968174111
240,0.879040552
241,0.8928710337
242,0.8769697231
243,0.8479845083
244,0.8674242774
245,0.8785467788
246,0.8510673382
247,0.8896948285
248,0.9077043907
249,0.893817944
250,0.8717514136
251,0.8877341756
252,0.8767586223
253,0.8691168889
254,0.8934579824
255,0.8850696601
256,0.8731905488
257,0.8507055971
258,0.8825788477
259,0.908591884
260,0.8885889276
261,0.8995534776
262,0.8994180348
263,0.9008478782
264,0.8970135115
265,0.8963664143
266,0.9040458834
267,0.8872015087
268,0.8932012509
269,0.9041725723
270,0.9078348766
271,0.8853484568
272,0.8849602484
273,0.861931413
274,0.8782192846
275,0.8742315217
276,0.868028423
277,0.9062024057
278,0.8731176931
279,0.8624634844
280,0.8997670445
281,0.9043065981
282,0.8615552001
283,0.8664296684
284,0.893145878
285,0.8843344463
286,0.9280180112
287,0.8838841177
288,0.9054009366
289,0.8614960836
290,0.8882014335
291,0.8527985257
292,0.872597332
293,0.8619185071
294,0.901719484
295,0.8582899496
296,0.880625774
297,0.8526161009
298,0.8981352998
299,0.8768165409
