scenario_id,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
politeness-apology-003,22.7133545,0.4089310072,0.3617915876,0.1906080161,0.3812160322,113.4738824,3.172536203,0.3983309967
politeness-apology-013,10.3430192,0.4683467899,0.2753431837,0.3788599303,0.7577198606,94.62538364,3.804475989,0.08064051751
politeness-apology-043,12.00981689,0.5890780063,0.4649301251,0.3617359206,0.7234718413,74.98728425,4.800813946,-0.2590334083
politeness-apology-057,6.191353112,0.8464443442,-0.006149679902,0.8464220042,1.692844008,61.14058833,5.888068954,-0.4826620829
politeness-apology-065,5.640693555,1.65338773,-0.4608254122,1.587869934,3.175739867,32.59153921,11.04581154,-0.8425319474
politeness-apology-067,11.79726599,0.5843157721,0.3468421531,0.4702397711,0.9404795421,78.99770242,4.557094561,-0.1908483588
politeness-apology-081,10.88388001,0.9961140003,0.7919540844,0.6041951918,1.208390384,39.14602143,9.196336864,-0.7755395819
politeness-apology-098,5.460014599,0.8034947142,0.4768447521,0.6467015062,1.293403012,58.54481425,6.149135574,-0.5218315072
politeness-bad-news-delivery-020,5.033562933,1.163244602,0.1404827023,1.154730538,2.309461076,46.30898678,7.773869069,-0.6907690059
politeness-bad-news-delivery-028,7.539386424,1.972449732,1.337220732,1.449965055,2.89993011,21.71645271,16.57729302,-0.929026359
politeness-bad-news-delivery-066,7.752461351,1.087611247,0.8647869399,0.6595769655,1.319153931,35.26104455,10.20956709,-0.8165302873
politeness-bad-news-delivery-073,5.742963126,0.7529738454,0.3064074036,0.6878111041,1.375622208,65.25794578,5.516569603,-0.4185337922
politeness-complaint-030,17.02379705,0.6204999951,0.4017474612,0.4728839407,0.9457678815,74.064625,4.860620033,-0.2745529553
politeness-complaint-032,5.437537554,1.930405777,-0.6628498116,1.813035187,3.626070375,27.54279152,13.07057056,-0.8866657275
politeness-complaint-040,8.170803916,0.8251317792,-0.4399079982,0.6980855293,1.396171059,58.31806248,6.173044589,-0.525203407
politeness-complaint-049,5.909442444,0.9190645802,-0.01278235155,0.9189756874,1.837951375,57.09263116,6.305542286,-0.5432824294
politeness-complaint-063,9.558551466,0.4003616685,-0.05076660713,0.3971299752,0.7942599503,102.7293008,3.504355595,0.2203450591
politeness-complaint-072,12.5745088,0.389935029,-0.064808883,0.3845115544,0.7690231089,104.2915916,3.451860257,0.2468568022
politeness-complaint-089,5.972020114,0.7421902766,-0.1363635782,0.7295556053,1.459111211,67.59024758,5.326212182,-0.3812277396
politeness-correction-002,4.148741912,0.9358258158,0.475677759,0.8059160174,1.611832035,52.17171778,6.900290336,-0.6132970136
politeness-correction-005,5.604778524,0.7698884508,0.1256405925,0.7595674217,1.519134843,65.71438886,5.478252271,-0.4112854622
politeness-correction-007,6.008654251,0.8307695659,-0.4416173965,0.7036704816,1.407340963,57.97213705,6.209879751,-0.5303316075
politeness-correction-024,7.863235496,0.6134314079,-0.2606211214,0.5553149766,1.110629953,77.18689037,4.664004448,-0.221771612
politeness-correction-027,7.841772717,0.5482607727,-0.03229924075,0.5473085363,1.094617073,84.71893277,4.249345314,-0.09204155597
politeness-correction-045,4.242862736,1.131511229,0.04933595596,1.130435149,2.260870297,47.65287617,7.554633191,-0.6736206072
politeness-correction-051,8.82144212,0.6112649995,0.3209476617,0.5202283133,1.040456627,76.63032857,4.697878852,-0.2312329483
politeness-correction-076,8.820418572,0.6236552545,-0.4166213365,0.4640824694,0.9281649388,73.33234694,4.909156941,-0.2868197252
politeness-correction-087,6.096257155,0.6336104717,0.3157991538,0.5493023979,1.098604796,74.58457225,4.826735465,-0.265815705
politeness-criticism-or-feedback-023,6.727832453,0.9877053044,0.4484516455,0.8800300506,1.760060101,50.49531067,7.129374891,-0.6361413712
politeness-criticism-or-feedback-036,5.624801659,0.6531650818,0.1904960306,0.6247686663,1.249537333,74.21418819,4.850824469,-0.2720419641
politeness-criticism-or-feedback-041,6.945910425,0.4827313133,0.1278375354,0.4654966008,0.9309932017,92.08789151,3.90930875,0.03643251679
politeness-criticism-or-feedback-050,7.45569301,0.455308658,0.1487204973,0.4303349716,0.8606699432,95.66583918,3.763098752,0.0987264613
