intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,8.807660369,0.6316283282,0.5571091675,0.2976301739,0.5952603478,63.41350636,5.677024039,-0.447548296
bad-news-delivery,4,4.849823075,1.571259514,1.168638005,1.050305514,2.100611029,25.33074118,14.21198051,-0.9038531272
complaint,7,4.313330468,1.258164472,-0.4679274235,1.167913423,2.335826846,41.22382748,8.73281357,-0.752140916
correction,9,3.226800327,0.8030002347,0.1448733081,0.7898234622,1.579646924,63.44088916,5.674573682,-0.4471208603
criticism-or-feedback,8,3.189536686,0.793358715,0.217244992,0.7630351657,1.526070331,63.56120951,5.663831805,-0.4452414935
disagreement,6,4.663419452,0.5284492275,0.3112695306,0.4270478491,0.8540956982,86.08058487,4.182127718,-0.06835335997
inquiry-sensitive,4,3.942725552,0.8260182355,0.4496590321,0.6929017826,1.385803565,58.03968086,6.202652989,-0.5293318116
refusal,8,3.764743544,0.9938480163,0.00938480494,0.9938037054,1.987607411,53.41226,6.740025604,-0.5960530765
reminder,6,5.446733464,1.069846192,-0.6110685681,0.8781606232,1.756321246,44.46962565,8.095413324,-0.7136219236
request,12,3.696647679,1.801482519,0.7118486663,1.654874841,3.309749683,28.9199161,12.44816889,-0.8752964844
ALL,72,2.7027148,1.412837677,0.6035219263,1.277447293,2.554894585,36.1890527,9.9477597,-0.8070731424
