scenario_id,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
politeness-apology-003,5.961773934,0.8471552152,0.276680078,0.8006997521,1.601399504,59.71169397,6.028969805,-0.5043513957
politeness-apology-013,9.616770294,0.5442531339,0.04098770252,0.5427075474,1.085415095,85.13301222,4.228676874,-0.08484284287
politeness-apology-043,9.267288972,0.7073677029,-0.04269869952,0.7060778201,1.41215564,70.47593525,5.108126607,-0.3342027478
politeness-apology-057,7.766206746,0.607835259,0.2993606545,0.5290055772,1.058011154,77.27452826,4.658714949,-0.2202798718
politeness-apology-065,8.966311035,0.685556617,-0.138010644,0.6715213602,1.34304272,71.86139852,5.009643667,-0.3113167433
politeness-apology-067,7.597098686,0.7810041866,-0.0140399827,0.7808779792,1.561755958,65.25133975,5.517128098,-0.4186385023
politeness-apology-081,9.340427946,0.6515394515,0.2713850122,0.5923291585,1.184658317,73.58471624,4.892320286,-0.2825973457
politeness-apology-098,5.666962301,0.76640497,0.2231430753,0.7332010269,1.466402054,65.29085562,5.513788976,-0.4180120659
politeness-bad-news-delivery-020,6.83112902,0.6944543119,0.1773173144,0.6714352995,1.342870599,70.91817695,5.076272621,-0.3269180997
politeness-bad-news-delivery-028,9.658583174,0.6593621634,0.3891159456,0.5323037135,1.064607427,70.85851144,5.080547032,-0.327902062
politeness-bad-news-delivery-066,7.822909851,0.6870418592,0.3064514805,0.6149097547,1.229819509,70.14678278,5.132095668,-0.3396116789
politeness-bad-news-delivery-073,8.909071744,0.7378204729,0.3043141739,0.6721398171,1.344279634,66.34788223,5.425945605,-0.4011824148
politeness-complaint-030,9.797795452,0.9396226098,-0.1173159958,0.9322701357,1.864540271,55.82857598,6.448310631,-0.5616708058
politeness-complaint-032,8.032626206,0.8329317767,0.3930925534,0.7343388789,1.468677758,58.8546106,6.116768021,-0.5172114968
politeness-complaint-040,8.269229374,0.7211350141,0.1877694898,0.696260244,1.392520488,68.80184848,5.232417558,-0.3615944912
politeness-complaint-049,8.274799025,0.7817507774,0.01341930811,0.781635593,1.563271186,65.20193727,5.52130834,-0.4194213887
politeness-complaint-063,9.450019234,0.5630989404,0.07982407586,0.5574123551,1.11482471,83.13788008,4.330156117,-0.1194804689
politeness-complaint-072,9.465041633,0.8358053159,0.09477085213,0.8304149635,1.660829927,61.62313123,5.841962146,-0.475269042
politeness-complaint-089,7.601920718,0.7224208155,0.1491952765,0.7068469454,1.413693891,68.96053833,5.220376881,-0.359010855
politeness-correction-002,6.269076898,0.7911686742,0.3395041503,0.71462214,1.42924428,62.25207382,5.782939875,-0.4655824879
politeness-correction-005,9.615628882,0.5711658946,-0.175547487,0.5435196031,1.087039206,82.01614974,4.389379423,-0.1388939723
politeness-correction-007,6.092611163,0.8081855581,0.07907306691,0.8043079923,1.608615985,63.37742464,5.680256054,-0.4481113627
politeness-correction-024,7.084750526,0.6302827092,0.2871724768,0.5610599452,1.12211989,75.29379242,4.781270653,-0.2538627396
politeness-correction-027,11.42616424,0.6586209696,0.2534333481,0.6079088088,1.215817618,73.17900483,4.919443778,-0.2893825727
politeness-correction-045,6.909049434,0.9040805001,0.2656531249,0.8641701036,1.728340207,56.71353146,6.347691473,-0.5488254114
politeness-correction-051,7.459906044,0.6786864036,-0.02178158597,0.6783367872,1.356673574,72.75107365,4.948380579,-0.296523679
politeness-correction-076,7.509172154,0.9713423846,-0.5127594606,0.8249750079,1.649950016,49.94828732,7.207454336,-0.6434787462
politeness-correction-087,7.5689619,1.04939118,-0.04896492955,1.048248198,2.096496396,50.92194187,7.069643984,-0.6303785681
politeness-criticism-or-feedback-023,5.763117699,0.9094592975,-0.3906671514,0.8212766834,1.642553367,54.90404923,6.556893436,-0.57494743
politeness-criticism-or-feedback-036,10.61665535,0.5985010746,0.3066357072,0.5139825672,1.027965134,78.11169634,4.608784816,-0.2060044287
politeness-criticism-or-feedback-041,8.116873591,0.6246372476,0.1344428523,0.6099973857,1.219994771,77.05862865,4.67176754,-0.2239538999
politeness-criticism-or-feedback-050,7.730385,0.6961586349,0.2579609915,0.6466010917,1.293202183,70.05531578,5.138796336,-0.341112765
politeness-criticism-or-feedback-054,8.283306273,0.8532416897,-0.3141545505,0.7933021489,1.586604298,58.92802489,6.109147569,-0.516114444
politeness-criticism-or-feedback-071,8.318978028,0.8378921832,-0.02200176689,0.837603267,1.675206534,61.64379584,5.840003768,-0.4749516829
politeness-criticism-or-feedback-099,6.780901195,0.7463122319,0.2720144219,0.6949748929,1.389949786,66.16815654,5.440683538,-0.4040537441
politeness-criticism-or-feedback-100,6.472612325,0.7622835725,0.3849979135,0.6579155353,1.315831071,63.28754582,5.68832296,-0.449513177
politeness-disagreement-012,7.352981075,0.8381044535,0.01946597127,0.8378783629,1.675756726,61.63281952,5.841043827,-0.4751202607
politeness-disagreement-035,6.029870732,0.9958335933,0.03565756164,0.9951949979,1.990389996,53.30410628,6.753701077,-0.5975676837
politeness-disagreement-047,8.518076897,0.5276177448,-0.08268420871,0.5210986531,1.042197306,86.88259205,4.143522788,-0.05438219196
politeness-disagreement-048,6.286297361,1.00752409,0.1227129591,1.00002316,2.000046321,52.58086442,6.846597217,-0.6076411236
politeness-disagreement-075,6.225794062,0.9835950995,0.2891919786,0.9401209067,1.880241813,52.65070381,6.837515436,-0.6066725861
