scenario_id,level,valence,markedness
politeness-apology-003,negative,-1.747834404,-0.8222826697
politeness-apology-003,neutral,1.078216623,0.6596398565
politeness-apology-003,positive,0.6696177814,0.1626428131
politeness-apology-013,negative,-2.317216946,-1.208922794
politeness-apology-013,neutral,0.9045878084,1.00343631
politeness-apology-013,positive,1.412629137,0.2054864843
politeness-apology-043,negative,-1.910271112,0.5294652842
politeness-apology-043,neutral,1.016980879,1.978053874
politeness-apology-043,positive,0.8932902323,-2.507519158
politeness-apology-057,negative,-1.777978089,-1.866389691
politeness-apology-057,neutral,0.669041765,1.162868012
politeness-apology-057,positive,1.108936324,0.703521679
politeness-apology-065,negative,-2.13916752,0.2657497608
politeness-apology-065,neutral,1.134129847,1.753876758
politeness-apology-065,positive,1.005037673,-2.019626519
politeness-apology-067,negative,-1.188687612,-1.384825802
politeness-apology-067,neutral,0.2416347857,1.268036106
politeness-apology-067,positive,0.9470528267,0.1167896967
politeness-apology-081,negative,-3.399037967,-1.909394367
politeness-apology-081,neutral,1.229702393,1.564202866
politeness-apology-081,positive,2.169335574,0.3451915013
politeness-apology-098,negative,-1.341425892,-0.3184132596
politeness-apology-098,neutral,0.415696253,0.1903556746
politeness-apology-098,positive,0.9257296394,0.1280575849
politeness-bad-news-delivery-020,negative,-1.68270485,-0.01643471715
politeness-bad-news-delivery-020,neutral,0.7372286695,0.7149211206
politeness-bad-news-delivery-020,positive,0.9454761807,-0.6984864034
politeness-bad-news-delivery-028,negative,-2.6700438,-2.737157072
politeness-bad-news-delivery-028,neutral,1.534208519,2.710653751
politeness-bad-news-delivery-028,positive,1.135835281,0.02650332117
politeness-bad-news-delivery-066,negative,-3.367255877,-1.062011975
politeness-bad-news-delivery-066,neutral,1.766502872,1.37959719
politeness-bad-news-delivery-066,positive,1.600753005,-0.317585215
politeness-bad-news-delivery-073,negative,-2.063496764,-2.632383934
politeness-bad-news-delivery-073,neutral,1.300627009,2.489373265
politeness-bad-news-delivery-073,positive,0.7628697549,0.1430106685
politeness-complaint-030,negative,-1.804911521,-1.848970831
politeness-complaint-030,neutral,-0.6479415119,4.515674961
politeness-complaint-030,positive,2.452853032,-2.66670413
politeness-complaint-032,negative,-2.006685494,-2.544932688
politeness-complaint-032,neutral,1.035504077,2.861578509
politeness-complaint-032,positive,0.9711814166,-0.3166458216
politeness-complaint-040,negative,-3.025812552,-1.958770918
politeness-complaint-040,neutral,1.561009864,1.88134738
politeness-complaint-040,positive,1.464802688,0.0774235379
politeness-complaint-049,negative,-1.888749797,-1.194534905
politeness-complaint-049,neutral,0.2869023565,2.517409604
politeness-complaint-049,positive,1.601847441,-1.322874699
politeness-complaint-063,negative,-1.476985245,2.203619328
politeness-complaint-063,neutral,0.8411321354,0.4088486939
politeness-complaint-063,positive,0.6358531091,-2.612468021
politeness-complaint-072,negative,-2.563404947,-1.65871902
politeness-complaint-072,neutral,1.054942055,3.521621675
politeness-complaint-072,positive,1.508462892,-1.862902655
politeness-complaint-089,negative,-2.863450223,0.3420839018
politeness-complaint-089,neutral,1.83299504,1.842486321
politeness-complaint-089,positive,1.030455184,-2.184570222
politeness-correction-002,negative,-2.470367335,-0.8792994698
politeness-correction-002,neutral,0.99163052,1.565135421
politeness-correction-002,positive,1.478736815,-0.6858359512
politeness-correction-005,negative,-1.763743756,1.599484698
politeness-correction-005,neutral,0.4092487879,2.022882311
politeness-correction-005,positive,1.354494968,-3.622367009
politeness-correction-007,negative,-1.277213971,-0.7073343394
politeness-correction-007,neutral,0.562557276,1.045714395
politeness-correction-007,positive,0.7146566949,-0.3383800554
politeness-correction-024,negative,-2.731994734,0.2748904031
politeness-correction-024,neutral,1.109396618,0.4234461978
politeness-correction-024,positive,1.622598116,-0.6983366009
politeness-correction-027,negative,-3.001255089,-3.3450632
politeness-correction-027,neutral,1.57225715,1.958848524
politeness-correction-027,positive,1.428997938,1.386214677
politeness-correction-045,negative,-2.376034611,-2.010797308
politeness-correction-045,neutral,1.239963444,2.179568757
politeness-correction-045,positive,1.136071167,-0.1687714486
politeness-correction-051,negative,-1.133282859,-1.599947462
politeness-correction-051,neutral,0.8620348158,1.342216964
politeness-correction-051,positive,0.2712480432,0.2577304981
politeness-correction-076,negative,-1.285138586,0.3408207238
politeness-correction-076,neutral,0.5652800508,2.645316846
politeness-correction-076,positive,0.7198585352,-2.98613757
politeness-correction-087,negative,-1.811246362,-0.6163467109
politeness-correction-087,neutral,1.329391872,2.718289538
politeness-correction-087,positive,0.4818544906,-2.101942827
politeness-criticism-or-feedback-023,negative,-0.5627430131,0.5397172854
politeness-criticism-or-feedback-023,neutral,0.7537328942,0.8623847715
politeness-criticism-or-feedback-023,positive,-0.190989881,-1.402102057
politeness-criticism-or-feedback-036,negative,-1.730770401,-3.091716698
politeness-criticism-or-feedback-036,neutral,0.982064895,2.338058373
politeness-criticism-or-feedback-036,positive,0.7487055062,0.7536583244
politeness-criticism-or-feedback-041,negative,-1.87513487,0.3294938907
politeness-criticism-or-feedback-041,neutral,0.8913085517,0.5897982863
politeness-criticism-or-feedback-041,positive,0.9838263182,-0.919292177
politeness-criticism-or-feedback-050,negative,-1.403489817,-2.184246214
politeness-criticism-or-feedback-050,neutral,1.104778797,1.739964951
politeness-criticism-or-feedback-050,positive,0.2987110198,0.4442812631
politeness-criticism-or-feedback-054,negative,-1.54254006,-1.353389092
politeness-criticism-or-feedback-054,neutral,0.6018077581,1.44420998
politeness-criticism-or-feedback-054,positive,0.9407323019,-0.09082088812
politeness-criticism-or-feedback-071,negative,-1.538953823,-0.893368103
politeness-criticism-or-feedback-071,neutral,0.1278964546,2.504578115
politeness-criticism-or-feedback-071,positive,1.411057368,-1.611210012
politeness-criticism-or-feedback-099,negative,-1.630290516,-1.758888906
politeness-criticism-or-feedback-099,neutral,0.4324782113,1.619470821
politeness-criticism-or-feedback-099,positive,1.197812305,0.1394180855
politeness-criticism-or-feedback-100,negative,-1.798722784,-0.5856744642
politeness-criticism-or-feedback-100,neutral,1.378493981,0.8909137364
politeness-criticism-or-feedback-100,positive,0.4202288025,-0.3052392722
politeness-disagreement-012,negative,-2.175291017,1.370932594
politeness-disagreement-012,neutral,1.311776769,1.120317566
politeness-disagreement-012,positive,0.863514248,-2.49125016
politeness-disagreement-035,negative,-1.757822005,-0.9296195746
politeness-disagreement-035,neutral,-0.06832581838,1.435065312
politeness-disagreement-035,positive,1.826147823,-0.5054457375
politeness-disagreement-047,negative,-1.776200739,1.35492277
politeness-disagreement-047,neutral,-0.1538052017,0.7804393607
politeness-disagreement-047,positive,1.930005941,-2.13536213
politeness-disagreement-048,negative,-1.953081695,-1.519213456
politeness-disagreement-048,neutral,0.7995839111,2.224296515
politeness-disagreement-048,positive,1.153497784,-0.7050830593
politeness-disagreement-075,negative,-1.983818597,-0.03534539122
politeness-disagreement-075,neutral,1.440979832,0.2564516072
politeness-disagreement-075,positive,0.542838765,-0.221106216
politeness-disagreement-086,negative,-1.021664839,1.048244259
politeness-disagreement-086,neutral,0.1382047544,-0.7974333514
politeness-disagreement-086,positive,0.8834600843,-0.2508109073
politeness-inquiry-sensitive-008,negative,-1.685259388,-1.141564551
politeness-inquiry-sensitive-008,neutral,0.5318097036,1.659974546
politeness-inquiry-sensitive-008,positive,1.153449684,-0.5184099957
politeness-inquiry-sensitive-009,negative,-2.69000399,0.9920098042
politeness-inquiry-sensitive-009,neutral,0.9987135399,1.131584115
politeness-inquiry-sensitive-009,positive,1.69129045,-2.123593919
politeness-inquiry-sensitive-016,negative,-1.2752654,0.5597840051
politeness-inquiry-sensitive-016,neutral,0.6349483186,0.9032235642
politeness-inquiry-sensitive-016,positive,0.6403170817,-1.463007569
politeness-inquiry-sensitive-092,negative,-1.006246658,-0.6177708634
politeness-inquiry-sensitive-092,neutral,1.310052747,-0.3197496758
politeness-inquiry-sensitive-092,positive,-0.303806089,0.9375205392
politeness-refusal-038,negative,-2.27621118,-2.061097131
politeness-refusal-038,neutral,0.8388710111,1.392682535
politeness-refusal-038,positive,1.437340169,0.668414596
politeness-refusal-058,negative,-1.797528867,0.5432327439
politeness-refusal-058,neutral,0.167181003,1.667322254
politeness-refusal-058,positive,1.630347864,-2.210554998
politeness-refusal-064,negative,-2.217809661,-1.436016871
politeness-refusal-064,neutral,-0.02905693393,1.167028652
politeness-refusal-064,positive,2.246866595,0.2689882188
politeness-refusal-069,negative,-2.229838621,-0.2896908357
politeness-refusal-069,neutral,0.2658238886,0.5197848599
politeness-refusal-069,positive,1.964014732,-0.2300940242
politeness-refusal-077,negative,-1.589941899,0.514852089
politeness-refusal-077,neutral,0.6318008116,2.282842092
politeness-refusal-077,positive,0.9581410879,-2.797694181
politeness-refusal-080,negative,-2.35279412,-0.5420929471
politeness-refusal-080,neutral,0.8724703265,0.5279495318
politeness-refusal-080,positive,1.480323794,0.01414341526
politeness-refusal-083,negative,-1.91423145,-1.949684447
politeness-refusal-083,neutral,0.3322868986,1.759488132
politeness-refusal-083,positive,1.581944551,0.1901963154
politeness-refusal-090,negative,-1.311105632,-0.7302506718
politeness-refusal-090,neutral,0.8618075409,1.203093699
politeness-refusal-090,positive,0.4492980913,-0.472843027
politeness-reminder-017,negative,-1.080960616,-0.05208532522
politeness-reminder-017,neutral,0.604085197,2.12979986
politeness-reminder-017,positive,0.4768754189,-2.077714535
politeness-reminder-018,negative,-2.737383435,-1.494401519
politeness-reminder-018,neutral,0.8949330337,3.203274373
politeness-reminder-018,positive,1.842450401,-1.708872853
politeness-reminder-019,negative,-2.293085821,-1.783867647
politeness-reminder-019,neutral,0.3807076319,2.917585296
politeness-reminder-019,positive,1.912378189,-1.133717649
politeness-reminder-021,negative,-2.042550079,-1.793437545
politeness-reminder-021,neutral,0.9457723298,1.794956498
politeness-reminder-021,positive,1.09677775,-0.001518952341
politeness-reminder-079,negative,-1.540230285,-1.709887937
politeness-reminder-079,neutral,0.6109703437,2.731340815
politeness-reminder-079,positive,0.929259941,-1.021452877
politeness-reminder-094,negative,-1.341358217,-2.273848814
politeness-reminder-094,neutral,1.159829442,2.389279373
politeness-reminder-094,positive,0.1815287753,-0.115430559
politeness-request-001,negative,-3.181536673,0.8190041469
politeness-request-001,neutral,1.11133368,1.901352712
politeness-request-001,positive,2.070202993,-2.720356859
politeness-request-006,negative,-3.343260258,0.1599812516
politeness-request-006,neutral,1.847002047,0.2815202614
politeness-request-006,positive,1.496258211,-0.441501513
politeness-request-025,negative,-0.880603422,1.106458252
politeness-request-025,neutral,0.276322114,-1.120484499
politeness-request-025,positive,0.604281308,0.01402624745
politeness-request-029,negative,-2.78861581,0.7687834925
politeness-request-029,neutral,1.223650001,-0.6601979824
politeness-request-029,positive,1.56496581,-0.1085855101
politeness-request-031,negative,-3.117002475,-1.062878266
politeness-request-031,neutral,1.578713598,1.258335108
politeness-request-031,positive,1.538288877,-0.1954568415
politeness-request-037,negative,-1.978121025,-1.166625774
politeness-request-037,neutral,0.8128700821,0.3489492118
politeness-request-037,positive,1.165250943,0.8176765622
politeness-request-053,negative,-1.633507856,0.9872591009
politeness-request-053,neutral,0.4501050314,-0.09679017836
politeness-request-053,positive,1.183402825,-0.8904689225
politeness-request-056,negative,-0.9395807498,-0.6277721208
politeness-request-056,neutral,0.5147545804,-0.3080758294
politeness-request-056,positive,0.4248261695,0.9358479502
politeness-request-061,negative,-1.150661213,-2.574935367
politeness-request-061,neutral,0.8002187375,0.2551804356
politeness-request-061,positive,0.3504424757,2.319754931
politeness-request-074,negative,-1.556473021,-0.6041747145
politeness-request-074,neutral,1.272046236,1.640379589
politeness-request-074,positive,0.2844267844,-1.036204875
politeness-request-093,negative,-0.9731762844,-0.4847087858
politeness-request-093,neutral,-0.08979144575,2.148211891
politeness-request-093,positive,1.06296773,-1.663503105
politeness-request-097,negative,-2.556126548,0.5255503776
politeness-request-097,neutral,1.957858121,1.745935851
politeness-request-097,positive,0.5982684268,-2.271486229
