intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,53.55739386,0.5452512643,0.5262448542,0.1427070238,0.2854140476,71.66269328,5.023534332,-0.3146105841
bad-news-delivery,4,24.67372163,1.591868243,1.409128632,0.7405410202,1.48108204,17.96391524,20.04017471,-0.9512509459
complaint,7,16.18907118,1.605786348,-0.8691165585,1.350254126,2.700508252,30.10812166,11.95690665,-0.8650803228
correction,9,11.04088499,0.8145475294,0.1857421516,0.7930873412,1.586174682,62.46405775,5.763314344,-0.4623049537
criticism-or-feedback,8,15.77512191,0.6508407983,-0.194139428,0.6212114192,1.242422838,74.38730333,4.839535564,-0.2691332495
disagreement,6,18.19899301,0.6799392291,0.5104881483,0.4491316129,0.8982632258,64.69855957,5.564266073,-0.4273805922
inquiry-sensitive,4,14.28957133,0.7888472795,0.4794656937,0.6264125469,1.252825094,59.27677776,6.073204611,-0.510891378
refusal,8,20.94026091,0.8431597464,-0.4986731298,0.6798848929,1.359769786,55.86524654,6.444077889,-0.5611411615
reminder,6,26.21863836,1.14249839,-0.9209569814,0.6761218897,1.352243779,32.64728388,11.02695101,-0.8420074845
request,12,15.25929149,2.154741691,1.451353819,1.592634247,3.185268494,19.92792929,18.06509823,-0.9401220946
ALL,72,9.077862387,2.131676228,1.003944502,1.880462437,3.760924875,23.64973949,15.22215499,-0.9160148341
