scenario_id,theta1_deg,theta2_deg,overlap
politeness-apology-003,18.46503499,77.96516803,0.4715797975
politeness-apology-013,15.4411618,78.18026957,0.4855341288
politeness-apology-043,20.26936402,85.74758704,0.4427408498
politeness-apology-057,39.21975862,69.78409396,0.3598059792
politeness-apology-065,15.22473243,63.64479474,0.5640581555
politeness-apology-067,17.83661912,73.27759,0.4944847521
politeness-apology-081,14.61749445,66.23876232,0.549330762
politeness-apology-098,28.48477661,88.53460463,0.3865981501
politeness-bad-news-delivery-020,22.75326867,69.76959977,0.4849944411
politeness-bad-news-delivery-028,15.54874181,66.50124964,0.543564877
politeness-bad-news-delivery-066,13.69519308,63.69879056,0.5701375725
politeness-bad-news-delivery-073,57.00807982,62.89921892,0.2520175391
politeness-complaint-030,13.79737416,58.92308502,0.6047866849
politeness-complaint-032,14.90760325,60.07797018,0.5913195853
politeness-complaint-040,14.17505478,50.76237969,0.6700677542
politeness-complaint-049,53.11201577,79.60458623,0.1964309074
politeness-complaint-063,17.03301891,77.94840898,0.4788952526
politeness-complaint-072,15.40936586,78.75199973,0.4837215514
politeness-complaint-089,16.27150859,57.29510077,0.6067156288
politeness-correction-002,17.01437443,79.65503045,0.4733127003
politeness-correction-005,27.89061139,61.12229346,0.5072049474
politeness-correction-007,30.12814537,71.90073564,0.4222864249
politeness-correction-024,20.47265614,88.26051605,0.4392945728
politeness-correction-027,60.52764122,86.74126993,0.1226494514
politeness-correction-045,37.5272238,79.89684881,0.3298614959
politeness-correction-051,20.75676019,75.48054447,0.4686272699
politeness-correction-076,18.11790136,73.56371208,0.4916778363
politeness-correction-087,25.75920587,87.27099213,0.4066992384
politeness-criticism-or-feedback-023,23.55221531,81.42638028,0.4312784904
politeness-criticism-or-feedback-036,33.67065133,71.15188747,0.3984942732
politeness-criticism-or-feedback-041,22.17277888,69.35084885,0.4909633713
politeness-criticism-or-feedback-050,19.93828453,68.45421813,0.5092911331
politeness-criticism-or-feedback-054,21.37333116,76.06817309,0.4625749406
politeness-criticism-or-feedback-071,25.54324864,76.20116632,0.4354810015
politeness-criticism-or-feedback-099,24.97531164,67.95822967,0.4812803387
politeness-criticism-or-feedback-100,18.65122542,73.51218052,0.4891363742
politeness-disagreement-012,27.54881024,66.66414741,0.4715005658
politeness-disagreement-035,23.13710541,48.3123074,0.6439609627
politeness-disagreement-047,41.26239967,77.89615096,0.3045080052
politeness-disagreement-048,29.46485985,53.03523422,0.5598174248
politeness-disagreement-075,24.00720912,66.13636718,0.4990707777
politeness-disagreement-086,29.96370381,81.58422969,0.3859841469
politeness-inquiry-sensitive-008,14.85769446,86.50243699,0.4689854735
politeness-inquiry-sensitive-009,42.04664787,80.3086438,0.2898965228
politeness-inquiry-sensitive-016,16.3161691,71.65511106,0.5100664807
politeness-inquiry-sensitive-092,32.34421217,81.51743599,0.3677644961
politeness-refusal-038,16.861555,59.79982505,0.5844484259
politeness-refusal-058,15.40824106,56.33854205,0.6183188821
politeness-refusal-064,20.93344711,64.36276547,0.5297767364
politeness-refusal-069,23.52473364,83.85227515,0.4260760474
politeness-refusal-077,47.22691975,66.71181162,0.3087392693
politeness-refusal-080,29.33617978,72.22183721,0.4265967504
politeness-refusal-083,20.17504771,65.10620747,0.5291198394
politeness-refusal-090,30.32979472,55.19286856,0.5354146708
politeness-reminder-017,18.32563936,73.44488497,0.4911655863
politeness-reminder-018,15.29499391,66.03619523,0.5476904917
politeness-reminder-019,20.18093217,70.79150844,0.4946150538
politeness-reminder-021,36.79800277,82.83005432,0.3283912023
politeness-reminder-079,28.02392659,63.25300313,0.4908983123
politeness-reminder-094,15.24846521,68.93487269,0.5300086566
politeness-request-001,39.84337171,70.63148662,0.3497509161
politeness-request-006,16.30485962,56.69483684,0.6113446282
politeness-request-025,16.11765592,81.10245841,0.4734272418
politeness-request-029,24.44214428,76.77668196,0.4405580773
politeness-request-031,28.66589241,89.30075114,0.3850178198
politeness-request-037,30.74917694,48.23068933,0.5911626393
politeness-request-053,19.45318518,71.82608029,0.4931849069
politeness-request-056,17.96081355,80.20250915,0.4669333546
politeness-request-061,22.15403799,53.50469633,0.6057664532
politeness-request-074,19.13099823,83.83355165,0.4520660471
politeness-request-093,19.1549825,63.15440564,0.5481328633
politeness-request-097,15.72577343,66.40382282,0.5433856277
