intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,14.42743751,0.6608233281,0.4185886975,0.511342325,1.02268465,69.94321913,5.147032185,-0.3429512229
bad-news-delivery,4,17.47041675,0.7776427281,0.4893868847,0.6043415339,1.208683068,59.5884951,6.041434666,-0.5062069453
complaint,7,18.47290476,0.7336544291,0.2333876462,0.6955422546,1.391084509,67.48975023,5.334143315,-0.3828487012
correction,9,10.8686619,0.8894076758,0.2522379287,0.852890404,1.705780808,57.61028309,6.248884413,-0.5356752517
criticism-or-feedback,8,11.28729848,0.7741920508,0.2792909301,0.7220594906,1.444118981,64.17966983,5.609252914,-0.4355505307
disagreement,6,13.0270521,0.6287393751,0.1362057027,0.6138087718,1.227617544,76.68099833,4.694774557,-0.2303724711
inquiry-sensitive,4,10.61413127,0.8581708082,0.09319549341,0.8530953851,1.70619077,60.30708899,5.969447473,-0.4953511921
refusal,8,12.33758871,0.725318767,0.2416312245,0.6838871728,1.367774346,68.01592167,5.292878361,-0.374348928
reminder,6,13.76020292,1.076830006,0.3151488431,1.029681538,2.059363076,48.54442772,7.415887197,-0.6620391013
request,12,10.97967557,0.658465004,0.3086294503,0.5816562764,1.163312553,72.4838164,4.966625902,-0.3009751717
ALL,72,8.840685402,0.8015803829,0.3999164567,0.6946926932,1.389385386,60.53169253,5.94729777,-0.4919420571
