scenario_id,level,valence,markedness
politeness-apology-003,negative,-4.617470263,-1.912738078
politeness-apology-003,neutral,1.438692942,1.931797632
politeness-apology-003,positive,3.178777321,-0.01905955388
politeness-apology-013,negative,-7.671097235,-4.483053037
politeness-apology-013,neutral,3.960960131,3.428087529
politeness-apology-013,positive,3.710137103,1.054965508
politeness-apology-043,negative,-5.434763412,2.076945456
politeness-apology-043,neutral,3.193140826,6.283838347
politeness-apology-043,positive,2.241622586,-8.360783803
politeness-apology-057,negative,-5.969388312,-6.136365361
politeness-apology-057,neutral,2.755046757,3.963378283
politeness-apology-057,positive,3.214341556,2.172987078
politeness-apology-065,negative,-6.266709359,0.4912634146
politeness-apology-065,neutral,4.198403348,4.70330849
politeness-apology-065,positive,2.06830601,-5.194571904
politeness-apology-067,negative,-4.688103521,-3.206150568
politeness-apology-067,neutral,1.748218271,3.56433704
politeness-apology-067,positive,2.93988525,-0.3581864727
politeness-apology-081,negative,-7.291445922,-3.642740055
politeness-apology-081,neutral,4.246176692,3.898470331
politeness-apology-081,positive,3.04526923,-0.2557302757
politeness-apology-098,negative,-5.838020919,-1.888964528
politeness-apology-098,neutral,2.436617489,1.42498284
politeness-apology-098,positive,3.40140343,0.4639816881
politeness-bad-news-delivery-020,negative,-5.659779216,0.0950145085
politeness-bad-news-delivery-020,neutral,2.262404587,1.951105275
politeness-bad-news-delivery-020,positive,3.39737463,-2.046119783
politeness-bad-news-delivery-028,negative,-9.620948937,-7.107960338
politeness-bad-news-delivery-028,neutral,5.784299665,8.792646982
politeness-bad-news-delivery-028,positive,3.836649271,-1.684686644
politeness-bad-news-delivery-066,negative,-9.347837963,-2.764521258
politeness-bad-news-delivery-066,neutral,6.102941071,3.35222494
politeness-bad-news-delivery-066,positive,3.244896892,-0.587703682
politeness-bad-news-delivery-073,negative,-7.553182154,-7.707343904
politeness-bad-news-delivery-073,neutral,4.817234766,6.44996746
politeness-bad-news-delivery-073,positive,2.735947388,1.257376444
politeness-complaint-030,negative,-6.315569165,-6.433443754
politeness-complaint-030,neutral,-0.3874129098,12.40465966
politeness-complaint-030,positive,6.702982075,-5.971215902
politeness-complaint-032,negative,-10.06839996,-9.483446617
politeness-complaint-032,neutral,5.362223305,8.607245309
politeness-complaint-032,positive,4.706176653,0.876201308
politeness-complaint-040,negative,-8.875291765,-6.639377015
politeness-complaint-040,neutral,4.705017573,5.628611223
politeness-complaint-040,positive,4.170274193,1.010765792
politeness-complaint-049,negative,-7.663538426,-4.412822348
politeness-complaint-049,neutral,1.096782559,7.160847132
politeness-complaint-049,positive,6.566755867,-2.748024784
politeness-complaint-063,negative,-5.328568436,5.953274868
politeness-complaint-063,neutral,3.49656438,1.637353012
politeness-complaint-063,positive,1.832004055,-7.59062788
politeness-complaint-072,negative,-9.349550353,-4.466129696
politeness-complaint-072,neutral,4.484428641,9.624079156
politeness-complaint-072,positive,4.865121711,-5.15794946
politeness-complaint-089,negative,-8.340677571,1.298160644
politeness-complaint-089,neutral,4.201318418,5.348186842
politeness-complaint-089,positive,4.139359153,-6.646347486
