scenario_id,theta1_deg,theta2_deg,overlap
politeness-apology-003,65.21357126,81.16503519,0.09967462403
politeness-apology-013,54.22960794,82.38606683,0.1796203987
politeness-apology-043,56.70529418,66.49475053,0.2302045448
politeness-apology-057,56.77413855,83.95252526,0.1556691631
politeness-apology-065,56.16489154,65.96378462,0.2379680836
politeness-apology-067,62.38708815,79.22476906,0.1248905423
politeness-apology-081,55.71695487,78.88278598,0.1772322168
politeness-apology-098,62.80385747,84.38681292,0.109225477
politeness-bad-news-delivery-020,60.55318625,75.42375349,0.152511288
politeness-bad-news-delivery-028,44.75704338,72.75066703,0.2960853269
politeness-bad-news-delivery-066,46.76050143,79.45096691,0.2514049737
politeness-bad-news-delivery-073,50.07992437,82.89849638,0.2135431315
politeness-complaint-030,41.58153269,64.24826506,0.3741441999
politeness-complaint-032,44.05965498,74.06559124,0.2958897955
politeness-complaint-040,40.78978423,76.09371097,0.3154893057
politeness-complaint-049,55.49652072,64.36470922,0.2540255379
politeness-complaint-063,58.70742809,70.34223974,0.1914753553
politeness-complaint-072,43.34619162,61.37910075,0.3791504722
politeness-complaint-089,50.75336657,53.78389412,0.3746707382
politeness-correction-002,61.6182829,67.74266129,0.184707999
politeness-correction-005,51.41349209,74.06949146,0.2321653094
politeness-correction-007,71.74670914,75.7891801,0.07918565001
politeness-correction-024,59.03413144,84.63562563,0.1367393259
politeness-correction-027,53.44535187,85.11940015,0.1809825291
politeness-correction-045,51.82905225,71.58622207,0.2408572861
politeness-correction-051,61.9329218,85.98321126,0.1131408642
politeness-correction-076,53.84618971,76.5029682,0.2012600231
politeness-correction-087,59.75613692,66.84616252,0.2041511109
politeness-criticism-or-feedback-023,68.93586361,84.03159692,0.0699946884
politeness-criticism-or-feedback-036,54.25485944,88.73818468,0.1708760852
politeness-criticism-or-feedback-041,71.03973818,87.75700423,0.05354987977
politeness-criticism-or-feedback-050,48.85173688,80.24576824,0.2308403902
politeness-criticism-or-feedback-054,55.48200527,88.8277893,0.1607638886
politeness-criticism-or-feedback-071,57.71529455,66.81576546,0.2201411726
politeness-criticism-or-feedback-099,57.11789596,70.70008596,0.2019962281
politeness-criticism-or-feedback-100,75.63409508,81.32772492,0.04214782429
politeness-disagreement-012,49.16723892,74.8482799,0.2479207801
politeness-disagreement-035,59.43453393,67.13071013,0.2048142755
politeness-disagreement-047,51.63690122,74.58635252,0.227919847
politeness-disagreement-048,49.45342886,73.628386,0.2510171048
politeness-disagreement-075,74.51329913,81.8407484,0.04571977348
politeness-disagreement-086,70.93916456,86.95007479,0.05474004829
politeness-inquiry-sensitive-008,58.97183045,70.34537897,0.1894147091
politeness-inquiry-sensitive-009,54.74688711,60.76571956,0.2858323068
politeness-inquiry-sensitive-016,68.94918255,80.06109103,0.07940586377
politeness-inquiry-sensitive-092,71.23052365,79.66142963,0.0678689323
politeness-refusal-038,57.71419559,83.60972041,0.148848207
politeness-refusal-058,54.48104363,61.9503586,0.2793255174
politeness-refusal-064,51.57922807,71.48735017,0.2434963541
politeness-refusal-069,55.80967143,83.14125417,0.165021202
politeness-refusal-077,46.2231449,66.99692332,0.3156840118
politeness-refusal-080,54.41831209,84.96604058,0.1731320108
politeness-refusal-083,53.17057148,70.60991048,0.234772365
politeness-refusal-090,56.32167086,76.21771573,0.1821291275
politeness-reminder-017,48.6363516,68.45896733,0.2857579612
politeness-reminder-018,44.73142817,65.16441413,0.3405503388
politeness-reminder-019,54.81177101,63.13231266,0.2681614746
politeness-reminder-021,57.97393786,75.94802717,0.170088069
politeness-reminder-079,47.64983534,76.10361861,0.2557488141
politeness-reminder-094,55.80463596,83.33554283,0.1646655841
politeness-request-001,48.59436163,61.52393601,0.3323806146
politeness-request-006,58.87270809,87.22910749,0.134782562
politeness-request-025,60.84540393,79.39157726,0.1356118535
politeness-request-029,50.0359361,80.63190431,0.2195272598
politeness-request-031,56.5452164,78.73731148,0.1710266334
politeness-request-037,56.6544483,85.36721232,0.1543398142
politeness-request-053,64.40902005,78.23147942,0.1140871857
politeness-request-056,69.42508289,82.1637514,0.07104678278
politeness-request-061,50.07234727,77.34172641,0.2299765648
politeness-request-074,62.54778971,68.63807353,0.1726064169
politeness-request-093,61.27959571,65.03815,0.2045055533
politeness-request-097,58.13488931,64.76644363,0.2302201782
