draw,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
0,1.543767657,-0.5930035599,1.425329912,2.850659824,33.74923546,10.6669083,-0.8314770256
1,1.057536521,-0.4837932544,0.9403869314,1.880773863,47.27962372,7.614273796,-0.6784209869
2,1.724565542,0.9231364012,1.45668991,2.91337982,28.13504446,12.79543029,-0.8818386107
3,1.454456403,0.2107012208,1.439113763,2.878227526,37.64872598,9.562076556,-0.791770472
4,2.534201721,-0.3801625116,2.50552486,5.01104972,22.09412761,16.29392236,-0.9265671862
5,1.967431754,-0.5591722369,1.886296401,3.772592803,27.51784607,13.08241928,-0.8868669681
6,1.50653008,1.023302985,1.105659931,2.211319862,28.69876077,12.54409564,-0.8771565501
7,1.70497816,1.30419267,1.098194885,2.196389771,22.45673028,16.03082887,-0.9241682712
8,1.96597783,0.2199144114,1.953639291,3.907278581,28.38747558,12.68164896,-0.8797525197
9,1.455866476,1.180382567,0.8521996188,1.704399238,24.50502121,14.6908667,-0.9099249251
10,2.13952086,-0.4152763533,2.098831833,4.197663666,25.87306709,13.91408288,-0.8997630061
11,1.888365169,0.7535489048,1.731498502,3.462997003,27.57252497,13.05647562,-0.8864256416
12,1.684610875,-0.04647082301,1.683969793,3.367939585,33.05227545,10.8918371,-0.8381733018
13,1.372800317,-0.152300187,1.364325974,2.728651949,39.85054288,9.033753971,-0.7677185586
14,1.910679779,-0.5498731282,1.829846104,3.659692207,28.28379233,12.72813758,-0.880611427
15,1.455765855,0.983548972,1.073259356,2.146518712,29.86291138,12.05508717,-0.8672192476
16,1.629777048,1.09656751,1.205700178,2.411400356,26.61481691,13.52630008,-0.8940384147
17,1.798968437,1.117009376,1.410169312,2.820338625,25.27737746,14.24198379,-0.9042512162
18,1.490724868,1.100712504,1.005332092,2.010664183,27.00957289,13.32860765,-0.8909306597
19,2.037341284,-0.2919501255,2.016314616,4.032629232,27.33458188,13.17013012,-0.8883402448
20,2.542716054,0.7059212429,2.44276076,4.885521519,21.45567811,16.77877521,-0.9307008013
21,2.725995891,0.7410053818,2.623349886,5.246699771,20.06803007,17.93898049,-0.9392858613
22,1.620609747,0.6714122262,1.47498528,2.94997056,31.82733012,11.31103359,-0.8496412381
23,1.655637448,1.262820165,1.07071032,2.14142064,23.25842804,15.47826016,-0.9187331346
24,1.984018243,1.479500732,1.321894842,2.643789684,19.72752352,18.24861593,-0.9413085037
25,1.852622069,-0.06080191479,1.85162406,3.70324812,30.19373854,11.92300183,-0.8643297684
26,1.435001765,0.5784791677,1.313237191,2.626474381,35.97417778,10.00717799,-0.8092818169
27,1.439492308,1.006952606,1.028680977,2.057361954,29.44673134,12.22546557,-0.8708131326
28,1.424710921,0.513445291,1.328975222,2.657950444,36.7486488,9.796278551,-0.8012679227
29,2.221973186,-0.3381287837,2.196095118,4.392190235,25.10467784,14.33995697,-0.9055341628
30,1.565603125,1.017113802,1.190206981,2.380413962,28.40140072,12.67543117,-0.879636945
31,2.20504657,-0.4745703217,2.153372561,4.306745122,25.02707718,14.38442042,-0.9061079624
32,0.9618679463,0.8254981475,0.4937031036,0.9874062073,36.17450444,9.951760379,-0.8072230408
33,2.569126527,0.582812751,2.50214716,5.00429432,21.5051055,16.74021083,-0.9303849062
34,1.810969879,0.3909782905,1.768261259,3.536522518,30.27037135,11.89281743,-0.8636563352
35,1.307914281,0.7119784995,1.09714465,2.1942893,36.91167015,9.753013033,-0.7995623468
36,1.404288351,-0.2809169573,1.375903861,2.751807722,38.62496177,9.320397575,-0.7812485957
37,1.604097548,0.3419594796,1.567224508,3.134449015,34.0043096,10.58689338,-0.8289955096
38,1.966835696,0.6502973775,1.856220885,3.71244177,27.15731973,13.25609462,-0.8897566239
39,1.741871714,0.5813827783,1.641983902,3.283967804,30.53075498,11.79138872,-0.8613566021
40,2.242469612,-0.3994290106,2.206609713,4.413219426,24.78571328,14.52449627,-0.9078820408
41,1.999475145,0.2124588081,1.988155455,3.976310909,27.94468653,12.88259217,-0.8834004102
42,2.065933409,0.4374069818,2.019097814,4.038195627,26.67966685,13.49342186,-0.8935307865
43,1.720315665,1.378807724,1.028773662,2.057547325,20.79143388,17.31482311,-0.9348787569
44,1.778011356,0.05995035856,1.777000376,3.554000751,31.39885845,11.46538498,-0.8535611776
45,2.447343245,0.4022447577,2.414060503,4.828121006,22.81188881,15.78124472,-0.9217827227
46,1.268532793,-0.6832587904,1.068799735,2.137599469,38.18005605,9.429006587,-0.7860721059
47,2.331144624,0.6738708836,2.231621224,4.463242449,23.29008718,15.45721994,-0.9185148015
48,1.415904819,-0.4519562857,1.3418353,2.6836706,37.40411579,9.624609283,-0.7943709882
49,1.689178645,-0.04292918963,1.688633051,3.377266101,32.96925108,10.91926532,-0.8389627385
50,1.219584836,0.8449334938,0.8794740268,1.758948054,35.40334518,10.16853064,-0.8150939734
51,1.922628747,0.6201560659,1.819864762,3.639729524,27.83551093,12.93311989,-0.884291747
52,1.597110135,-0.16963942,1.588075329,3.176150658,34.61496001,10.40012757,-0.8229880757
53,1.541191817,-0.4632125549,1.46993413,2.939868259,34.66948235,10.383772,-0.8224471417
54,1.52072086,0.271189708,1.496344906,2.992689812,35.95969236,10.01120912,-0.8094303017
55,1.172021941,1.075969684,0.4646769516,0.9293539031,22.46743285,16.02319243,-0.9240969021
56,1.611278676,-0.3903411922,1.563282676,3.126565353,33.67546959,10.69027409,-0.832191595
57,1.588661466,1.032184433,1.20765912,2.415318241,27.97316251,12.86947802,-0.8831673977
58,1.99598868,0.8515407226,1.805228299,3.610456597,25.80194376,13.9524372,-0.9003040057
59,1.71289857,0.9705324945,1.411413543,2.822827085,27.73798627,12.97859176,-0.8850852476
60,2.245634959,-0.963576317,2.028397656,4.056795312,22.93861238,15.69406178,-0.9209229606
61,1.743741353,-0.03011328114,1.743481315,3.48696263,31.9955658,11.25155911,-0.8480891048
62,2.006834517,1.41450694,1.423571177,2.847142354,20.64976406,17.43361324,-0.9357535918
63,1.665997744,0.9057940121,1.398243788,2.796487575,28.97065268,12.4263683,-0.8748679155
64,1.881471752,0.4880981735,1.817056995,3.634113991,28.91220891,12.45148723,-0.8753615266
65,1.805950519,-0.6346187252,1.690773892,3.381547783,29.31190516,12.28169912,-0.8719675676
66,1.972749723,0.908004159,1.751362303,3.502724606,25.68352517,14.01676747,-0.9012016784
67,1.905230399,0.9251585084,1.665528326,3.331056653,26.23288027,13.72323573,-0.8970048554
68,2.410601525,1.422642868,1.946043932,3.892087864,19.28723777,18.6651922,-0.9438745479
69,1.373595619,-0.6418942125,1.214387395,2.428774789,36.57333394,9.843237169,-0.8030948776
70,2.016027524,0.08797147066,2.014107246,4.028214493,27.83548088,12.93313385,-0.8842919919
71,1.528379503,0.8908912344,1.241876287,2.483752575,30.76764793,11.7006019,-0.859248885
72,1.832098802,0.06276879095,1.831023238,3.662046476,30.51511716,11.79743135,-0.8614952194
73,1.673721128,1.228756222,1.136442063,2.272884127,24.0095808,14.99401439,-0.9134774318
74,1.715741606,0.7761621143,1.530144317,3.060288634,29.59791586,12.16301856,-0.8695128961
75,2.140435968,0.3850162445,2.105523361,4.211046722,25.92436168,13.88655213,-0.8993719732
76,1.16402048,0.882067996,0.759539155,1.51907831,34.50466284,10.43337249,-0.8240800907
77,1.828398786,0.9614941454,1.555175594,3.110351189,26.69316145,13.48660033,-0.8934250106
78,2.226138011,0.1387868651,2.221807519,4.443615037,25.27449568,14.24360765,-0.9042726917
79,1.31594479,0.8930833693,0.9664951041,1.932990208,33.11573795,10.87096415,-0.8375686822
80,1.299101158,-0.7366598656,1.070044888,2.140089775,36.66009746,9.81994116,-0.8021916542
81,1.727634854,1.00693284,1.403854852,2.807709704,27.17345178,13.24822488,-0.8896280759
82,2.454912969,0.9571985686,2.260612436,4.521224872,21.37238252,16.84416792,-0.9312315841
83,1.800130924,1.217302885,1.326139144,2.652278287,23.91512648,15.05323421,-0.9141469632
84,2.276177142,0.2005936861,2.267321009,4.534642018,24.69350214,14.57873403,-0.9085555616
85,1.911023996,0.8950475442,1.688461609,3.376923219,26.39578181,13.6385428,-0.8957444925
86,2.386442091,0.5412655196,2.324249877,4.648499755,23.11527011,15.57412041,-0.9197169014
87,1.50538772,0.839217619,1.249762368,2.499524735,31.79323079,11.32316506,-0.8499549443
88,1.136049298,-0.3130052585,1.092078621,2.184157243,46.3825175,7.761545069,-0.6898404761
89,1.605588602,-0.3984286109,1.555367931,3.110735862,33.74838379,10.66717749,-0.8314852836
90,1.827617076,1.096566264,1.462096647,2.924193294,25.32080839,14.21755556,-0.9039272844
91,1.562064173,0.8645060041,1.301027997,2.602055995,30.71304959,11.72140197,-0.8597359689
92,0.7481981355,-0.3410972192,0.665922771,1.331845542,65.05121914,5.53410074,-0.4218079058
93,1.696863845,-0.487321101,1.62538151,3.25076302,31.72308358,11.34820324,-0.850599336
94,1.703957425,-0.4631662399,1.639801189,3.279602379,31.71538036,11.35095956,-0.8506700223
95,1.715354161,0.7339920352,1.550385626,3.100771253,29.93459563,12.02621891,-0.8665956002
96,2.669803876,0.7709495258,2.556069162,5.112138325,20.38696251,17.65834415,-0.9373612818
97,1.92113408,0.8169676446,1.738769686,3.477539372,26.80953395,13.42805887,-0.8925107806
98,2.180354694,0.6841327419,2.070243701,4.140487402,24.6859256,14.5832085,-0.9086107969
99,1.843215066,0.2438545958,1.827013059,3.654026118,30.13411812,11.94659152,-0.8648526308
100,1.854225586,1.126212854,1.473023127,2.946046253,24.79836864,14.51708397,-0.907789421
101,2.293261669,1.251584605,1.921610017,3.843220035,20.98819749,17.15249726,-0.9336542279
102,2.380610152,-0.2957899059,2.362162786,4.724325573,23.55913848,15.28069459,-0.9166480126
103,1.641422352,0.9047338286,1.36957075,2.739141499,29.26276191,12.30232475,-0.8723871512
104,1.481674564,1.197782407,0.8721678839,1.744335768,24.14824378,14.90791642,-0.9124900342
105,1.076087134,-0.1982866055,1.057660599,2.115321197,49.35509825,7.29407929,-0.6513690457
106,1.618210456,0.7616066343,1.427781641,2.855563283,31.08133318,11.58251475,-0.8564353244
107,1.716127549,-0.1212673349,1.711837608,3.423675216,32.42241094,11.10343092,-0.8441182751
108,1.652657337,1.08264775,1.24865933,2.497318661,26.71303503,13.47656676,-0.8932691433
109,2.464136778,0.235557575,2.45285195,4.905703901,22.8461597,15.75757172,-0.9215506549
110,2.097660802,1.436743918,1.528380762,3.056761524,20.21716169,17.80665385,-0.9383895542
111,1.421919495,0.2916670063,1.391684378,2.783368757,38.14747944,9.437058627,-0.7864234311
112,0.9949702321,0.7750709065,0.6238836852,1.24776737,40.13507748,8.969709855,-0.7645269138
113,1.746076821,1.384626579,1.063763837,2.127527674,20.81083044,17.29868499,-0.934758535
114,1.751121737,1.366296218,1.095290821,2.190581642,21.25074447,16.94058298,-0.9320031599
115,1.434435242,-0.4238582563,1.370382663,2.740765326,37.16652521,9.686135521,-0.7968830163
116,2.125361737,-0.0625924259,2.124439856,4.248879713,26.46677278,13.60196058,-0.8951929721
117,1.845285382,1.140312012,1.450781395,2.90156279,24.69411789,14.57837051,-0.9085510719
118,2.078525467,1.118567381,1.751877602,3.503755204,23.28745021,15.45897025,-0.9185329977
119,1.930997852,1.5754809,1.116518088,2.233036176,17.79421826,20.23129057,-0.9521602357
120,2.187718923,0.8252127137,2.02611403,4.05222806,24.06854505,14.95728135,-0.91305821
121,2.228860525,0.03665649812,2.228559073,4.457118146,25.28467283,14.23787456,-0.9041968396
122,1.273757721,-0.2103672845,1.25626603,2.512532059,42.46910706,8.476749922,-0.7376414967
123,1.777565646,0.07921142766,1.775799869,3.551599738,31.39551263,11.46660684,-0.8535915998
124,1.595551442,0.5403393519,1.501272057,3.002544114,33.18169785,10.84935441,-0.8369391804
125,2.006904061,0.9147267077,1.786319949,3.572639899,25.30776495,14.22488318,-0.9040246241
126,1.308238084,-0.6861484173,1.113861407,2.227722814,37.31256915,9.648223325,-0.7953405242
127,1.89267981,0.9077236221,1.660805434,3.321610868,26.49192157,13.58904823,-0.8949972644
128,1.513583147,1.089587354,1.05058714,2.101174281,27.23750884,13.21706776,-0.8891169423
129,1.568814334,0.6380015781,1.433224477,2.866448954,32.95018732,10.92558281,-0.8391437576
130,1.706035801,1.127701354,1.280174915,2.560349829,25.69536175,14.01031064,-0.9011121243
131,1.389091009,1.018789892,0.9442674333,1.888534867,29.34498035,12.26785623,-0.8716848115
132,1.664832202,0.6801955298,1.519539504,3.039079008,31.07289048,11.58566179,-0.8565113867
133,2.330417662,-0.730428082,2.212989222,4.425978444,23.12966333,15.56442889,-0.9196182522
134,1.945376711,1.060101733,1.631157523,3.262315046,24.77319201,14.53183747,-0.9079736356
135,1.553090849,0.7674846258,1.350206849,2.700413698,31.98441377,11.2554822,-0.8481922192
136,1.899362861,0.5523849282,1.817264474,3.634528949,28.42413365,12.66529367,-0.8794481564
137,2.260298068,0.3919062849,2.226063077,4.452126154,24.61426311,14.62566636,-0.9091324527
138,1.572984562,-0.7429831377,1.386454647,2.772909294,31.93641244,11.27239951,-0.8486356847
139,1.696702612,0.0009314946289,1.696702356,3.393404713,32.83935198,10.96245749,-0.8401943484
140,2.57393402,1.580916307,2.031216377,4.062432754,17.67267803,20.37042712,-0.9528063536
141,1.566542277,0.9322793476,1.258932057,2.517864115,29.73453758,12.10713296,-0.8683326969
142,1.860021855,0.2642698618,1.841152558,3.682305116,29.83964832,12.06448535,-0.8674213427
143,1.458573895,1.111258268,0.9447448691,1.889489738,26.7119829,13.47709758,-0.8932773977
144,1.483106545,0.4624640733,1.409160036,2.818320071,35.85912367,10.03928605,-0.8104597679
145,1.537833084,-0.1230529678,1.532902006,3.065804012,35.93460558,10.01819817,-0.8096873348
146,1.613720213,0.1025877894,1.610456045,3.22091209,34.37638049,10.47230671,-0.8253463291
147,2.343144021,0.6748137461,2.243869495,4.48773899,23.18026536,15.53045206,-0.9192709719
148,1.904584809,1.077101857,1.570762517,3.141525033,24.94193395,14.43352391,-0.9067356214
149,1.860739647,0.4131979329,1.81428209,3.62856418,29.45702645,12.22119281,-0.8707247835
150,2.622024262,0.24646378,2.610415069,5.220830139,21.50564286,16.73979254,-0.930381468
151,1.564926073,0.8381608218,1.32154457,2.64308914,31.00489878,11.61106838,-0.8571232619
152,1.407364314,0.8424604489,1.127357399,2.254714797,33.08013156,10.8826653,-0.8379080379
