intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,52.17156413,0.5613768836,0.5389942369,0.1569369874,0.3138739748,67.45682992,5.336746485,-0.38337943
bad-news-delivery,4,23.88494913,1.663210122,1.450885738,0.8131411226,1.626282245,17.90842729,20.10226773,-0.9515491864
complaint,7,17.95337411,1.367049157,-0.7827560727,1.120765956,2.241531912,34.69615998,10.37578799,-0.8221821929
correction,9,13.25745646,0.7325109173,0.2733678132,0.6795897899,1.35917958,67.13561814,5.362280262,-0.3885512166
criticism-or-feedback,8,17.10551379,0.5406534785,-0.07790323924,0.5350114663,1.070022933,85.47872798,4.211574137,-0.07882921268
disagreement,6,16.3868267,0.6828996206,0.4370994969,0.5246864984,1.049372997,67.59143887,5.326118307,-0.3812085176
inquiry-sensitive,4,15.67076012,0.8270012187,0.5596487017,0.608871371,1.217742742,54.52325245,6.602687547,-0.5803725139
refusal,8,21.24507403,0.7716535407,-0.4045203611,0.6571243903,1.314248781,62.26917065,5.781352092,-0.4653183854
reminder,6,24.04052543,1.195374597,-0.8810750467,0.807853445,1.61570689,34.42083279,10.45878239,-0.8249080213
request,12,15.79864804,2.058739751,1.354846578,1.550096807,3.100193613,21.23863412,16.95024256,-0.9320797485
ALL,72,9.153816706,2.03215369,0.7636849241,1.883197801,3.766395601,25.89213182,13.90383776,-0.8996177546
