split,cosine
0,0.9749901027
1,0.9863467432
2,0.985649476
3,0.9834884757
4,0.9385496983
5,0.9880790853
6,0.8538699219
7,0.973512855
8,0.9809182979
9,0.945854822
10,0.8794963274
11,0.9715883863
12,0.9740895057
13,0.9324327924
14,0.9757336539
15,0.9673931254
16,0.9817953028
17,0.9624331375
18,0.9898921132
19,0.9837599334
20,0.9750911771
21,0.9120021388
22,0.9871749572
23,0.9844343732
24,0.9763126263
25,0.9696052717
26,0.9874949634
27,0.9872626175
28,0.984586723
29,0.9866517601
30,0.9711503073
31,0.9863561935
32,0.9851704149
33,0.986600721
34,0.9787564131
35,0.9693023799
36,0.9881001355
37,0.9764984827
38,0.9840894884
39,0.9854389069
40,0.975049164
41,0.9625235919
42,0.984351418
43,0.9875765104
44,0.9614146924
45,0.981280116
46,0.9896978143
47,0.974019813
48,0.9648868503
49,0.9820916759
50,0.9876589033
51,0.9574155332
52,0.9765150688
53,0.9095986785
54,0.9829669729
55,0.9162240545
56,0.9706990946
57,0.9619108299
58,0.9811931606
59,0.9825709496
60,0.9854335441
61,0.9822050179
62,0.9835141116
63,0.9709907897
64,0.9831223489
65,0.9893083665
66,0.9467295188
67,0.987681849
68,0.9413359453
69,0.9879837835
70,0.9778256974
71,0.9651023046
72,0.9437437583
73,0.9797444618
74,0.9545668829
75,0.9692406395
76,0.9867547097
77,0.9325856267
78,0.9823289475
79,0.9808598274
80,0.9850334762
81,0.9569985731
82,0.9880851226
83,0.9079811906
84,0.9845863127
85,0.9898938536
86,0.9831330442
87,0.9855216131
88,0.9709975565
89,0.9825669512
90,0.9842318968
91,0.9755305947
92,0.9803011201
93,0.9779110277
94,0.9879902372
95,0.9775479409
96,0.9845228303
97,0.9510530027
98,0.9851426475
99,0.9176128613
100,0.9839061043
101,0.9856363466
102,0.9610784748
103,0.9863600735
104,0.9608600188
105,0.9867254837
106,0.9732011522
107,0.9475321251
108,0.9829640001
109,0.9717185914
110,0.9781605864
111,0.84898624
112,0.9785480702
113,0.9690485646
114,0.9842421205
115,0.9793431981
116,0.9887584034
117,0.9695469196
118,0.9758810995
119,0.9849913333
120,0.9871379794
121,0.9830167978
122,0.967929426
123,0.9844340415
124,0.9528052071
125,0.9907583503
126,0.9439851793
127,0.9813924827
128,0.9780748882
129,0.9779815744
130,0.9898728168
131,0.9768747402
132,0.9874015891
133,0.9866219623
134,0.9768993769
135,0.986179249
136,0.9774869681
137,0.9594828798
138,0.984472534
139,0.9861418858
140,0.9884864687
141,0.9865685566
142,0.9827176618
143,0.9889881105
144,0.942667575
145,0.9895351201
146,0.9516431452
147,0.9888946599
148,0.9802580694
149,0.9767753414
150,0.9880836359
151,0.9757761199
152,0.9908155024
153,0.9731951407
154,0.9882025548
155,0.9796024329
156,0.9769063535
157,0.9712056476
158,0.9575754411
159,0.9639897845
160,0.973687149
161,0.9840754998
162,0.9839570209
163,0.9878985561
164,0.9810509893
165,0.9744579808
166,0.8734574255
167,0.9857254835
168,0.9813757491
169,0.9650986963
170,0.9865916677
171,0.9822650716
172,0.976965689
173,0.9813885371
174,0.9855209318
175,0.955277983
176,0.9871826588
177,0.9874426116
178,0.9359530924
179,0.9852160551
180,0.9790555026
181,0.9759147091
182,0.9818155173
183,0.986611567
184,0.9669052752
185,0.9812977152
186,0.9868624416
187,0.9450562888
188,0.9704935611
189,0.984380164
190,0.9622300192
191,0.982883027
192,0.9819829821
193,0.9841624535
194,0.971133175
195,0.9760107565
196,0.9849698178
197,0.9849281996
198,0.9828179841
199,0.9835046746
200,0.9765694298
201,0.9883502428
202,0.9870282333
203,0.9598485185
204,0.9778147627
205,0.9483790175
206,0.9641492457
207,0.9847505718
208,0.970167199
209,0.9797435529
210,0.9670720512
211,0.9811629804
212,0.9869732619
213,0.985234455
214,0.9657545252
215,0.9596197682
216,0.9286000367
217,0.9458673943
218,0.9841046835
219,0.9658785561
220,0.967554767
221,0.9837625555
222,0.9879988294
223,0.9855909025
224,0.9686979492
225,0.9827934573
226,0.9675727905
227,0.9755053114
228,0.980813294
229,0.9600677371
230,0.9855837734
231,0.9859489486
232,0.9860444712
233,0.9738044411
234,0.985691311
235,0.971164066
236,0.9853811356
237,0.9871036237
238,0.9638735548
239,0.9710468105
240,0.9819500896
241,0.9878368661
242,0.9803415387
243,0.9856402866
244,0.8664243584
245,0.9867671847
246,0.9838285738
247,0.9836755562
248,0.9841660351
249,0.9724622459
250,0.9472559872
251,0.9870181634
252,0.9870058902
253,0.9758499901
254,0.9007542242
255,0.9336888013
256,0.9896194289
257,0.9845419197
258,0.9824500335
259,0.9800721961
260,0.981167716
261,0.9575058547
262,0.9578371011
263,0.9818995134
264,0.9858893755
265,0.9797723276
266,0.9394432975
267,0.9836576784
268,0.8864124039
269,0.9830420858
270,0.9812565207
271,0.9837963885
272,0.9839573854
273,0.9537644358
274,0.9794012759
275,0.9862606743
276,0.9798946749
277,0.9726735163
278,0.9703979756
279,0.9535750998
280,0.9602270168
281,0.9737303849
282,0.9796842528
283,0.9389795054
284,0.9849592289
285,0.9844255343
286,0.9882584991
287,0.9826759604
288,0.9687742811
289,0.9623179712
290,0.9833738131
291,0.9903219315
292,0.9440030802
293,0.9838325307
294,0.9778699953
295,0.9686722944
296,0.9824984716
297,0.9058948354
298,0.9832768163
299,0.8955720662
