scenario_id,theta1_deg,theta2_deg,overlap
politeness-apology-003,19.73796159,77.7251207,0.4655727552
politeness-apology-013,16.65633183,76.09074089,0.4878139509
politeness-apology-043,21.99038337,86.11730693,0.4321858241
politeness-apology-057,40.90572397,70.04886083,0.3438228813
politeness-apology-065,16.28010254,64.92941998,0.5504820117
politeness-apology-067,18.93342277,75.2956478,0.4795750472
politeness-apology-081,15.95868495,66.00920522,0.5448605213
politeness-apology-098,30.41341657,85.32483064,0.3751843597
politeness-bad-news-delivery-020,25.81538262,71.72759104,0.4543338877
politeness-bad-news-delivery-028,16.81298484,68.21497939,0.5270344941
politeness-bad-news-delivery-066,14.70382547,63.42773202,0.5678374503
politeness-bad-news-delivery-073,57.9011606,70.52351109,0.1967675623
politeness-complaint-030,15.41422124,59.86722446,0.5906811911
politeness-complaint-032,16.04366617,60.0715077,0.5862698179
politeness-complaint-040,15.38968949,50.990083,0.6628927634
politeness-complaint-049,52.75633744,88.95655291,0.183302927
politeness-complaint-063,17.32937902,76.8497133,0.481517901
politeness-complaint-072,16.39001931,76.90601142,0.4858510711
politeness-complaint-089,17.24498668,57.56670687,0.5998744589
politeness-correction-002,18.15177408,77.28674212,0.4756887321
politeness-correction-005,27.41360587,62.98985312,0.4971363734
politeness-correction-007,33.27831261,67.58388932,0.4221670468
politeness-correction-024,21.80211271,87.60501126,0.4319033801
politeness-correction-027,50.1716322,82.42914414,0.213793043
politeness-correction-045,36.0609184,78.93491847,0.3451658697
politeness-correction-051,21.87040184,77.85726898,0.4527418204
politeness-correction-076,18.55429352,74.05077895,0.487126865
politeness-correction-087,28.61506997,82.12599923,0.3947003148
politeness-criticism-or-feedback-023,25.27101748,81.72392961,0.419237768
politeness-criticism-or-feedback-036,38.62470626,69.13953932,0.3685780525
politeness-criticism-or-feedback-041,22.88820979,71.14311391,0.4765958938
politeness-criticism-or-feedback-050,22.52113014,72.60564392,0.4713308527
politeness-criticism-or-feedback-054,24.14692034,77.65904186,0.4391676488
politeness-criticism-or-feedback-071,27.22538838,76.63264902,0.4220757664
politeness-criticism-or-feedback-099,26.83497953,67.51581813,0.4712346373
politeness-criticism-or-feedback-100,20.29098101,71.95035131,0.4878697597
politeness-disagreement-012,25.91682549,69.40650111,0.466345593
politeness-disagreement-035,27.6237738,45.90886844,0.6345779397
politeness-disagreement-047,42.14980118,79.19434219,0.2924057226
politeness-disagreement-048,31.53736317,53.37849722,0.5411287206
politeness-disagreement-075,23.55546802,61.77802809,0.5319571176
politeness-disagreement-086,36.25253434,75.93138476,0.3547002021
politeness-inquiry-sensitive-008,16.19444775,85.36264572,0.4643762007
politeness-inquiry-sensitive-009,43.26621711,85.95689815,0.2676064862
politeness-inquiry-sensitive-016,18.01705164,62.88921775,0.5560036552
politeness-inquiry-sensitive-092,34.01447046,80.89406301,0.3560577273
politeness-refusal-038,17.87442187,60.23592727,0.5761176823
politeness-refusal-058,16.83135853,55.96330903,0.6147240497
politeness-refusal-064,26.74925054,63.68996477,0.4969365735
politeness-refusal-069,24.55203712,86.25443986,0.4158054964
politeness-refusal-077,43.42441701,69.48757049,0.3251364089
politeness-refusal-080,32.53463028,77.18200531,0.3799903612
politeness-refusal-083,21.79389787,63.50711465,0.5305763482
politeness-refusal-090,32.1496563,55.95626392,0.515119812
politeness-reminder-017,19.30911113,78.32156038,0.4658171891
politeness-reminder-018,16.97284731,62.50672925,0.563949593
politeness-reminder-019,22.46570133,71.43974417,0.4776462314
politeness-reminder-021,51.54584345,89.99805924,0.1933725031
politeness-reminder-079,34.39474765,63.43687655,0.4404354167
politeness-reminder-094,16.53099174,67.73136561,0.5313216239
politeness-request-001,41.07740651,70.47396734,0.3399807811
politeness-request-006,17.75532063,57.07273032,0.6012382611
politeness-request-025,17.83811915,84.02518461,0.4584988659
politeness-request-029,24.17249795,75.25377229,0.4485558163
politeness-request-031,28.44346641,88.97994544,0.3867317126
politeness-request-037,32.07736884,48.20171254,0.5811034639
politeness-request-053,21.22743573,67.4947647,0.5077079207
politeness-request-056,19.38991065,77.59880297,0.4679496614
politeness-request-061,23.57547889,52.22348248,0.6076463364
politeness-request-074,21.33647887,84.71291919,0.438054096
politeness-request-093,20.91213837,62.59342543,0.5422371868
politeness-request-097,16.97039074,64.52555572,0.5499004211
