split,cosine
0,0.6144182365
1,0.806376302
2,0.7892654155
3,-0.1788438875
4,0.7708663582
5,0.898405364
6,0.7884243717
7,0.5797153855
8,0.4960162966
9,0.1570259106
10,0.8823579784
11,0.7392790196
12,0.7243228341
13,0.6698185689
14,0.8218507168
15,0.9168721035
16,0.5760580799
17,0.8893486243
18,0.9116291291
19,0.8469674025
20,0.7170664933
21,0.7822049917
22,0.85287725
23,0.5741963592
24,0.4210546207
25,0.9042387208
26,0.8145356358
27,-0.1740805056
28,0.6259313601
29,-0.3038472118
30,0.9093551603
31,0.832252965
32,0.9123534813
33,-0.1585548726
34,0.1867930348
35,0.8589026459
36,0.1776671044
37,0.854856952
38,0.4096348606
39,0.6789934439
40,0.03776127403
41,0.5567927513
42,0.9142200565
43,0.409687588
44,0.286918137
45,0.922258015
46,0.8463171447
47,0.4759140939
48,0.8971301106
49,0.7528420154
50,0.3551149114
51,0.8943498192
52,0.1854495465
53,0.9170980954
54,0.4470082356
55,0.9005833581
56,0.8696445871
57,0.03525019506
58,0.5862737183
59,0.2542934982
60,0.5820265776
61,0.4675006011
62,0.784879697
63,-0.03095750526
64,0.8436132364
65,0.9233830118
66,0.9008780762
67,0.8926791395
68,0.8550293356
69,0.4858036234
70,0.5125604474
71,0.13677736
72,0.04132271312
73,0.07713064768
74,0.6773260064
75,0.6772377912
76,0.8375004466
77,0.6242023013
78,0.3856405623
79,0.1286846368
80,0.5354035192
81,0.5625158952
82,0.7756421326
83,-0.2973299857
84,0.9275151829
85,0.794363287
86,0.5375737586
87,0.8707065861
88,0.7870703775
89,0.9258423197
90,0.875938963
91,-0.1681526184
92,0.9215741458
93,0.4987283635
94,0.1816489556
95,0.5713515366
96,0.9286664094
97,0.8742059128
98,0.7663955241
99,0.5007300861
100,0.7060617591
101,0.8993937281
102,0.9065889784
103,0.3064442435
104,0.3441396658
105,0.9116023068
106,0.8083803615
107,0.6784974245
108,-0.1498103283
109,0.9033254499
110,0.8704534953
111,0.7993660544
112,0.8251555976
113,0.4276233452
114,0.5807191473
115,0.9353186903
116,-0.09229609772
117,0.9073615753
118,0.7978506225
119,0.8516286675
120,0.9135036861
121,0.7307107904
122,0.4623587339
123,0.5232152404
124,0.4291664482
125,0.9059269359
126,0.02776699528
127,0.6766560759
128,0.9052543956
129,0.8613630342
130,0.3887828692
131,0.07075556919
132,0.8763790851
133,0.3627977214
134,-0.01754660308
135,0.726583716
136,0.03513552857
137,0.4873439244
138,0.8213525451
139,0.3726855115
140,0.9362547933
141,0.8699926244
142,0.2778718982
143,0.8570230951
144,0.9314649961
145,0.9315326912
146,0.9030664239
147,0.9096552556
148,0.5723042833
149,0.9138797522
150,0.607806137
151,-0.06256271718
152,0.800261575
153,0.7853325971
154,-0.2353886811
155,0.3588794687
156,-0.1946088517
157,0.9167064193
158,0.5184138849
159,0.9011114012
160,-0.411279448
161,0.884899641
162,0.4396446677
163,0.8988647777
164,0.8690019549
165,0.5963858974
166,0.2098693829
167,0.3160605847
168,-0.05514667491
169,0.8947188146
170,0.8904528834
171,0.5924998792
172,0.846424458
173,0.4080707179
174,0.8157456034
175,0.7406733065
176,0.737350702
177,0.3495734286
178,0.935581977
179,0.6912768259
180,0.7875364489
181,0.7566193773
182,0.7664874829
183,0.6271123289
184,-0.4105396673
185,0.1974609007
186,0.9285209541
187,0.7621948618
188,0.4026046125
189,0.8091410762
190,0.930230042
191,0.8276990758
192,0.9390644492
193,0.5242581982
194,0.783598547
195,0.3486535887
196,0.03337392795
197,0.8887020914
198,0.6670179417
199,0.3628720255
200,0.5629389821
201,0.8388683305
202,0.9264780489
203,0.8660470252
204,0.9235065594
205,0.7181353527
206,0.7882266458
207,0.8739914225
208,0.8068664667
209,0.9422809601
210,0.6957687544
211,0.3190213354
212,0.9417223846
213,0.1190663442
214,0.7310018708
215,0.8688685603
216,0.0579178472
217,-0.4732560894
218,0.9047403022
219,0.6643964265
220,0.6954671988
221,0.9294595703
222,0.8041944552
223,0.8930200686
224,0.6393827732
225,0.9355900398
226,0.3909940183
227,0.4837669147
228,0.7881671205
229,0.7064605345
230,0.3938122001
231,0.811620669
232,0.5091218553
233,0.8864692383
234,0.9139106423
235,0.2169650872
236,0.9164659211
237,0.2733769377
238,0.4345490304
239,0.6348673646
240,0.684238556
241,0.8986616828
242,0.6331348212
243,0.4353074149
244,0.8382852215
245,0.5946384297
246,0.8585628379
247,0.787409544
248,0.5657239614
249,0.4156353291
250,0.7918309705
251,0.2931931802
252,0.9008818027
253,0.1861529574
254,0.8800575204
255,0.8086282547
256,0.3880664117
257,0.838612291
258,0.7516072097
259,0.8999272228
260,0.5336682771
261,-0.03307494792
262,0.9347595751
263,0.08431757414
264,0.5609769163
265,0.6670167816
266,0.9050960461
267,0.4828681456
268,0.6606212274
269,0.1906872909
270,0.4009795103
271,0.7686434245
272,-0.3120779852
273,0.2469856929
274,0.1273502535
275,0.8617175794
276,0.7805377048
277,0.3794105087
278,0.01560921605
279,0.007017063294
280,0.4248544166
281,0.2949664414
282,0.9121053462
283,0.159975657
284,0.5777849337
285,0.8937066602
286,0.8241020954
287,0.8944659174
288,0.4761077169
289,0.4338575234
290,-0.2767489757
291,0.6232275776
292,0.7821345653
293,0.6540872255
294,0.8770888539
295,0.7375446739
296,0.8344880884
297,0.8595237533
298,-0.08494637464
299,0.9400459517
