scenario_id,level,valence,markedness
politeness-apology-003,negative,-4.636362924,-2.173320493
politeness-apology-003,neutral,1.4461604,2.137851417
politeness-apology-003,positive,3.190202524,0.03546907545
politeness-apology-013,negative,-8.678020884,-5.141951424
politeness-apology-013,neutral,4.651728746,3.951165998
politeness-apology-013,positive,4.026292138,1.190785427
politeness-apology-043,negative,-6.372926142,1.13426128
politeness-apology-043,neutral,3.820748251,7.031140372
politeness-apology-043,positive,2.552177892,-8.165401652
politeness-apology-057,negative,-7.431142984,-6.801845522
politeness-apology-057,neutral,3.625392917,3.983829886
politeness-apology-057,positive,3.805750067,2.818015636
politeness-apology-065,negative,-6.155915724,0.3470905016
politeness-apology-065,neutral,4.742062462,5.676079998
politeness-apology-065,positive,1.413853262,-6.023170499
politeness-apology-067,negative,-5.662032963,-3.125052777
politeness-apology-067,neutral,1.271225643,3.922501225
politeness-apology-067,positive,4.39080732,-0.797448448
politeness-apology-081,negative,-7.852651869,-4.298700257
politeness-apology-081,neutral,3.459329131,4.638675439
politeness-apology-081,positive,4.393322737,-0.3399751821
politeness-apology-098,negative,-5.180944426,-2.065866487
politeness-apology-098,neutral,1.896286073,1.516401759
politeness-apology-098,positive,3.284658353,0.5494647283
politeness-bad-news-delivery-020,negative,-5.967746844,0.5515362787
politeness-bad-news-delivery-020,neutral,2.364171431,2.001011248
politeness-bad-news-delivery-020,positive,3.603575413,-2.552547527
politeness-bad-news-delivery-028,negative,-10.32753554,-7.53961055
politeness-bad-news-delivery-028,neutral,5.985472476,9.114163686
politeness-bad-news-delivery-028,positive,4.342063066,-1.574553136
politeness-bad-news-delivery-066,negative,-10.44704967,-3.97072989
politeness-bad-news-delivery-066,neutral,5.824473046,4.040454239
politeness-bad-news-delivery-066,positive,4.622576628,-0.06972434855
politeness-bad-news-delivery-073,negative,-7.556170396,-8.124669044
politeness-bad-news-delivery-073,neutral,4.684362392,6.692365002
politeness-bad-news-delivery-073,positive,2.871808004,1.432304042
politeness-complaint-030,negative,-6.017504637,-6.619327674
politeness-complaint-030,neutral,0.3062715871,13.76910953
politeness-complaint-030,positive,5.71123305,-7.14978186
politeness-complaint-032,negative,-9.548623719,-9.442876428
politeness-complaint-032,neutral,5.65493176,9.663557057
politeness-complaint-032,positive,3.893691959,-0.220680629
politeness-complaint-040,negative,-8.691423752,-7.35720648
politeness-complaint-040,neutral,4.468102839,6.504607167
politeness-complaint-040,positive,4.223320913,0.8525993122
politeness-complaint-049,negative,-7.78539902,-4.804037604
politeness-complaint-049,neutral,1.7341907,8.676642101
politeness-complaint-049,positive,6.051208321,-3.872604498
politeness-complaint-063,negative,-4.219916962,6.982113597
politeness-complaint-063,neutral,2.633839158,1.739215102
politeness-complaint-063,positive,1.586077803,-8.721328699
politeness-complaint-072,negative,-9.087568527,-4.617317612
politeness-complaint-072,neutral,4.469164262,10.15283786
politeness-complaint-072,positive,4.618404265,-5.535520248
politeness-complaint-089,negative,-8.403661808,1.210731115
politeness-complaint-089,neutral,4.67638947,6.011756539
politeness-complaint-089,positive,3.727272338,-7.222487654
politeness-correction-002,negative,-5.797019906,-2.899110214
politeness-correction-002,neutral,2.832499398,4.938039506
politeness-correction-002,positive,2.964520507,-2.038929292
politeness-correction-005,negative,-6.02366873,4.806804037
politeness-correction-005,neutral,1.774157165,5.030571418
politeness-correction-005,positive,4.249511566,-9.837375455
politeness-correction-007,negative,-3.168626233,-1.520574722
politeness-correction-007,neutral,0.8253938957,2.515676138
politeness-correction-007,positive,2.343232337,-0.9951014164
politeness-correction-024,negative,-8.535680163,-0.5217380452
politeness-correction-024,neutral,3.981148258,1.351198946
politeness-correction-024,positive,4.554531905,-0.8294609007
politeness-correction-027,negative,-6.513697247,-10.30247793
politeness-correction-027,neutral,3.266236734,6.299133053
