sim,step_cosine,midpoint_residual
0,0.9313062244,0.09448298325
1,0.8957361168,0.1176138289
2,0.9101948997,0.1094611664
3,0.8885423119,0.1229083948
4,0.9133090878,0.1065026668
5,0.8662365268,0.1353048411
6,0.9095039741,0.1103543657
7,0.9357719571,0.09335676614
8,0.8887605533,0.1257602625
9,0.8949317311,0.1181123512
10,0.9197659594,0.1031388278
11,0.8836760343,0.1242566616
12,0.8228627797,0.1561789776
13,0.8976720202,0.1179945573
14,0.8930056511,0.1193786394
15,0.8968525339,0.1167666216
16,0.8989492748,0.1154713639
17,0.9224421273,0.100440881
18,0.9031354867,0.1130800681
19,0.910291053,0.1194029031
20,0.9006268828,0.114468676
21,0.9027347083,0.1130539724
22,0.8931810325,0.1194289487
23,0.9163793011,0.1047729631
24,0.8904132155,0.1204208903
25,0.9192437892,0.1027739893
26,0.9245720306,0.09931798647
27,0.9243131068,0.09923005931
28,0.9031259677,0.1160718043
29,0.8935416163,0.1186107659
30,0.8880283442,0.1236721575
31,0.9131119858,0.1075270197
32,0.888305854,0.1216066574
33,0.902870803,0.1143777786
34,0.9230086319,0.1000702893
35,0.8916539755,0.1199836
36,0.9027068278,0.1133600075
37,0.8988771904,0.1165025656
38,0.9156960038,0.1051756199
39,0.9050229616,0.1121850695
40,0.9190274598,0.1047726146
41,0.9184771198,0.1040211619
42,0.9184916852,0.1030951878
43,0.94011933,0.08810828284
44,0.9041444157,0.1156535827
45,0.9216669748,0.1016511955
46,0.8799209922,0.1263677269
47,0.9047046348,0.1118567443
48,0.9307926256,0.096075757
49,0.9218831841,0.1033160392
50,0.8990081984,0.1208191896
51,0.8800514179,0.1269259367
52,0.9286333244,0.09807201767
53,0.9287507884,0.0961067251
54,0.8742113728,0.1330065897
55,0.9232199181,0.1033716323
56,0.8768031097,0.1330850852
57,0.9108700969,0.1081401819
58,0.9009791117,0.1169434866
59,0.8825535585,0.1263972782
60,0.9290227106,0.09601955951
61,0.912889658,0.107069684
62,0.9128717045,0.106903447
63,0.9319602187,0.09387646356
64,0.9232771857,0.1003680003
65,0.9131558369,0.1065293781
66,0.8854028394,0.1232803211
67,0.8851784473,0.1234357491
68,0.8839950173,0.1251371562
69,0.9065246043,0.1112900032
70,0.8663035223,0.1342053815
71,0.878511409,0.1271545851
72,0.903975262,0.1128333997
73,0.9124471478,0.1071677639
74,0.8989002456,0.1154639313
75,0.9096505918,0.1107161535
76,0.8332185418,0.1512127387
77,0.9013596457,0.1140774559
78,0.9106509582,0.1085675742
79,0.9192773377,0.1028691383
80,0.8919211232,0.1206305946
81,0.9054359485,0.1114135639
82,0.8949221838,0.1178828198
83,0.9301650535,0.09522406334
84,0.817821496,0.160241989
85,0.8877631499,0.1230340084
86,0.9050908694,0.1117286854
87,0.8977575272,0.1165468683
88,0.8872228626,0.1226209478
89,0.9086344879,0.1094065883
90,0.9125145574,0.1087629453
91,0.9186265748,0.1048655892
92,0.9056622199,0.1154055378
93,0.928523931,0.09742451863
94,0.8480093451,0.1459366707
95,0.9143705087,0.1061835868
96,0.9058091304,0.1124674156
97,0.8696396003,0.1326048512
98,0.8937624444,0.1185119525
99,0.9185129981,0.1031755756
100,0.8875145345,0.1223743331
101,0.8911208073,0.1200429394
102,0.8873249471,0.1226696531
103,0.9097450724,0.1093273997
104,0.900633442,0.1184321688
105,0.9005648387,0.1144623321
106,0.8770053164,0.1281277975
107,0.9324138446,0.09434103751
108,0.9077655806,0.1102557382
109,0.8780376776,0.1278297266
110,0.9280042978,0.10202771
111,0.8812643852,0.1261464604
112,0.8441203321,0.1483806841
113,0.9140267516,0.1059690992
114,0.8672598173,0.1368962771
115,0.9229444612,0.1001554703
116,0.8963486966,0.1190869938
117,0.9229782669,0.1001838175
118,0.9020931118,0.113655147
119,0.9104534223,0.1082601812
120,0.8934879092,0.1195505649
121,0.8599630796,0.1374534773
122,0.9008629011,0.114186618
123,0.9312207948,0.09460403977
124,0.9171981749,0.1048878645
125,0.9268494891,0.09771333656
126,0.920348032,0.1018859096
127,0.899105234,0.1153523016
128,0.7710628759,0.1799512492
129,0.9221417704,0.1006579556
130,0.8944317275,0.1180915089
131,0.9091315191,0.1105669414
132,0.8805334868,0.1262548235
133,0.9090551134,0.1091354644
134,0.8958279508,0.1172941806
135,0.9211199475,0.1022885956
136,0.9262283796,0.09811769598
137,0.9146280517,0.1062597164
138,0.8759409491,0.1292587224
139,0.8704925121,0.1318082284
140,0.8982825173,0.1161764089
141,0.8962841182,0.118967424
142,0.8887698596,0.123854635
143,0.914720994,0.1072217769
144,0.8536972668,0.1405871424
145,0.8907210927,0.1205118317
146,0.9117365795,0.1074384818
147,0.892584245,0.1198276922
148,0.8620279025,0.1370491012
149,0.9148745619,0.1057487874
150,0.8987551664,0.1166493539
151,0.9008923281,0.119578311
152,0.9189969467,0.1047570425
153,0.8383029741,0.1482912997
154,0.9280869705,0.09902660505
155,0.9004456581,0.1149299907
156,0.9125371912,0.1078787103
157,0.8987290751,0.1187145962
158,0.9002646594,0.1223208722
159,0.9249315046,0.09987842354
160,0.9008313173,0.1178193442
161,0.89330057,0.1191136669
162,0.9179682607,0.1037722966
163,0.9014153295,0.1143703272
164,0.8974918092,0.1172513584
165,0.8843685956,0.1256404565
166,0.8959035841,0.1232742806
167,0.9046038306,0.1126556305
168,0.887439339,0.1222394408
169,0.8900370711,0.120650478
170,0.9182461295,0.103719976
171,0.8938588828,0.1208509964
172,0.913088327,0.1067946904
173,0.9125562321,0.1071314874
174,0.9176742298,0.1039556629
175,0.8738822702,0.1301524876
176,0.9074756249,0.1132670496
177,0.9078741027,0.1103143419
178,0.9023970895,0.1134208607
179,0.8839115254,0.1243172427
180,0.9096216827,0.1093196894
181,0.9235148998,0.09970387705
182,0.9133214533,0.1093283309
183,0.9021220131,0.1135330066
184,0.8778969884,0.1306891604
185,0.9170469931,0.1062015789
186,0.9144742141,0.1078401049
187,0.895460027,0.1177002576
188,0.9243757492,0.0993733941
189,0.8920505577,0.1194437244
190,0.8840337283,0.1287149407
191,0.88646675,0.1227681135
192,0.9206629448,0.1017293209
193,0.9288353606,0.09620982252
194,0.8876847935,0.1245992665
195,0.8975202932,0.1169304792
196,0.8761282737,0.128818174
197,0.8794865262,0.127175452
198,0.8933627276,0.1204023006
199,0.914547123,0.1056499955
200,0.9063848249,0.1108495898
201,0.9183047367,0.1032019743
202,0.9010479589,0.1144445198
203,0.9133887826,0.1065856793
204,0.8969936379,0.1204867678
205,0.8874597301,0.1272478924
206,0.9144686046,0.1056964366
207,0.9099532284,0.1087973231
208,0.9203211197,0.1020871094
209,0.9158877076,0.1051922735
210,0.8889218907,0.1224296901
211,0.8689253377,0.1334388112
212,0.8995039878,0.1151856292
213,0.8941212223,0.1184287116
214,0.8509687603,0.1419757185
215,0.9169804199,0.1052374015
216,0.8451789315,0.144857539
217,0.9110616399,0.1078940755
218,0.8191308714,0.1579168834
219,0.8875630966,0.1223937079
220,0.9123251098,0.1079842272
221,0.9038187199,0.1124074252
222,0.8751802016,0.1304204815
223,0.9008631187,0.1149132622
224,0.9167188968,0.1043148857
225,0.9075448267,0.1100905464
226,0.8774577111,0.1278250522
227,0.835154611,0.1499480783
228,0.921224626,0.1025888058
229,0.9173969141,0.1043769993
230,0.9187600867,0.1058735028
231,0.9185127201,0.1032458805
232,0.9070442052,0.1125164581
233,0.8712169056,0.1320822458
234,0.8837916384,0.124554956
235,0.9232614647,0.1001359469
236,0.881404545,0.1256623739
237,0.9032931305,0.1129815374
238,0.9046144094,0.1139984019
239,0.905283843,0.1125042238
240,0.8893824024,0.1223901062
241,0.8938715007,0.1197421668
242,0.8572480194,0.1407127303
243,0.9105791314,0.108332686
244,0.9051468506,0.1123679667
245,0.8984667487,0.1158110279
246,0.8966976068,0.1176197283
247,0.8594336352,0.1394562533
248,0.922338395,0.1039191152
249,0.9040338114,0.1125236295
250,0.9149118698,0.1054000798
251,0.920861666,0.1015014797
252,0.8192609352,0.1576337434
253,0.9051750593,0.112073285
254,0.9060634469,0.112213254
255,0.8934126703,0.1188705147
256,0.9001144031,0.1158205738
257,0.892172567,0.1202950566
258,0.9262841804,0.09878342871
259,0.8927478585,0.1190320021
260,0.8869246454,0.1246309479
261,0.907402614,0.1101697596
262,0.8714349939,0.1329393085
263,0.9085120048,0.1105753726
264,0.9012284505,0.1142773502
265,0.9059029768,0.1112184633
266,0.905848587,0.112414975
267,0.8946574104,0.1208717057
268,0.8390742047,0.1486409882
269,0.8968341185,0.1167215551
270,0.8733148149,0.1300351944
271,0.9110175606,0.1107822348
272,0.8381718506,0.1484031283
273,0.8780440092,0.1274931023
274,0.8743361707,0.1294699106
275,0.909323554,0.1089817436
276,0.9048796352,0.1120358021
277,0.9211442031,0.1014488482
278,0.8474614393,0.1441516878
279,0.8978759461,0.1194134304
280,0.8703806962,0.1325569742
281,0.8679932535,0.1339137605
282,0.8987730504,0.1154467322
283,0.9054959024,0.1118701992
284,0.9151746926,0.105737056
285,0.9047253467,0.1119337296
286,0.869476344,0.1346027441
287,0.9103452212,0.1084649367
288,0.9019720039,0.1135837617
289,0.9316666249,0.09509233548
290,0.8871471329,0.1223133951
291,0.9213392791,0.1014287728
292,0.9332715579,0.09302181509
293,0.9047184708,0.1119817461
294,0.9238593701,0.101155108
295,0.8473529124,0.1446946204
296,0.8503368369,0.14220109
297,0.8888932706,0.121304792
298,0.9222227046,0.1007079132
299,0.9141768316,0.1060519991
300,0.8647735832,0.1356937427
301,0.9166568388,0.1045521664
302,0.9135219076,0.1062948701
303,0.912290127,0.1095053544
304,0.8854874467,0.1232644906
305,0.8833481193,0.125754414
306,0.8788793797,0.1280500265
307,0.9047571024,0.1122002571
308,0.8744499599,0.1295610712
309,0.8914876187,0.120354245
310,0.8554510519,0.1399190459
311,0.9150740345,0.1052925446
312,0.9159697027,0.1047117994
313,0.9025303877,0.1180951602
314,0.8902070636,0.1205541533
315,0.8950997317,0.118420468
316,0.9181744317,0.1039617352
317,0.9227949086,0.1002072922
318,0.9087978955,0.1095579966
319,0.8873085062,0.1242684336
320,0.9218666907,0.1010471715
321,0.8961986512,0.1185208401
322,0.9099140898,0.111335262
323,0.9157892106,0.1064833645
324,0.9140001247,0.1071005536
325,0.9083984728,0.1099576582
326,0.9071697411,0.1103146809
327,0.8821425664,0.1251237655
328,0.846405045,0.1448123632
329,0.8948537124,0.1181658794
330,0.9180805727,0.1035431354
331,0.9166961523,0.1042770709
332,0.9020317694,0.1135950221
333,0.9108666006,0.1081680256
334,0.891442499,0.1202793923
335,0.8854536212,0.1232459594
336,0.8724390384,0.1307538576
337,0.9352684726,0.0914446332
338,0.8771548296,0.129089827
339,0.9276149147,0.1031392339
340,0.864613967,0.1364669108
341,0.8742713383,0.1295328755
342,0.919358487,0.1030314901
343,0.9107829592,0.108344663
344,0.9302696521,0.09503373398
345,0.9043346031,0.1133026535
346,0.9145989462,0.1059528005
347,0.9032232048,0.1128312291
348,0.8966813859,0.1168979078
349,0.900165763,0.1179076575
350,0.9024815223,0.1132324172
351,0.902525623,0.1133970938
352,0.9002115409,0.1171801036
353,0.9366199266,0.09086224692
354,0.8350298216,0.1525702915
355,0.9219879272,0.1027216681
356,0.9110099196,0.1079546485
357,0.8491376795,0.1431044857
358,0.8987930921,0.1155246092
359,0.7887299701,0.171894072
360,0.8444580938,0.1452112527
361,0.9068450366,0.1141490127
362,0.9030720811,0.1153333101
363,0.8678449144,0.1330078885
364,0.9008616924,0.1179280827
365,0.9040776166,0.1122361974
