split,cosine
0,0.817643812
1,0.8676819409
2,0.8173093694
3,0.8775173974
4,0.839720573
5,0.8718145538
6,0.8683692274
7,0.8736358295
8,0.830544577
9,0.8183437857
10,0.8718166364
11,0.8383434518
12,0.8876618185
13,0.8688823398
14,0.8696482599
15,0.8393335047
16,0.8496768949
17,0.8607611441
18,0.8795699768
19,0.8435373445
20,0.857450053
21,0.8353390145
22,0.8423624496
23,0.8421437902
24,0.8345000698
25,0.8390855401
26,0.8036382036
27,0.8665008727
28,0.8664826925
29,0.8540941272
30,0.8612606109
31,0.8667520552
32,0.8730469357
33,0.8589902811
34,0.7601536191
35,0.8646635797
36,0.870942253
37,0.8751245878
38,0.871222901
39,0.8675573544
40,0.8761850236
41,0.8610030824
42,0.8329695199
43,0.8392667349
44,0.8715729559
45,0.866917088
46,0.8385238414
47,0.8572405572
48,0.8412177677
49,0.7944387522
50,0.8321806709
51,0.857141515
52,0.8625309635
53,0.8891410932
54,0.8498345373
55,0.8813612301
56,0.8527548473
57,0.8872036226
58,0.8800740896
59,0.874173217
60,0.822594547
61,0.8555200174
62,0.8615845842
63,0.8980518736
64,0.8779155479
65,0.8570243337
66,0.874327184
67,0.7966084694
68,0.8619354835
69,0.8173816137
70,0.8228652235
71,0.8733850994
72,0.8514056946
73,0.8592336384
74,0.8424391652
75,0.8668113511
76,0.8525214987
77,0.8651459323
78,0.859330131
79,0.8600967329
80,0.8244914614
81,0.8707258753
82,0.8490255088
83,0.8455933251
84,0.8512604083
85,0.8690129338
86,0.8793225151
87,0.8579850158
88,0.81631681
89,0.8527381411
90,0.8797188669
91,0.8586592313
92,0.8608560852
93,0.8576636695
94,0.8531717257
95,0.7991731163
96,0.8738153123
97,0.8611830221
98,0.8571688536
99,0.8093949894
100,0.8952200028
101,0.8909031198
102,0.8625887332
103,0.8466626272
104,0.858157861
105,0.8665400291
106,0.8762921299
107,0.779368894
108,0.849901095
109,0.8494476923
110,0.8518490088
111,0.8539275881
112,0.8710852422
113,0.808970922
114,0.8083154728
115,0.8344402074
116,0.8753752128
117,0.8776043052
118,0.8812512347
119,0.8664322848
120,0.8664584602
121,0.8768471285
122,0.8227788841
123,0.8730307331
124,0.8483796943
125,0.8692931585
126,0.7932695453
127,0.8609654743
128,0.8558409821
129,0.883699368
130,0.8360420959
131,0.8565111913
132,0.8092502339
133,0.8805037943
134,0.8144446341
135,0.8755036344
136,0.7828171106
137,0.8242963311
138,0.8900226994
139,0.8767264027
140,0.8201849272
141,0.8287230523
142,0.8889861364
143,0.8693866294
144,0.8698014411
145,0.857194536
146,0.8060807504
147,0.8691476602
148,0.8392861386
149,0.8311005926
150,0.8554329211
151,0.8878845884
152,0.8255810247
153,0.844069978
154,0.8845479316
155,0.8272003366
156,0.8490047971
157,0.8345553657
158,0.8831788499
159,0.8421926509
160,0.8279633088
161,0.8328695059
162,0.8220908138
163,0.865069191
164,0.8468953137
165,0.8885633804
166,0.8469297786
167,0.868627
168,0.8744441101
169,0.8646854138
170,0.8804217129
171,0.8289137772
172,0.8630281231
173,0.8720723451
174,0.8654597056
175,0.8356342611
176,0.8706524533
177,0.8153784444
178,0.8603321725
179,0.8486120053
180,0.8611428516
181,0.8678575565
182,0.8843309445
183,0.8655781842
184,0.8593267862
185,0.8645183629
186,0.8539060589
187,0.864236327
188,0.7957060349
189,0.8623874762
190,0.8821742509
191,0.897437491
192,0.8803623762
193,0.8463733047
194,0.8576697846
195,0.8376070051
196,0.8662010837
197,0.8822408597
198,0.8945023392
199,0.8823383481
200,0.8644055932
201,0.841369965
202,0.8543051896
203,0.8495375813
204,0.8634308012
205,0.8620586692
206,0.8793550143
207,0.8207706689
208,0.8516636396
209,0.8814787991
210,0.8329272879
211,0.8237610343
212,0.846943804
213,0.8069401532
214,0.8409066388
215,0.8171448832
216,0.8684257158
217,0.8387078474
218,0.8286415661
219,0.8475642934
220,0.8566353457
221,0.8420980629
222,0.8371005122
223,0.8455370713
224,0.8810955601
225,0.8482777215
226,0.8460503753
227,0.8501627218
228,0.844738597
229,0.8329891737
230,0.8162985831
231,0.8282553158
232,0.8582392832
233,0.885177523
234,0.8420110672
235,0.8440041672
236,0.8812003982
237,0.8333521991
238,0.8709427985
239,0.8338839286
240,0.8288763584
241,0.8306164525
242,0.8086965826
243,0.8617804766
244,0.8601499094
245,0.834665331
246,0.8667399136
247,0.850676642
248,0.8757604007
249,0.8645924597
250,0.8732800246
251,0.8581167689
252,0.8379727359
253,0.8666275938
254,0.8841399233
255,0.8334032285
256,0.8106619488
257,0.8380462225
258,0.780321722
259,0.8596325498
260,0.8649291502
261,0.8934955542
262,0.8442928915
263,0.8794223219
264,0.8126624905
265,0.8790702635
266,0.8884162782
267,0.8877212814
268,0.8716454972
269,0.8372209864
270,0.8595692029
271,0.8581232428
272,0.8622317685
273,0.8476274379
274,0.8228991998
275,0.8232372633
276,0.8705281327
277,0.8716960227
278,0.8550503628
279,0.8708904585
280,0.8006979284
281,0.8526852611
282,0.870802828
283,0.8473011363
284,0.839604744
285,0.8602024454
286,0.8450267191
287,0.8213357021
288,0.8528716252
289,0.8445745556
290,0.8976302378
291,0.8847882849
292,0.8756024261
293,0.8477811358
294,0.8502900862
295,0.8740921515
296,0.8843901599
297,0.8644521574
298,0.8108707828
299,0.8897396324
