scenario_id,level,valence,markedness
politeness-apology-003,negative,-30.66887099,-88.80323664
politeness-apology-003,neutral,12.40662206,41.27247419
politeness-apology-003,positive,18.26224893,47.53076245
politeness-apology-013,negative,-14.03525164,-29.9978507
politeness-apology-013,neutral,2.740545742,1.163487915
politeness-apology-013,positive,11.29470589,28.83436279
politeness-apology-043,negative,-17.90253678,-39.14819609
politeness-apology-043,neutral,7.863240586,18.50451694
politeness-apology-043,positive,10.03929619,20.64367915
politeness-apology-057,negative,-1.932679912,11.69606671
politeness-apology-057,neutral,-1.401654877,-12.7857017
politeness-apology-057,positive,3.334334789,1.089634993
politeness-apology-065,negative,-7.404907319,-7.877162709
politeness-apology-065,neutral,12.84797029,31.99188695
politeness-apology-065,positive,-5.443062974,-24.11472424
politeness-apology-067,negative,-13.37541688,-35.19138495
politeness-apology-067,neutral,4.052336257,17.8809773
politeness-apology-067,positive,9.323080627,17.31040764
politeness-apology-081,negative,-19.13418075,-39.46791641
politeness-apology-081,neutral,12.36853876,33.05795702
politeness-apology-081,positive,6.76564199,6.409959388
politeness-apology-098,negative,-7.743211773,-12.99474675
politeness-apology-098,neutral,4.11813381,7.739931857
politeness-apology-098,positive,3.625077964,5.254814896
politeness-bad-news-delivery-020,negative,-5.738881018,-7.344637093
politeness-bad-news-delivery-020,neutral,5.420247729,13.923017
politeness-bad-news-delivery-020,positive,0.3186332892,-6.578379906
politeness-bad-news-delivery-028,negative,-20.7120101,-52.2551705
politeness-bad-news-delivery-028,neutral,19.80007776,62.163037
politeness-bad-news-delivery-028,positive,0.91193234,-9.907866504
politeness-bad-news-delivery-066,negative,-13.06954899,-22.94757809
politeness-bad-news-delivery-066,neutral,9.47973131,23.55910726
politeness-bad-news-delivery-066,positive,3.589817684,-0.6115291682
politeness-bad-news-delivery-073,negative,-5.580698647,2.123606519
politeness-bad-news-delivery-073,neutral,1.226918234,-3.918148839
politeness-bad-news-delivery-073,positive,4.353780413,1.79454232
politeness-complaint-030,negative,-22.06545568,-58.07656593
politeness-complaint-030,neutral,6.974379633,37.88178325
politeness-complaint-030,positive,15.09107605,20.19478267
politeness-complaint-032,negative,-12.19578577,-20.21361236
politeness-complaint-032,neutral,11.13189032,28.43886421
politeness-complaint-032,positive,1.063895452,-8.225251847
politeness-complaint-040,negative,-5.920673007,5.007603457
politeness-complaint-040,neutral,10.11559187,24.3201053
politeness-complaint-040,positive,-4.194918868,-29.32770876
politeness-complaint-049,negative,-5.353087294,2.215054391
politeness-complaint-049,neutral,0.08077089005,-0.5520071241
politeness-complaint-049,positive,5.272316404,-1.663047267
politeness-complaint-063,negative,2.414301325,28.06237454
politeness-complaint-063,neutral,2.118927271,1.370286073
politeness-complaint-063,positive,-4.533228596,-29.43266061
politeness-complaint-072,negative,2.737637316,28.99530195
politeness-complaint-072,neutral,3.173878786,5.609196041
politeness-complaint-072,positive,-5.911516102,-34.604498
politeness-complaint-089,negative,-3.302079464,12.96031265
politeness-complaint-089,neutral,4.845185828,7.944301022
politeness-complaint-089,positive,-1.543106363,-20.90461368
politeness-correction-002,negative,-8.440931309,-19.20004455
politeness-correction-002,neutral,2.658611994,8.543313636
politeness-correction-002,positive,5.782319315,10.65673092
politeness-correction-005,negative,0.3606324637,19.69102851
politeness-correction-005,neutral,-3.729148766,-14.49296561
politeness-correction-005,positive,3.368516302,-5.198062905
politeness-correction-007,negative,-2.482419702,0.7301171902
politeness-correction-007,neutral,-3.148060259,-11.66103933
politeness-correction-007,positive,5.630479962,10.93092214
politeness-correction-024,negative,-9.272722045,-15.41938524
politeness-correction-024,neutral,-1.560282856,-3.129254592
politeness-correction-024,positive,10.8330049,18.54863983
politeness-correction-027,negative,-2.283064692,6.400393945
politeness-correction-027,neutral,0.830777197,0.6587558637
politeness-correction-027,positive,1.452287495,-7.059149809
politeness-correction-045,negative,-2.456196747,10.13792329
politeness-correction-045,neutral,-0.3847625238,-4.614512767
politeness-correction-045,positive,2.840959271,-5.523410524
politeness-correction-051,negative,8.096327681,44.78931912
politeness-correction-051,neutral,-4.48243862,-14.89503521
politeness-correction-051,positive,-3.61388906,-29.89428391
politeness-correction-076,negative,-0.2249604663,11.97960749
politeness-correction-076,neutral,4.2492788,18.26803722
politeness-correction-076,positive,-4.024318333,-30.24764472
politeness-correction-087,negative,-8.148846256,-11.25498307
politeness-correction-087,neutral,2.151777573,4.330834839
politeness-correction-087,positive,5.997068682,6.924148235
politeness-criticism-or-feedback-023,negative,2.544496474,21.8220087
politeness-criticism-or-feedback-023,neutral,-3.75459026,-21.69362859
politeness-criticism-or-feedback-023,positive,1.210093787,-0.1283801145
politeness-criticism-or-feedback-036,negative,-5.807581056,-3.607406815
politeness-criticism-or-feedback-036,neutral,4.143143185,6.787600715
politeness-criticism-or-feedback-036,positive,1.664437871,-3.180193901
politeness-criticism-or-feedback-041,negative,-1.588011915,7.07565362
politeness-criticism-or-feedback-041,neutral,3.75105192,8.286508141
politeness-criticism-or-feedback-041,positive,-2.163040005,-15.36216176
politeness-criticism-or-feedback-050,negative,-11.9951253,-22.63134163
politeness-criticism-or-feedback-050,neutral,4.883378306,13.83158567
politeness-criticism-or-feedback-050,positive,7.111746991,8.799755959
politeness-criticism-or-feedback-054,negative,-0.3202704918,10.31269579
politeness-criticism-or-feedback-054,neutral,6.275082752,18.6422465
politeness-criticism-or-feedback-054,positive,-5.95481226,-28.9549423
