scenario_id,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
politeness-apology-003,157.0065237,0.4432519241,0.4320942104,0.09882743328,0.1976548666,118.4412277,3.039482172,0.4762570452
politeness-apology-013,68.17581909,0.1906027658,0.02734400387,0.1886311739,0.3772623479,138.5615165,2.598123989,0.7496667213
politeness-apology-043,72.6951871,0.4725627528,0.427403033,0.201599114,0.403198228,97.54006213,3.69079117,0.1312193944
politeness-apology-057,22.8959585,1.120535051,0.5990510221,0.9469618121,1.893923624,43.27987796,8.317953215,-0.7280135693
politeness-apology-065,22.07438975,2.47952986,-1.403241024,2.044256089,4.088512177,19.11619151,18.83220305,-0.9448564043
politeness-apology-067,65.28574574,0.4661883372,0.3655248493,0.2893495296,0.5786990592,96.44158816,3.732829445,0.1121902296
politeness-apology-081,57.3754915,0.9732820384,0.9131206306,0.3368807506,0.6737615013,25.78690599,13.96057364,-0.9004182128
politeness-apology-098,27.13286699,0.6059636831,0.4684362355,0.3843949512,0.7687899024,73.0449048,4.928475176,-0.291622124
politeness-bad-news-delivery-020,17.24983231,1.448074319,0.3939462111,1.39345815,2.7869163,37.03371496,9.720871924,-0.7982812415
politeness-bad-news-delivery-028,52.9358044,1.95884665,1.807694471,0.7545335644,1.509067129,11.87885036,30.30596305,-0.9785850348
politeness-bad-news-delivery-066,31.86363739,1.241715144,1.070458814,0.6292649898,1.25852998,25.9707737,13.86173566,-0.8990175404
politeness-bad-news-delivery-073,19.3169761,0.93054561,0.1447370686,0.9192204922,1.838440984,56.17630578,6.408395765,-0.5566392151
politeness-complaint-030,94.05176401,0.6357041802,0.5575886124,0.3053108973,0.6106217945,63.21552565,5.694803552,-0.4506356568
politeness-complaint-032,22.75288086,2.12060671,1.508732894,1.490200614,2.980401228,19.33522552,18.6188674,-0.9435975726
politeness-complaint-040,38.58165605,1.06841981,-0.841585226,0.6582212375,1.316442475,36.43892465,9.879545114,-0.8044904646
politeness-complaint-049,19.03975195,0.7367375952,-0.1078313779,0.7288035937,1.457607187,68.11319066,5.28531987,-0.3727741658
politeness-complaint-063,61.13760692,0.2149625595,-0.01286319458,0.2145773525,0.429154705,133.5231439,2.696161799,0.6886475256
politeness-complaint-072,68.02200794,0.2412948349,-0.08262580542,0.2267072421,0.4534144842,130.2286396,2.764368891,0.6458393946
politeness-complaint-089,37.54458684,0.4483597704,-0.2340520784,0.3824213754,0.7648427507,97.29767221,3.699985743,0.1270243102
politeness-correction-002,35.16102208,0.4524449394,0.3751645193,0.2528992025,0.505798405,100.1538709,3.59446916,0.1762923017
politeness-correction-005,29.47165303,0.9347371447,0.7197135425,0.5964444202,1.19288884,43.71880148,8.234443485,-0.7227403955
politeness-correction-007,16.62079,1.520719141,-1.007656829,1.138953212,2.277906424,28.90732725,12.45358994,-0.8754027154
