scenario_id,level,valence,markedness
politeness-apology-003,negative,-31.60022388,-89.45204777
politeness-apology-003,neutral,12.87976622,41.60175949
politeness-apology-003,positive,18.72045766,47.85028828
politeness-apology-013,negative,-14.31898364,-30.20107376
politeness-apology-013,neutral,2.986846752,1.599376232
politeness-apology-013,positive,11.33213688,28.60169753
politeness-apology-043,negative,-18.27861923,-39.41041817
politeness-apology-043,neutral,8.147907689,18.78750955
politeness-apology-043,positive,10.13071154,20.62290862
politeness-apology-057,negative,-1.94403183,11.50552771
politeness-apology-057,neutral,-1.540646553,-12.83306324
politeness-apology-057,positive,3.484678382,1.327535539
politeness-apology-065,negative,-7.621279108,-8.368844779
politeness-apology-065,neutral,13.21337623,32.23031489
politeness-apology-065,positive,-5.592097127,-23.86147011
politeness-apology-067,negative,-13.84591919,-35.57123339
politeness-apology-067,neutral,4.158457243,17.81201521
politeness-apology-067,positive,9.687461944,17.75921817
politeness-apology-081,negative,-19.51450859,-39.97607775
politeness-apology-081,neutral,12.67314139,33.36654526
politeness-apology-081,positive,6.841367195,6.609532488
politeness-apology-098,negative,-7.888894784,-13.12002138
politeness-apology-098,neutral,4.29807355,7.988612627
politeness-apology-098,positive,3.590821235,5.131408756
politeness-bad-news-delivery-020,negative,-5.672115906,-7.219212343
politeness-bad-news-delivery-020,neutral,5.484709353,13.85807871
politeness-bad-news-delivery-020,positive,0.187406553,-6.638866365
politeness-bad-news-delivery-028,negative,-21.17351318,-52.67346754
politeness-bad-news-delivery-028,neutral,20.5284299,62.89395572
politeness-bad-news-delivery-028,positive,0.6450832767,-10.22048819
politeness-bad-news-delivery-066,negative,-13.4314076,-23.06644225
politeness-bad-news-delivery-066,neutral,9.708010829,23.5323923
politeness-bad-news-delivery-066,positive,3.723396776,-0.4659500503
politeness-bad-news-delivery-073,negative,-5.782004091,1.884919196
politeness-bad-news-delivery-073,neutral,1.315570029,-3.932326243
politeness-bad-news-delivery-073,positive,4.466434062,2.047407048
politeness-complaint-030,negative,-22.43616075,-58.06302368
politeness-complaint-030,neutral,6.907792125,37.29485683
politeness-complaint-030,positive,15.52836863,20.76816686
politeness-complaint-032,negative,-12.50797974,-20.35793215
politeness-complaint-032,neutral,11.53492506,28.6321183
politeness-complaint-032,positive,0.9730546806,-8.274186158
politeness-complaint-040,negative,-6.098216687,4.815370173
politeness-complaint-040,neutral,10.39281808,24.29587599
politeness-complaint-040,positive,-4.294601397,-29.11124616
politeness-complaint-049,negative,-5.410133796,2.12140438
politeness-complaint-049,neutral,0.2649059435,-0.2832775221
politeness-complaint-049,positive,5.145227852,-1.838126858
politeness-complaint-063,negative,2.563227035,27.94534191
politeness-complaint-063,neutral,2.205655112,1.394740342
politeness-complaint-063,positive,-4.768882148,-29.34008225
politeness-complaint-072,negative,2.908266305,29.1053808
politeness-complaint-072,neutral,3.117701853,5.070478334
politeness-complaint-072,positive,-6.025968158,-34.17585914
politeness-complaint-089,negative,-3.418092121,12.7504995
politeness-complaint-089,neutral,5.054759159,8.070619358
politeness-complaint-089,positive,-1.636667038,-20.82111886
politeness-correction-002,negative,-8.534021933,-19.22475065
politeness-correction-002,neutral,2.819013824,8.904268905
politeness-correction-002,positive,5.71500811,10.32048174
politeness-correction-005,negative,0.4355980997,20.03824226
politeness-correction-005,neutral,-3.793388751,-14.67948159
politeness-correction-005,positive,3.357790651,-5.358760668
politeness-correction-007,negative,-2.546993843,0.8263532508
politeness-correction-007,neutral,-3.391914937,-12.02682218
politeness-correction-007,positive,5.93890878,11.20046893
politeness-correction-024,negative,-9.464610316,-15.39446318
politeness-correction-024,neutral,-1.653044344,-3.399349528
politeness-correction-024,positive,11.11765466,18.7938127
politeness-correction-027,negative,-2.20590827,6.580700607
politeness-correction-027,neutral,0.9145713492,0.796414785
politeness-correction-027,positive,1.291336921,-7.377115392
politeness-correction-045,negative,-2.400250226,10.45141129
politeness-correction-045,neutral,-0.487499154,-5.007114021
politeness-correction-045,positive,2.88774938,-5.444297271
politeness-correction-051,negative,8.331926342,45.3882893
politeness-correction-051,neutral,-4.913716963,-16.01870968
politeness-correction-051,positive,-3.418209379,-29.36957962
politeness-correction-076,negative,-0.1453502413,12.20574097
politeness-correction-076,neutral,4.409861067,18.24895244
politeness-correction-076,positive,-4.264510825,-30.4546934
politeness-correction-087,negative,-8.323917761,-11.34935164
politeness-correction-087,neutral,2.201914422,4.428635264
politeness-correction-087,positive,6.122003339,6.920716372
politeness-criticism-or-feedback-023,negative,2.740240892,21.85622211
politeness-criticism-or-feedback-023,neutral,-3.866194339,-21.64245368
politeness-criticism-or-feedback-023,positive,1.125953446,-0.2137684288
politeness-criticism-or-feedback-036,negative,-5.687102207,-3.27569319
politeness-criticism-or-feedback-036,neutral,4.125793933,6.704899515
politeness-criticism-or-feedback-036,positive,1.561308274,-3.429206325
politeness-criticism-or-feedback-041,negative,-1.462260305,7.301401396
politeness-criticism-or-feedback-041,neutral,3.754810274,8.099622578
politeness-criticism-or-feedback-041,positive,-2.292549968,-15.40102397
politeness-criticism-or-feedback-050,negative,-12.17779312,-22.48542742
politeness-criticism-or-feedback-050,neutral,4.896477981,13.55354734
politeness-criticism-or-feedback-050,positive,7.281315141,8.931880072
politeness-criticism-or-feedback-054,negative,-0.1797259546,10.65453569
politeness-criticism-or-feedback-054,neutral,6.085817342,17.9213473
politeness-criticism-or-feedback-054,positive,-5.906091387,-28.575883
politeness-criticism-or-feedback-071,negative,-7.377609026,-12.03712677
politeness-criticism-or-feedback-071,neutral,4.784002098,11.59715117
politeness-criticism-or-feedback-071,positive,2.593606927,0.4399756028
politeness-criticism-or-feedback-099,negative,10.59197532,48.91927471
politeness-criticism-or-feedback-099,neutral,-9.887049949,-34.09805083
politeness-criticism-or-feedback-099,positive,-0.704925367,-14.82122388
politeness-criticism-or-feedback-100,negative,-7.675399594,-13.36970315
politeness-criticism-or-feedback-100,neutral,9.178709136,26.53352438
politeness-criticism-or-feedback-100,positive,-1.503309542,-13.16382123
politeness-disagreement-012,negative,-0.298530293,23.39258015
politeness-disagreement-012,neutral,-2.021988224,-14.90345001
politeness-disagreement-012,positive,2.320518517,-8.489130132
politeness-disagreement-035,negative,-12.09757142,-8.68560891
politeness-disagreement-035,neutral,9.169399504,18.72671339
politeness-disagreement-035,positive,2.928171921,-10.04110448
politeness-disagreement-047,negative,-5.391967543,-5.746203843
politeness-disagreement-047,neutral,0.7173855359,2.127360906
politeness-disagreement-047,positive,4.674582007,3.618842937
politeness-disagreement-048,negative,-5.995216545,-1.090092528
politeness-disagreement-048,neutral,4.297984955,9.348822304
politeness-disagreement-048,positive,1.69723159,-8.258729776
politeness-disagreement-075,negative,-11.29042445,-21.88531806
politeness-disagreement-075,neutral,3.686554879,16.89518235
politeness-disagreement-075,positive,7.603869575,4.99013571
politeness-disagreement-086,negative,-11.32034826,-14.63086075
politeness-disagreement-086,neutral,3.213114297,0.6918993047
politeness-disagreement-086,positive,8.107233965,13.93896145
politeness-inquiry-sensitive-008,negative,-16.89605943,-44.54721937
politeness-inquiry-sensitive-008,neutral,3.367112387,6.727600471
politeness-inquiry-sensitive-008,positive,13.52894705,37.8196189
politeness-inquiry-sensitive-009,negative,-4.009101871,7.354463685
politeness-inquiry-sensitive-009,neutral,1.29960261,-3.462450164
politeness-inquiry-sensitive-009,positive,2.709499261,-3.892013521
politeness-inquiry-sensitive-016,negative,0.1322618193,16.38985127
politeness-inquiry-sensitive-016,neutral,6.654293651,17.9412076
