split,cosine
0,0.4984377559
1,0.5309655153
2,0.6132716159
3,0.8097595259
4,-0.1371201642
5,0.7367798814
6,0.769705693
7,0.7488598387
8,0.569118562
9,0.9064583364
10,0.3202991084
11,0.9158792854
12,0.6479424426
13,0.6465847674
14,0.914243602
15,-0.05336754801
16,0.7560822123
17,0.8464522605
18,0.3997723237
19,0.3767059808
20,0.7298819389
21,0.04577455655
22,0.2138648993
23,0.8716401117
24,0.7120023765
25,0.9027787996
26,-0.04657421085
27,0.8417019375
28,0.8027361271
29,0.5340875991
30,0.816813561
31,-0.3806250055
32,0.2848013336
33,0.8974953181
34,0.6464352589
35,0.7404320097
36,0.8993315717
37,0.623416121
38,0.8639295658
39,0.2673304458
40,0.9060146633
41,0.9113924435
42,0.9307191498
43,0.7377827043
44,0.4503330447
45,0.2481924164
46,0.3636459573
47,0.3930227039
48,0.5013975616
49,0.1550809649
50,-0.06831670076
51,0.2426092051
52,0.8347152429
53,-0.147834907
54,0.8794165896
55,0.3746568649
56,0.1524848663
57,0.4018541562
58,0.8280783379
59,-0.1348799432
60,0.6424073418
61,0.5553773209
62,0.6387190467
63,0.5989743428
64,0.8612707189
65,-0.09440930079
66,0.9045790638
67,0.7148533042
68,0.8783440142
69,0.1048533415
70,0.6770325541
71,0.8881283439
72,0.3766351402
73,0.06816897371
74,0.6523028975
75,0.7178685644
76,0.2466862581
77,0.848062007
78,0.9035497646
79,0.8732281709
80,0.525768009
81,0.9076398537
82,0.2451033107
83,0.7108273211
84,0.8798335631
85,0.158548614
86,0.7704601522
87,0.9138865697
88,0.8778076354
89,0.7405895561
90,0.7654058847
91,0.567077246
92,0.8814099888
93,0.421042763
94,-0.04315109918
95,0.8912628487
96,0.471323756
97,0.590106854
98,0.654448774
99,0.9254100285
100,0.2910318724
101,0.8344377844
102,0.8801812436
103,0.359197743
104,0.7002390418
105,0.5580473267
106,0.4314479844
107,0.2889589529
108,0.5473653636
109,0.3210044809
110,0.9168012284
111,0.8330013976
112,0.8667320623
113,0.609673134
114,0.4175902229
115,0.8543055022
116,-0.1427840313
117,0.5033028113
118,0.8813769182
119,0.6254783925
120,0.5780185343
121,0.8832062993
122,0.03098924365
123,0.7731548269
124,0.752054868
125,0.8277676743
126,0.776218411
127,0.8128721894
128,0.8973087061
129,0.9206691831
130,0.9109756862
131,0.3128201631
132,0.9245736143
133,0.9048528716
134,-0.2030881027
135,0.6037687945
136,0.6404905925
137,0.9066986541
138,0.8937644991
139,0.4674929749
140,0.4771072694
141,0.9508013907
142,0.07214437763
143,0.5266224502
144,0.9224613635
145,0.1011723889
146,0.4501510211
147,0.608699994
148,0.9108110733
149,0.8733591336
150,0.100341594
151,0.6863934051
152,0.8839103748
153,0.873055272
154,0.2715384886
155,0.9021791225
156,0.3894710954
157,0.9061743305
158,0.8879588022
159,0.8843415496
160,0.7244314827
161,0.8350815307
162,0.8268692174
163,0.3324761297
164,0.8202933575
165,0.03307288897
166,0.9288126932
167,0.6806413813
168,0.9242844411
169,0.6986699221
170,0.5583864296
171,0.02014409075
172,-0.03209685194
173,0.7216366387
174,0.7421684216
175,0.6559847424
176,-0.5768825711
177,0.2587483745
178,0.4543231356
179,0.7984591146
180,-0.133494247
181,0.4424954551
182,0.9081376041
183,0.7132557385
184,0.9011681368
185,0.8227361217
186,0.7390995462
187,0.8759287257
188,0.7990770709
189,0.5357765335
190,0.554482817
191,0.6917971931
192,0.7905119634
193,0.8464245214
194,0.8481693876
195,0.8627771021
196,0.9160769227
197,-0.2421407141
198,0.07099958386
199,0.1815076712
200,0.8652088047
201,0.7109285681
202,0.937380744
203,0.7600266317
204,0.6973682837
205,0.8366504645
206,0.5445717898
207,0.9048921882
208,0.1120254693
209,0.1536223635
210,0.801047765
211,-0.01398190837
212,0.5898069021
213,0.9409279971
214,0.6054110659
215,0.7784973534
216,0.8210925929
217,0.8223011133
218,0.5899831573
219,0.4952767955
220,0.7921415707
221,0.9211289629
222,0.6352042322
223,-0.2084483321
224,0.9015772184
225,0.3878445929
226,0.8774863088
227,0.5778724379
228,0.8980913166
229,0.7314586946
230,0.1927702065
231,0.1413713104
232,0.8274744399
233,0.4676186176
234,0.771331781
235,0.3777893132
236,0.7192182355
237,0.4808751449
238,0.886822821
239,0.8672805831
240,0.5960802555
241,0.9364389292
242,0.3271470753
243,0.920159811
244,0.1338655701
245,0.8860255684
246,0.7446297703
247,-0.4186521267
248,0.8735254068
249,0.7267615595
250,0.7476293868
251,0.8621005974
252,0.8362852045
253,0.3013783603
254,0.0585955796
255,0.5590170549
256,0.6656780572
257,-0.2121116871
258,0.7284538732
259,0.7881787989
260,0.8264053935
261,0.3312031814
262,0.7896102751
263,0.9301733474
264,0.9164969467
265,0.4605326871
266,0.7812191142
267,0.8733343337
268,0.2674423025
269,0.7008678136
270,0.9239243452
271,0.8955489521
272,0.3351559594
273,0.3420684066
274,0.8703573777
275,0.8636454446
276,0.7485913249
277,0.4032028113
278,0.8224926444
279,0.9256304751
280,0.7998040097
281,0.7858453538
282,0.4475019109
283,0.9131174425
284,0.4555948793
285,0.9046046196
286,0.9212398779
287,0.9062829565
288,0.9222499725
289,0.9200461128
290,0.8927638323
291,0.9282220081
292,-0.1298372726
293,0.8887053652
294,0.7522857995
295,0.9056351634
296,-0.1557270434
297,0.8664804322
298,0.4183155539
299,0.9317593136
