intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,15.13259701,0.6768081465,0.4233919625,0.5280232128,1.056046426,68.4929184,5.256017825,-0.3666162209
bad-news-delivery,4,19.12254697,0.7577113836,0.4912363792,0.5768997838,1.153799568,60.67089262,5.933652604,-0.4898254169
complaint,7,18.31077374,0.8168276818,0.2331231695,0.7828544243,1.565708849,61.9454591,5.811563999,-0.4703118439
correction,9,11.62238398,0.9276541558,0.3069254817,0.8754078944,1.750815789,55.10663834,6.53278826,-0.5720508461
criticism-or-feedback,8,12.01654563,0.7872636535,0.3180613004,0.720153504,1.440307008,62.82043117,5.730619693,-0.45678074
disagreement,6,13.33318399,0.6411519838,0.157088807,0.6216099847,1.243219969,75.47265131,4.769939756,-0.2508420962
inquiry-sensitive,4,10.76264772,0.8680720958,0.139475044,0.8567939517,1.713587903,59.55668161,6.044661829,-0.5066857216
refusal,8,13.15325532,0.7220697745,0.2293307558,0.6846839882,1.369367976,68.3783592,5.264823611,-0.368475706
reminder,6,15.52048275,1.037991772,0.3793960592,0.9661705587,1.932341117,49.42330341,7.284013313,-0.6504653517
request,12,11.67940894,0.6244641632,0.3254004631,0.532982204,1.065964408,75.28690276,4.781708196,-0.2539790457
ALL,72,9.420911278,0.8249266614,0.4242608179,0.7074650204,1.414930041,58.67880575,6.135094186,-0.5198351487
