scenario_id,theta1_deg,theta2_deg,overlap
politeness-apology-003,64.59668005,80.98237797,0.104298564
politeness-apology-013,51.98484291,82.7705398,0.1975661492
politeness-apology-043,54.76710216,65.41603214,0.2529465818
politeness-apology-057,52.40241937,86.12717455,0.1883991156
politeness-apology-065,53.03118415,64.38185247,0.2743016109
politeness-apology-067,59.67357253,76.08555885,0.1563885955
politeness-apology-081,54.76139935,74.16532215,0.2036815113
politeness-apology-098,63.79905713,83.79368672,0.103313995
politeness-bad-news-delivery-020,61.09959549,74.60260017,0.1520323261
politeness-bad-news-delivery-028,45.98457362,72.36837117,0.2872826687
politeness-bad-news-delivery-066,46.057052,77.99933669,0.2623935641
politeness-bad-news-delivery-073,52.624021,83.27372759,0.1911097045
politeness-complaint-030,39.45320947,67.30990084,0.3725032348
politeness-complaint-032,46.53062903,73.92439228,0.2749874517
politeness-complaint-040,41.46658208,74.20342337,0.3178093818
politeness-complaint-049,52.62758083,63.68530759,0.282478384
politeness-complaint-063,55.79924535,74.14404735,0.1952995087
politeness-complaint-072,42.80495373,61.49316852,0.3830268979
politeness-complaint-089,48.910971,54.60813349,0.3836925667
politeness-correction-002,56.05801443,62.91048245,0.2595655349
politeness-correction-005,46.59150861,68.41031776,0.3038148289
politeness-correction-007,68.82945852,76.21794897,0.09358949741
politeness-correction-024,54.99166522,78.53004535,0.1843347814
politeness-correction-027,52.64163804,86.80285216,0.1856573729
politeness-correction-045,48.13646723,73.79335241,0.261632916
politeness-correction-051,58.51764202,85.98663457,0.1388144633
politeness-correction-076,50.55293239,76.20432337,0.2302760257
politeness-correction-087,60.93715226,65.67593512,0.2028152339
politeness-criticism-or-feedback-023,67.79946099,79.12082654,0.08919623122
politeness-criticism-or-feedback-036,49.55895507,89.71824464,0.2103954121
politeness-criticism-or-feedback-041,70.42224653,83.96596767,0.06166625524
politeness-criticism-or-feedback-050,48.91022239,79.49674067,0.2325978152
politeness-criticism-or-feedback-054,51.96783066,87.91207951,0.1904556383
politeness-criticism-or-feedback-071,57.21514902,67.70365737,0.2185745941
politeness-criticism-or-feedback-099,53.37794316,71.79740116,0.2267163489
politeness-criticism-or-feedback-100,71.87244354,82.20278624,0.05760486226
politeness-disagreement-012,51.29631729,75.48017296,0.2269245629
politeness-disagreement-035,58.95274839,71.06177478,0.1856622255
politeness-disagreement-047,52.84484692,80.77053268,0.195255473
politeness-disagreement-048,47.91865429,74.31676638,0.2611100812
politeness-disagreement-075,76.81340404,81.63050067,0.03661340453
politeness-disagreement-086,73.79507757,85.22508061,0.04240562347
politeness-inquiry-sensitive-008,56.94544663,68.35856663,0.2167564814
politeness-inquiry-sensitive-009,51.15162213,55.12910107,0.3601657328
politeness-inquiry-sensitive-016,66.55606845,74.22679846,0.116088713
politeness-inquiry-sensitive-092,66.91988202,79.04478807,0.09489692523
politeness-refusal-038,55.49844775,83.45063752,0.1669254062
politeness-refusal-058,51.69304095,61.53182259,0.3057295245
politeness-refusal-064,49.12331451,72.40664337,0.2598217636
politeness-refusal-069,53.43348963,84.85596211,0.1814817644
politeness-refusal-077,44.32974011,63.8692776,0.3528337554
politeness-refusal-080,50.6444358,80.80381409,0.2138315734
politeness-refusal-083,56.50354481,68.28576619,0.2207304436
politeness-refusal-090,57.00228253,73.327045,0.1894558499
politeness-reminder-017,49.05608523,68.26195925,0.2833067024
politeness-reminder-018,45.96647352,62.09103802,0.351111374
politeness-reminder-019,51.29431206,59.53068535,0.3240760906
politeness-reminder-021,60.1810183,76.56651034,0.150619927
politeness-reminder-079,47.89102844,75.68681734,0.255373166
politeness-reminder-094,54.11439458,82.1108745,0.1812166283
politeness-request-001,47.8491186,59.9564698,0.3505068397
politeness-request-006,56.35615753,88.85248871,0.15367445
politeness-request-025,62.82675142,76.67305751,0.1308463181
politeness-request-029,51.01531695,80.68204143,0.2109992708
politeness-request-031,55.57697954,81.38636609,0.1709968019
politeness-request-037,58.26510454,85.88304885,0.1409096834
politeness-request-053,63.96067818,78.31020637,0.1168811653
politeness-request-056,68.4920173,81.53939872,0.07803260548
politeness-request-061,47.11897019,76.74042232,0.2578290689
politeness-request-074,59.71712347,73.67626812,0.1666424499
politeness-request-093,60.99226864,63.42918579,0.2176176422
politeness-request-097,55.47329591,64.74794574,0.2516198885
