scenario_id,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
politeness-apology-003,19.79064311,0.7855544713,0.1501086857,0.77107925,1.5421585,64.54178964,5.577781497,-0.4298526667
politeness-apology-013,26.37011487,0.6572039024,0.3142499143,0.5772035695,1.154407139,72.50673732,4.965055846,-0.3005936514
politeness-apology-043,28.41910033,0.7618581963,-0.04435521902,0.7605659247,1.521131849,66.51746073,5.41211279,-0.3984695789
politeness-apology-057,25.91518524,0.6353414193,0.3410531669,0.5360424018,1.072084804,74.0048363,4.86454694,-0.2755562154
politeness-apology-065,22.80952802,0.814038601,-0.06597286236,0.8113608479,1.622721696,63.04207118,5.710472281,-0.4533361285
politeness-apology-067,24.75668978,0.7422038579,-0.1019289637,0.7351714447,1.470342889,67.743325,5.31417671,-0.3787564409
politeness-apology-081,24.23587944,0.7589657672,0.2950211477,0.6992793134,1.398558627,65.00338288,5.538173308,-0.4225647504
politeness-apology-098,20.12022174,0.6995278174,0.3396552724,0.6115336975,1.223067395,68.62585375,5.245836377,-0.364456624
politeness-bad-news-delivery-020,20.84164627,0.7449364993,0.2160882542,0.7129069044,1.425813809,66.8422384,5.385816044,-0.3932642168
politeness-bad-news-delivery-028,35.19483057,0.6688180063,0.3597117963,0.5638483387,1.127696677,70.71261466,5.091029397,-0.3303065905
politeness-bad-news-delivery-066,24.97483317,0.7248016057,0.3473825002,0.636131092,1.272262184,66.59553466,5.405767846,-0.3972194145
politeness-bad-news-delivery-073,29.9076466,0.7049769787,0.3856985974,0.5901094241,1.180218848,67.28806694,5.350131403,-0.386098172
politeness-complaint-030,30.21210383,0.9036502449,0.1451680235,0.8919136786,1.783827357,57.5744473,6.252773876,-0.536203294
politeness-complaint-032,29.38244624,0.8571688852,0.4815584263,0.7091121067,1.418224213,55.64406876,6.469692242,-0.5643322045
politeness-complaint-040,24.27974115,0.6963029977,0.3693041891,0.5902984673,1.180596935,68.30590142,5.270408449,-0.3696510553
politeness-complaint-049,28.14057866,0.8338421176,-0.01171987815,0.8337597505,1.667519501,61.89430903,5.816366733,-0.4710994972
politeness-complaint-063,30.15537598,0.552831462,0.01171690643,0.552707282,1.105414564,84.25329129,4.272830111,-0.1001309066
