sim,step_cosine,midpoint_residual
0,0.8895776265,0.1215931036
1,0.9292507732,0.1003328824
2,0.8756159516,0.1294929681
3,0.8867583285,0.1229049039
4,0.9068132867,0.1105479215
5,0.9207382888,0.1017821031
6,0.8839005667,0.1258323305
7,0.9033766825,0.1150380671
8,0.903953796,0.1126818832
9,0.9313943748,0.09425496998
10,0.8940212068,0.1183603448
11,0.9312819324,0.09432617848
12,0.8827075472,0.1283984149
13,0.9096573365,0.1100822083
14,0.8641501248,0.1355049841
15,0.9266684866,0.0978050195
16,0.8974299816,0.1162513285
17,0.9202133797,0.1020051215
18,0.9155475395,0.1050280486
19,0.8955993267,0.1173454722
20,0.9199564501,0.1023196975
21,0.894975971,0.1177566712
22,0.9259511657,0.1024410224
23,0.912853851,0.1084902751
24,0.9340002054,0.09261343629
25,0.8745442997,0.1296822211
26,0.8886259701,0.1214892936
27,0.9161533705,0.1063564319
28,0.8943885395,0.1238404129
29,0.8304981795,0.1530794531
30,0.9428039284,0.08591427241
31,0.9146962277,0.1063880703
32,0.8994473524,0.1152649391
33,0.9038007705,0.1124028731
34,0.9101517468,0.1084838583
35,0.9298888743,0.09541032263
36,0.9151583624,0.1052484612
37,0.8999062107,0.1148348952
38,0.9157796655,0.1070606173
39,0.8795748115,0.1294045757
40,0.9256677207,0.1003802076
41,0.9122706468,0.1073344073
42,0.8944774998,0.1186882676
43,0.9300356251,0.09568207775
44,0.8932645852,0.1187343592
45,0.9033852607,0.113720648
46,0.9237395056,0.09974567288
47,0.8787759567,0.1318559068
48,0.879919702,0.1266263437
49,0.9241854904,0.09931621302
50,0.885612429,0.1232027242
51,0.9015665481,0.1142428622
52,0.9007405734,0.1158086596
53,0.8989602867,0.1182838675
54,0.9091990454,0.1090730887
55,0.913036185,0.1074865311
56,0.9089343489,0.1119432151
57,0.9169960079,0.1040422555
58,0.8870589204,0.1231958984
59,0.8622628234,0.1419473135
60,0.9385980498,0.09096881608
61,0.9202543112,0.1047544591
62,0.885156562,0.123806471
63,0.9160678894,0.106036108
64,0.8788161704,0.1332740428
65,0.8741921274,0.1298261727
66,0.9076632178,0.1101594754
67,0.9108531714,0.1098314253
68,0.8792615189,0.1269669166
69,0.9027062076,0.1130775351
70,0.923408193,0.100360123
71,0.8743787404,0.1302357825
72,0.9245671677,0.09911938172
73,0.9085149385,0.1095041186
74,0.9111282335,0.1078252415
75,0.8982479998,0.1157996012
76,0.9150021829,0.1053550813
77,0.871025379,0.1313178616
78,0.8662787195,0.1338741516
79,0.916170919,0.1072584388
80,0.8776050379,0.1288164743
81,0.860518131,0.1369066968
82,0.9162743236,0.1045427338
83,0.9016118485,0.1140859443
84,0.9168145844,0.1062004011
85,0.8526857607,0.141486891
86,0.8864679288,0.1226609686
87,0.9009890438,0.1147228087
88,0.8641768259,0.1357798366
89,0.9089459301,0.1092539409
90,0.8851484578,0.1240092324
91,0.8699509354,0.1343256694
92,0.9079888918,0.1098509252
93,0.9263629083,0.09863333297
94,0.9155593666,0.1075493278
95,0.92963599,0.09620953855
96,0.8959871394,0.1174576483
97,0.8823632573,0.1251538445
98,0.9331817617,0.09350680188
99,0.875672969,0.1290474872
100,0.8930285117,0.1191972017
101,0.9159522032,0.1060801595
102,0.9066636595,0.1120265681
103,0.9166145328,0.1085182212
104,0.8941156419,0.1215385736
105,0.9174500553,0.1056839286
106,0.8789758885,0.1271676975
107,0.9192160764,0.1029374134
108,0.9077479656,0.1116000119
109,0.9176099668,0.1036854097
110,0.8634428321,0.1357152
111,0.8800828456,0.1264409992
112,0.9242944987,0.09964988261
113,0.8702638069,0.1324377717
114,0.9140266753,0.1063562259
115,0.9131913592,0.1065552919
116,0.9239802207,0.1034609316
117,0.8884892744,0.1216116766
118,0.8954299592,0.1174462114
119,0.8696831074,0.1320091656
120,0.9102675651,0.1083919018
121,0.9066244659,0.1122162303
122,0.9202446785,0.1019031214
123,0.8957470557,0.1173304995
124,0.9343950613,0.09208015541
125,0.8720288321,0.1318725285
126,0.9064422686,0.1107827955
127,0.8531896381,0.1417188986
128,0.9073845612,0.1107342291
129,0.9000749545,0.1152971566
130,0.8651110833,0.1368914251
131,0.9011630965,0.1161293512
132,0.9189722233,0.1029370872
133,0.9429353856,0.09190699399
134,0.9019108067,0.113769011
135,0.892981977,0.1190687833
136,0.9176768045,0.1060086999
137,0.9289645936,0.09654602352
138,0.9157351709,0.1049251438
139,0.9247770139,0.09947177667
140,0.8747607266,0.1297341026
141,0.9039621002,0.1128903227
142,0.9278002758,0.09677396877
143,0.9084133534,0.1095427272
144,0.909033557,0.1120771644
145,0.8875368681,0.1253527022
146,0.8709524885,0.1316597872
147,0.8764103395,0.1317115728
148,0.9252758101,0.09943750649
149,0.9171513829,0.1055641723
