draw,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
0,0.7927058719,0.4491586382,0.6531761762,1.306352352,59.91644219,6.008367434,-0.5012624437
1,0.8294257773,0.3356165333,0.7584910432,1.516982086,59.99818074,6.000181931,-0.5000274978
2,0.762968784,0.4496117859,0.6164175592,1.232835118,61.68453087,5.836147166,-0.4743259094
3,0.8781375076,0.4590548471,0.74859477,1.49718954,55.15674584,6.526853507,-0.5713333132
4,0.8816649465,0.4913228087,0.732075799,1.464151598,54.23382121,6.637924306,-0.5844788091
5,0.7961658801,0.406778265,0.6844059846,1.368811969,60.71213739,5.929621579,-0.4891977038
6,0.7256354695,0.2790086648,0.6698514758,1.339702952,67.56681561,5.328059296,-0.3816057881
7,0.8444707783,0.2811476322,0.7962957392,1.592591478,59.81743271,6.018312449,-0.5027569606
8,0.7653595794,0.4161501749,0.642335051,1.284670102,62.40205706,5.769040589,-0.4632642179
9,0.8535570473,0.4496888295,0.7254926531,1.450985306,56.58979791,6.361570695,-0.5506293844
10,0.8406706112,0.4588580311,0.7043978874,1.408795775,57.04088321,6.311262725,-0.5440404659
11,0.8797489454,0.488982514,0.7313373421,1.462674684,54.3807317,6.619991838,-0.5823963791
12,0.7994008254,0.4675094026,0.6484416998,1.2968834,59.03775991,6.097792338,-0.5144730601
13,0.8384738044,0.2420993706,0.8027616181,1.605523236,60.56180073,5.94434108,-0.4914844853
14,0.7991851637,0.3925225705,0.6961486605,1.392297321,60.8230473,5.918809003,-0.4875084856
15,0.7896007031,0.3365845494,0.714268935,1.42853787,62.39631504,5.769571484,-0.46335303
16,0.8667399017,0.4612929623,0.7337893841,1.467578768,55.66373429,6.467406554,-0.5640488199
17,0.8020757733,0.500230441,0.6269729276,1.253945855,57.89828382,6.217800878,-0.531423953
18,0.8187069634,0.3875728364,0.7211576724,1.442315345,59.76693701,6.023397183,-0.5035185996
19,0.9409490965,0.3278308607,0.8819932703,1.763986541,54.23113948,6.63825255,-0.5845167864
20,0.8486442804,0.3854130706,0.7560779588,1.512155918,58.12294379,6.193767496,-0.5280983262
21,0.7925538137,0.4115269635,0.6773382508,1.354676502,60.82643441,5.918479416,-0.4874568693
22,0.8835489861,0.3817910597,0.7968026089,1.593605218,56.33696896,6.390120141,-0.5543075102
23,0.8088187888,0.390000075,0.7085815229,1.417163046,60.29877565,5.970270476,-0.49547723
24,0.8124644945,0.3990289795,0.7077248253,1.415449651,59.90940396,6.009073304,-0.501368733
25,0.7753991176,0.363403093,0.6849686004,1.369937201,62.8517858,5.727760881,-0.4562938568
26,0.8785604251,0.3445943998,0.8081603307,1.616320661,57.14770317,6.29946577,-0.5424752132
27,0.8853787615,0.3969574477,0.7914040283,1.582808057,55.99568143,6.429067221,-0.5592553892
28,0.8447988686,0.4857858368,0.6911564578,1.382312916,56.14301079,6.412196192,-0.5571218783
29,0.7786233831,0.3053856034,0.7162359988,1.432471998,63.55433856,5.66444413,-0.4453488687
30,0.8542439534,0.4923078513,0.6981158296,1.396231659,55.50384552,6.486037078,-0.5663509228
31,0.8121721298,0.3887169183,0.713107794,1.426215588,60.12606737,5.987419696,-0.4980932836
32,0.8280662714,0.4377345904,0.7029097938,1.405819588,58.20758331,6.184761151,-0.5268433043
33,0.7678480612,0.4909637633,0.5903771915,1.180754383,60.09207252,5.990806856,-0.4986076794
34,0.733319974,0.2906123684,0.6732775323,1.346555065,66.85818215,5.384531683,-0.3930083523
35,0.8210612595,0.4015242773,0.7161842267,1.432368453,59.36495844,6.064183475,-0.5095677422
36,0.73642445,0.4290992121,0.5984938068,1.196987614,63.96783406,5.627828506,-0.4388756621
37,0.805879586,0.4753170014,0.6507808043,1.301561609,58.45886766,6.158176072,-0.5231105359
38,0.867276995,0.4928806698,0.7136091587,1.427218317,54.86580812,6.561463548,-0.5754933894
