split,cosine
0,0.8174089665
1,0.9214215413
2,0.8591313646
3,0.8750762033
4,0.9023586482
5,0.9150879539
6,0.8551267508
7,0.8312602273
8,0.8711023056
9,0.8060126368
10,0.8646579452
11,0.8678996349
12,0.8420604655
13,0.8734340337
14,0.8582488349
15,0.7785821015
16,0.8510718379
17,0.7139239431
18,0.8881593699
19,0.8489327372
20,0.8499962208
21,0.8184566891
22,0.8660357969
23,0.8858137106
24,0.7877566402
25,0.8838338792
26,0.8472477924
27,0.8789416531
28,0.8658114235
29,0.8722080529
30,0.8391241657
31,0.8854820612
32,0.8843203205
33,0.9155488514
34,0.852904304
35,0.8910984611
36,0.8415387395
37,0.8334975701
38,0.8689055998
39,0.8978453513
40,0.8799065419
41,0.7549618209
42,0.8922631451
43,0.8014843625
44,0.8636648502
45,0.8412876679
46,0.8235151034
47,0.8365693643
48,0.8683174269
49,0.8870633168
50,0.7695308876
51,0.7910972074
52,0.7781333781
53,0.8652334914
54,0.8501784461
55,0.8248535497
56,0.8774230668
57,0.8716186147
58,0.8926135962
59,0.8378675216
60,0.8856736035
61,0.8819181109
62,0.7662195218
63,0.8216250732
64,0.8700252761
65,0.8122426817
66,0.8044757172
67,0.8870545047
68,0.8905492904
69,0.874915973
70,0.8665686222
71,0.745612164
72,0.804531356
73,0.8766748897
74,0.8720533803
75,0.8210717495
76,0.7719886858
77,0.8767757292
78,0.7342335321
79,0.8377312847
80,0.8787061708
81,0.8263766179
82,0.8243218421
83,0.8724359185
84,0.8677173756
85,0.8059465705
86,0.8673411092
87,0.8868085821
88,0.8571783306
89,0.8856932383
90,0.840751654
91,0.8827815741
92,0.8549032705
93,0.8471663553
94,0.8573718512
95,0.8299000133
96,0.7969888307
97,0.8460318872
98,0.8259481786
99,0.8589545636
100,0.8741581636
101,0.8684869477
102,0.8655070481
103,0.8092969289
104,0.8825632608
105,0.8544644592
106,0.8513018109
107,0.9082873737
108,0.8560230719
109,0.866724531
110,0.8909042788
111,0.8701541958
112,0.8623837488
113,0.8252116535
114,0.8745560499
115,0.8291819638
116,0.8470648711
117,0.8297167856
118,0.8555059474
119,0.8419293739
120,0.8481749599
121,0.8367008819
122,0.8628540453
123,0.8118362993
124,0.8683764392
125,0.8488819148
126,0.842318001
127,0.8237955781
128,0.7982915002
129,0.8559805768
130,0.8467869516
131,0.9140038972
132,0.8558818696
133,0.8352567894
134,0.7987058671
135,0.7998080905
136,0.8571746601
137,0.8485140501
138,0.8388765757
139,0.8858042081
140,0.8841600323
141,0.9033674499
142,0.8762481357
143,0.8989466915
144,0.8802773107
145,0.8767265588
146,0.8653963795
147,0.7602292257
148,0.8408913728
149,0.8396275925
150,0.8373679356
151,0.8847664719
152,0.8591368038
153,0.9105047817
154,0.844446332
155,0.8823225712
156,0.876646156
157,0.8292782455
158,0.8108637508
159,0.8941567315
160,0.7868682091
161,0.8553583419
162,0.8593939236
163,0.844392134
164,0.8590414491
165,0.8610085458
166,0.8066619093
167,0.8495793221
168,0.8417959279
169,0.7628608425
170,0.8352765112
171,0.8399319092
172,0.8621944337
173,0.8667901009
174,0.8156760337
175,0.7807591333
176,0.8599323295
177,0.8499258116
178,0.8968897263
179,0.8454055261
180,0.8113579624
181,0.880757644
182,0.8953792829
183,0.8641198579
184,0.8589816062
185,0.8731318762
186,0.8673427383
187,0.7915427237
188,0.8835435468
189,0.8445292754
190,0.8168606879
191,0.811548474
192,0.8133136669
193,0.8872904571
194,0.8172900951
195,0.8816460537
196,0.8735923923
197,0.8733895793
198,0.8514568415
199,0.8886899579
200,0.8450787172
201,0.8915616078
202,0.8768962789
203,0.8600668806
204,0.892493926
205,0.825316647
206,0.8693443424
207,0.8669186244
208,0.8882282358
209,0.8885357878
210,0.798177417
211,0.8725850415
212,0.9052230063
213,0.9093084247
214,0.8720443527
215,0.8416340523
216,0.8263818681
217,0.8887662964
218,0.8776386543
219,0.8820340843
220,0.8422991209
221,0.8424023979
222,0.8679686039
223,0.89391599
224,0.8744613863
225,0.8697518701
226,0.8402555746
227,0.904925946
228,0.8563363618
229,0.8414968509
230,0.8903606175
231,0.8545714736
232,0.8342745262
233,0.8346308755
234,0.8781764356
235,0.8669669281
236,0.8455220863
237,0.8654022535
238,0.8505151679
239,0.7753644418
240,0.856925797
241,0.8248566982
242,0.9033925903
243,0.8714780931
244,0.9030449788
245,0.8131616222
246,0.8280786356
247,0.8505811743
248,0.7929423849
249,0.8713018973
250,0.8891210838
251,0.8722933578
252,0.8943570956
253,0.8884913521
254,0.8584520055
255,0.8200700988
256,0.8077401311
257,0.8887841036
258,0.8623463376
259,0.8731472536
260,0.7879506949
261,0.8656620053
262,0.8760473189
263,0.8256652036
264,0.8388035778
265,0.8442281924
266,0.8876230459
267,0.8801675002
268,0.8727396608
269,0.8972312352
270,0.8221550364
271,0.8819138605
272,0.8993200549
273,0.8656865554
274,0.8673730072
275,0.8826800752
276,0.8507475991
277,0.8543881204
278,0.786781161
279,0.8768422902
280,0.8611448879
281,0.8802399871
282,0.8022152648
283,0.8058404782
284,0.7537990233
285,0.8677631207
286,0.8783672218
287,0.8921758156
288,0.8469331428
289,0.7431426372
290,0.8239292527
291,0.8342562488
292,0.8184312189
293,0.8043491567
294,0.9109359736
295,0.8169179477
296,0.8971804719
297,0.8817154748
298,0.825710255
299,0.8424846869
