scenario_id,level,valence,markedness
politeness-apology-003,negative,-7.909385924,-2.377210994
politeness-apology-003,neutral,2.629991884,1.575468257
politeness-apology-003,positive,5.27939404,0.8017427376
politeness-apology-013,negative,-12.35786645,-12.11027043
politeness-apology-013,neutral,6.025484923,9.090723256
politeness-apology-013,positive,6.332381527,3.019547169
politeness-apology-043,negative,-14.14407188,-14.3994678
politeness-apology-043,neutral,7.27883909,11.50652737
politeness-apology-043,positive,6.865232785,2.892940426
politeness-apology-057,negative,-5.822941331,-3.129054169
politeness-apology-057,neutral,-0.2977397662,-3.296658692
politeness-apology-057,positive,6.120681097,6.425712861
politeness-apology-065,negative,-2.607341494,8.129629981
politeness-apology-065,neutral,7.448502525,8.861312512
politeness-apology-065,positive,-4.841161031,-16.99094249
politeness-apology-067,negative,-1.127136632,2.713960319
politeness-apology-067,neutral,1.603995958,7.435112205
politeness-apology-067,positive,-0.4768593261,-10.14907252
politeness-apology-081,negative,-15.06774973,-15.3094641
politeness-apology-081,neutral,10.29139202,16.63429243
politeness-apology-081,positive,4.776357711,-1.324828331
politeness-apology-098,negative,-6.610667302,-2.038049201
politeness-apology-098,neutral,5.025303782,5.03557758
politeness-apology-098,positive,1.58536352,-2.997528379
politeness-bad-news-delivery-020,negative,-6.490433208,-3.352311511
politeness-bad-news-delivery-020,neutral,5.874053625,10.65760243
politeness-bad-news-delivery-020,positive,0.6163795836,-7.305290923
politeness-bad-news-delivery-028,negative,-10.87920095,-6.249419345
politeness-bad-news-delivery-028,neutral,8.153562556,11.71434509
politeness-bad-news-delivery-028,positive,2.725638391,-5.464925746
politeness-bad-news-delivery-066,negative,-14.31051654,-14.29676668
politeness-bad-news-delivery-066,neutral,10.6115248,15.88287967
politeness-bad-news-delivery-066,positive,3.69899174,-1.586112985
politeness-bad-news-delivery-073,negative,-10.43111488,-7.664665178
politeness-bad-news-delivery-073,neutral,7.552736038,10.1040081
politeness-bad-news-delivery-073,positive,2.87837884,-2.439342924
politeness-complaint-030,negative,-18.17711017,-26.6859709
politeness-complaint-030,neutral,11.91047363,37.14155153
politeness-complaint-030,positive,6.26663654,-10.45558063
politeness-complaint-032,negative,-10.52022215,-6.068014982
politeness-complaint-032,neutral,9.078060014,14.64928357
politeness-complaint-032,positive,1.442162139,-8.581268586
politeness-complaint-040,negative,-6.341202367,3.445487168
