intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,19.72397667,0.6576161693,0.3974020733,0.523956695,1.04791339,70.80019503,5.084731756,-0.3288634322
bad-news-delivery,4,24.40191259,0.7857559222,0.4683093152,0.6309506753,1.261901351,59.78709289,6.02136653,-0.5032146305
complaint,7,25.99151061,0.7645904676,0.2190774624,0.7325323533,1.465064707,65.45051579,5.500338625,-0.4154789872
correction,9,18.27695988,0.7634217169,0.2007283686,0.73656014,1.47312028,65.68429638,5.480762067,-0.4117641404
criticism-or-feedback,8,18.15856199,0.6892431077,0.1986334042,0.6600006305,1.320001261,71.17094674,5.058243799,-0.322745676
disagreement,6,21.18262709,0.5605214928,0.1101712034,0.5495877089,1.099175418,83.33880964,4.319716127,-0.1159979803
inquiry-sensitive,4,17.42675448,0.8018796851,0.2578100679,0.7593056027,1.518611205,62.63424641,5.747654368,-0.4596690441
refusal,8,19.95285897,0.6223671074,0.1260128491,0.6094764788,1.218952958,77.30095192,4.657122468,-0.2198299966
reminder,6,22.15320131,0.9388024735,0.280901347,0.8957926756,1.791585351,54.82401501,6.566465443,-0.5760897666
request,12,17.86421229,0.6258201793,0.3122320812,0.5423670568,1.084734114,75.36292207,4.776884841,-0.2526955409
ALL,72,14.37768826,0.7248600449,0.3360542423,0.6422535566,1.284507113,66.78855601,5.390144982,-0.3941254856
