scenario_id,theta1_deg,theta2_deg,overlap
politeness-apology-003,63.02698364,80.53953391,0.1163715082
politeness-apology-013,51.95478771,84.65466926,0.1942416718
politeness-apology-043,59.22151909,68.18738942,0.199961736
politeness-apology-057,54.0310144,80.42084228,0.1863345463
politeness-apology-065,53.94293065,69.20921462,0.2362166523
politeness-apology-067,62.91225874,77.40110003,0.1274629787
politeness-apology-081,51.65713887,78.2001078,0.213335881
politeness-apology-098,64.39458122,88.12665482,0.09392022826
politeness-bad-news-delivery-020,61.10174243,78.34641368,0.1371688501
politeness-bad-news-delivery-028,51.63596892,71.84379414,0.2411567283
politeness-bad-news-delivery-066,41.898819,81.20034516,0.2887115071
politeness-bad-news-delivery-073,50.94495016,76.37157395,0.2262514812
politeness-complaint-030,43.06915467,64.1969432,0.3615710112
politeness-complaint-032,47.57092261,70.36525864,0.2840502064
politeness-complaint-040,40.83735465,72.54630058,0.3311787461
politeness-complaint-049,59.7083814,67.78609126,0.1986771189
politeness-complaint-063,54.76614808,70.63479516,0.2213908501
politeness-complaint-072,48.75396353,64.79333409,0.3080229883
politeness-complaint-089,44.01773307,58.54450304,0.3947266953
politeness-correction-002,55.35563658,63.91641173,0.258245374
politeness-correction-005,51.77353939,64.0455522,0.2872105121
politeness-correction-007,64.98256907,69.85559992,0.1487209666
politeness-correction-024,56.00812688,73.11188518,0.198478802
politeness-correction-027,52.1550431,87.64504136,0.1890518047
politeness-correction-045,46.25964197,63.31025156,0.3398830612
politeness-correction-051,64.69136607,83.00489771,0.09879133283
politeness-correction-076,57.55845969,72.05712732,0.1913364208
politeness-correction-087,55.79573409,59.05870634,0.2901834894
politeness-criticism-or-feedback-023,63.95326339,76.90559523,0.1220700833
politeness-criticism-or-feedback-036,56.51435516,80.30855477,0.166371465
politeness-criticism-or-feedback-041,67.14072575,81.12379111,0.0873583775
politeness-criticism-or-feedback-050,53.76917456,76.3840147,0.2023736875
politeness-criticism-or-feedback-054,55.2782428,77.27600569,0.1864734111
politeness-criticism-or-feedback-071,60.70332814,63.99993904,0.2158078532
politeness-criticism-or-feedback-099,54.1017157,63.24996876,0.2731965697
politeness-criticism-or-feedback-100,64.01638229,77.00715646,0.1212461187
politeness-disagreement-012,47.42994082,71.44905791,0.2794291611
politeness-disagreement-035,57.01850847,74.94521098,0.1819014145
politeness-disagreement-047,54.26073992,80.38553621,0.1845324085
politeness-disagreement-048,52.20460545,70.30294489,0.2445888973
politeness-disagreement-075,64.86577814,82.13436162,0.0995661593
politeness-disagreement-086,69.49624246,79.16438368,0.07901459452
politeness-inquiry-sensitive-008,55.8577481,71.52803082,0.207694496
politeness-inquiry-sensitive-009,55.33735018,57.36248459,0.3071688226
politeness-inquiry-sensitive-016,65.14965693,70.3297457,0.1449567858
politeness-inquiry-sensitive-092,68.62671126,83.21449411,0.07338927507
politeness-refusal-038,53.35395461,81.82702867,0.1882318331
politeness-refusal-058,50.48210208,67.09662096,0.2781809451
politeness-refusal-064,48.48168189,66.68062129,0.298042368
politeness-refusal-069,55.03871849,84.76096221,0.1683463944
politeness-refusal-077,45.19182328,63.01998762,0.3512386486
politeness-refusal-080,50.1181953,84.81386013,0.2096578762
politeness-refusal-083,59.03484976,62.90324243,0.2361013055
politeness-refusal-090,57.5997808,73.12821762,0.1856739063
politeness-reminder-017,47.87287402,70.91894337,0.2784050333
politeness-reminder-018,49.07365727,59.74151023,0.3415289126
politeness-reminder-019,55.400106,59.32889769,0.2913280814
politeness-reminder-021,62.94477299,68.69021733,0.1694773865
politeness-reminder-079,55.38655355,66.68075916,0.2396831225
politeness-reminder-094,52.18900781,81.72108035,0.1982873099
politeness-request-001,54.50628759,60.85606397,0.2871431499
politeness-request-006,51.42514798,81.65837169,0.2049222859
politeness-request-025,63.25857306,87.65796489,0.1020691378
politeness-request-029,46.47460828,88.753438,0.2373739346
politeness-request-031,51.86868908,67.66129906,0.2628628118
politeness-request-037,56.10643947,78.22207936,0.1763200233
politeness-request-053,61.10158032,82.10228896,0.126209325
politeness-request-056,69.42932631,81.97112435,0.07148195464
politeness-request-061,50.38752115,81.99545603,0.2129571545
politeness-request-074,64.23878172,78.38823317,0.114704605
politeness-request-093,59.23506014,65.31924421,0.2180038742
politeness-request-097,52.01330864,61.58537465,0.3026228511
