scenario_id,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
politeness-apology-003,119.0152941,0.6104885859,0.5766448413,0.2004421126,0.4008842251,58.52801508,6.150900547,-0.5220815993
politeness-apology-013,53.86929952,0.3505618113,0.1212347132,0.3289311902,0.6578623803,111.1276542,3.239517675,0.3604470628
politeness-apology-043,52.74744949,0.5319399528,0.3424061548,0.407084928,0.814169856,85.37107672,4.216884849,-0.0807020945
politeness-apology-057,31.28985712,1.478996279,0.6872411927,1.309629542,2.619259084,34.0572089,10.5704493,-0.8284788144
politeness-apology-065,37.0708883,1.817558954,-1.050726353,1.483069345,2.966138689,25.90545726,13.8966858,-0.8995161708
politeness-apology-067,38.32695961,1.288034102,0.5266485352,1.175445945,2.350891889,39.83562111,9.037137868,-0.7678854153
politeness-apology-081,37.28112011,1.665214016,0.9918243899,1.337618069,2.675236137,27.93176387,12.88855232,-0.8835060815
politeness-apology-098,26.47713125,1.054079922,0.5525683752,0.8976372719,1.795274544,46.19064835,7.793785384,-0.6922609682
politeness-bad-news-delivery-020,26.6001401,3.470782346,-1.119788461,3.285179431,6.570358863,15.56207593,23.13316048,-0.9633403538
politeness-bad-news-delivery-028,64.78945805,1.671683283,1.448534421,0.834429763,1.668859526,18.15594409,19.82821704,-0.9502119314
politeness-bad-news-delivery-066,35.33527541,1.385335794,-0.5689481724,1.263112521,2.526225042,37.11616217,9.699278669,-0.7974137423
politeness-bad-news-delivery-073,29.46700512,7.955361494,2.580821205,7.525100558,15.05020112,6.807438807,52.88332517,-0.9929501272
politeness-complaint-030,234.3942335,0.4619302608,0.4277236853,0.1744477426,0.3488954852,101.8555035,3.534418736,0.2054442031
politeness-complaint-032,173.9470287,0.8908797636,0.8777555927,0.1523544314,0.3047088627,15.65472926,22.99624568,-0.9629052537
politeness-complaint-040,41.31829756,2.144040539,1.572117112,1.45786063,2.915721261,18.54035181,19.41710728,-0.9480999513
politeness-complaint-049,31.63245442,0.6797289673,-0.1053915203,0.6715088208,1.343017642,72.4762897,4.967141688,-0.3011004435
politeness-complaint-063,90.47683793,0.2399241557,-0.01707098117,0.2393160715,0.4786321431,128.8031027,2.794963728,0.6266460129
politeness-complaint-072,55.67659283,1.979679079,1.731540791,0.9596331297,1.919266259,14.6569661,24.5616997,-0.9674580732
politeness-complaint-089,61.95532731,1.104437475,1.020952936,0.4212329988,0.8424659976,23.47812034,15.33342511,-0.9172122787
politeness-correction-002,40.57262527,0.6781358056,0.5572368058,0.3864651512,0.7729303024,61.49602533,5.854036876,-0.4772197236
politeness-correction-005,32.99986869,1.513569506,0.8858133019,1.227284581,2.454569163,31.02046904,11.60524038,-0.8569832476
politeness-correction-007,35.76372946,0.9471892515,0.6744189659,0.6650763389,1.330152678,45.78189619,7.863370239,-0.6973915911
politeness-correction-024,45.54016645,0.4449055193,-0.1575597695,0.416071917,0.8321438341,97.13180774,3.706303922,0.1241523506
politeness-correction-027,38.02943616,0.4653579632,-0.04005225847,0.4636311578,0.9272623156,94.12563049,3.824675576,0.07194362879
politeness-correction-045,25.48240087,0.9212810238,0.2524918795,0.8860059681,1.772011936,55.94935477,6.434390557,-0.5599254928
politeness-correction-051,84.75462806,0.2962374436,0.08151616002,0.2848012265,0.5696024531,119.6689678,3.008298698,0.4949881324
politeness-correction-076,43.28659798,1.435676088,-1.180397816,0.8172067228,1.634413446,24.28512496,14.82388913,-0.9115100826
politeness-correction-087,41.68830414,0.5676075535,0.3277476979,0.4634218179,0.9268436358,81.14726146,4.436378918,-0.1538953972
politeness-criticism-or-feedback-023,126.8656498,0.7254605395,-0.6980222493,0.1976308018,0.3952616037,35.57592408,10.11920307,-0.8133452997
politeness-criticism-or-feedback-036,37.83084492,0.5399954262,0.3214731516,0.4338779473,0.8677558946,84.52389718,4.259150513,-0.09543057991
politeness-criticism-or-feedback-041,176.0882333,1.24164852,1.235279478,0.1256011935,0.251202387,5.553855116,64.81984,-0.9953056685
politeness-criticism-or-feedback-050,302.6680779,0.5858558781,0.5810616331,0.0747963134,0.1495926268,38.74014794,9.292685216,-0.7799920997
politeness-criticism-or-feedback-054,545.2709337,0.6649076916,-0.6621248928,0.06076894526,0.1215378905,17.55406286,20.50807285,-0.9534327878
politeness-criticism-or-feedback-071,54.58837272,0.5525058913,0.3836678999,0.3975697455,0.795139491,82.08651175,4.385616983,-0.1376777225
politeness-criticism-or-feedback-099,163.8209907,0.6791764271,0.6703887586,0.1089014763,0.2178029527,27.26817373,13.20220428,-0.8888718631
politeness-criticism-or-feedback-100,60.00819359,0.8585061914,0.7088622038,0.4843007915,0.968601583,44.83884347,8.028753021,-0.7090928692
politeness-disagreement-012,57.73221282,0.6640103188,0.5680411977,0.343858839,0.6877176781,60.96105761,5.905409356,-0.4854039635
politeness-disagreement-035,35.41282748,0.8617323697,0.4824802938,0.7139996101,1.42799922,55.39851359,6.4983693,-0.5678650992
politeness-disagreement-047,27.21329153,0.565200364,0.1837375586,0.5345016006,1.069003201,82.5966463,4.358530475,-0.128853642
politeness-disagreement-048,34.62816893,0.6165449362,-0.1369635321,0.6011394591,1.202278918,77.78573175,4.628098134,-0.2115681938
politeness-disagreement-075,42.87542172,1.113693796,0.6989423909,0.8670602084,1.734120417,41.20347012,8.737128182,-0.7523750139
politeness-disagreement-086,45.36323739,0.4857159914,-0.0251610133,0.4850638594,0.9701277188,91.66266092,3.927444353,0.02901483487
politeness-inquiry-sensitive-008,92.58900615,0.2785168344,0.1039151597,0.2584052373,0.5168104745,123.7143473,2.909929267,0.5550527378
politeness-inquiry-sensitive-009,34.72186988,0.5777160399,0.2434025627,0.523937988,1.047875976,80.91764083,4.448968066,-0.1578540444
politeness-inquiry-sensitive-016,74.03008458,0.5932651725,-0.5181534293,0.2889300756,0.5778601513,70.5620382,5.101893443,-0.3327859991
politeness-inquiry-sensitive-092,28.86979906,0.9056540369,-0.1749252688,0.888600239,1.777200478,57.31196361,6.281411024,-0.5400645976
politeness-refusal-038,73.49088095,0.4381823459,-0.25011619,0.3597855747,0.7195711495,99.15711637,3.630601748,0.1591423105
politeness-refusal-058,26.11058941,2.405374879,0.8940037646,2.233066407,4.466132814,21.9683762,16.38719206,-0.9273904735
politeness-refusal-064,33.1466807,0.7594537028,-0.1020055398,0.7525721205,1.505144241,66.52931498,5.411148455,-0.3982798094
politeness-refusal-069,108.4833682,0.3544805749,0.3077980227,0.1758318948,0.3516637896,125.2669089,2.873863523,0.5773861684
politeness-refusal-077,38.12538025,1.118528498,0.7330780568,0.8448091878,1.689618376,40.16021176,8.96409616,-0.7642440734
politeness-refusal-080,45.94961811,0.5629177591,-0.2044177067,0.5244900425,1.048980085,82.73356985,4.351317134,-0.1264834316
politeness-refusal-083,47.65873024,0.6669247433,-0.3416257773,0.5727830667,1.145566133,71.2181677,5.054889948,-0.3219655097
politeness-refusal-090,22.68927057,0.8644114933,0.149417209,0.8513998634,1.702799727,59.71558805,6.028576654,-0.5042927074
politeness-reminder-017,74.75605677,0.5023239289,0.3748939595,0.3343409168,0.6686818336,89.60083081,4.017819888,-0.006966760263
