intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,33.70606914,0.9576441572,0.811931102,0.5077895406,1.015579081,37.27874259,9.656978078,-0.7956982549
bad-news-delivery,4,27.49128682,2.466114496,-1.52282197,1.93977678,3.87955356,18.39842102,19.56689651,-0.9488847101
complaint,7,67.14162579,1.126167669,1.066987481,0.3602656444,0.7205312889,19.48415514,18.47655171,-0.9427337677
correction,9,16.59763991,0.870542648,0.067953989,0.8678863735,1.735772747,59.66592435,6.033594617,-0.5050410238
criticism-or-feedback,8,16.34546125,4.923185775,0.9680398134,4.827075418,9.654150837,11.37772295,31.64077748,-0.9803479513
disagreement,6,21.77095199,0.5388221006,0.2515866053,0.4764802578,0.9529605157,85.16202016,4.2272365,-0.08433837342
inquiry-sensitive,4,18.31874611,1.009896125,0.03539038759,1.009275831,2.018551662,52.66308863,6.835907452,-0.6065007384
refusal,8,40.71218017,0.4063452938,-0.1135669979,0.3901525788,0.7803051577,102.2742702,3.519946897,0.2125916032
reminder,6,36.87287396,1.15965605,0.9088057233,0.7203293074,1.440658615,33.34307166,10.7968457,-0.8353944016
request,12,19.40148804,1.750439901,0.7161554689,1.597235484,3.194470969,29.57903574,12.17078214,-0.8696756023
ALL,72,14.42992469,1.597166841,0.7544308876,1.407755644,2.815511287,31.45900833,11.44346307,-0.8530137622
