scenario_id,theta1_deg,theta2_deg,overlap
politeness-apology-003,24.27019455,76.8278179,0.4414872091
politeness-apology-013,26.60953344,83.30110358,0.4064930733
politeness-apology-043,33.81443737,88.16126352,0.3456658702
politeness-apology-057,35.81511891,75.45416386,0.3603263308
politeness-apology-065,18.64354564,62.58063607,0.5549325342
politeness-apology-067,23.79467296,66.10173271,0.5006685742
politeness-apology-081,20.03904583,62.41437686,0.5485105133
politeness-apology-098,31.72738748,68.26279628,0.430305575
politeness-bad-news-delivery-020,28.85779014,68.73515467,0.4492988333
politeness-bad-news-delivery-028,19.64258732,67.04342373,0.5195640358
politeness-bad-news-delivery-066,31.98334336,65.22813113,0.4475065663
politeness-bad-news-delivery-073,25.7437083,61.03876944,0.5229050125
politeness-complaint-030,19.35200603,64.95898154,0.5346741264
politeness-complaint-032,18.9391346,71.89042532,0.4956385338
politeness-complaint-040,18.64529368,56.1029872,0.6044089237
politeness-complaint-049,53.90036421,76.59872823,0.2004316971
politeness-complaint-063,21.58948935,76.57500647,0.4592569042
politeness-complaint-072,19.08107925,60.34788254,0.5689464483
politeness-complaint-089,16.90762874,56.31003128,0.6115544334
politeness-correction-002,22.18875339,69.11188647,0.4922487021
politeness-correction-005,33.75442968,56.47222346,0.4981755337
politeness-correction-007,22.10986369,73.85600767,0.4678241635
politeness-correction-024,27.66985039,86.40913971,0.3941387697
politeness-correction-027,47.6341178,73.49866041,0.2673840876
politeness-correction-045,36.77900094,62.9264816,0.4243343513
politeness-correction-051,27.90668361,83.14954913,0.3975862526
politeness-correction-076,19.4919995,65.41581302,0.5308708331
politeness-correction-087,25.96587564,86.39699551,0.4061245344
politeness-criticism-or-feedback-023,24.4317576,66.37699314,0.4947507833
politeness-criticism-or-feedback-036,36.56160243,82.69005352,0.3306732662
politeness-criticism-or-feedback-041,21.40347687,69.96745567,0.4920834158
politeness-criticism-or-feedback-050,20.86357152,72.35928267,0.4824995418
politeness-criticism-or-feedback-054,17.72998933,79.70809152,0.469590517
politeness-criticism-or-feedback-071,23.24808883,85.14814067,0.4256776085
politeness-criticism-or-feedback-099,26.77411223,73.50166728,0.4388609314
politeness-criticism-or-feedback-100,23.90763815,82.61698671,0.4261370916
politeness-disagreement-012,30.57659512,72.24979065,0.4170895419
politeness-disagreement-035,36.94607923,64.4280652,0.4125197867
politeness-disagreement-047,43.38598665,75.63993075,0.2948331437
politeness-disagreement-048,33.51927394,63.89287719,0.44435029
politeness-disagreement-075,26.74551912,60.16588646,0.5224855443
politeness-disagreement-086,45.42204484,73.29508751,0.2876287333
politeness-inquiry-sensitive-008,21.35684662,87.66443807,0.4345184858
politeness-inquiry-sensitive-009,40.46355916,84.38239313,0.2942137771
politeness-inquiry-sensitive-016,21.08805456,61.30914556,0.55051123
politeness-inquiry-sensitive-092,39.03413417,59.46083651,0.4307831417
politeness-refusal-038,21.88156757,67.44050308,0.5041421748
politeness-refusal-058,21.91053922,59.74839981,0.5572826511
politeness-refusal-064,51.08587658,62.48230147,0.3040217092
politeness-refusal-069,26.00323146,81.57816657,0.4146184112
politeness-refusal-077,35.29338956,74.27903156,0.3698023867
politeness-refusal-080,30.43684752,79.83121606,0.387268808
politeness-refusal-083,28.64959161,67.04970495,0.461086729
politeness-refusal-090,51.85818066,67.91178363,0.26142178
politeness-reminder-017,25.01880807,79.34932117,0.4276504809
politeness-reminder-018,31.6974949,60.61052212,0.4823740332
politeness-reminder-019,30.86823684,72.12636615,0.4154814427
politeness-reminder-021,31.75003898,67.68639719,0.4336260078
politeness-reminder-079,26.07512801,64.18137681,0.4982386601
politeness-reminder-094,19.63679987,72.09315219,0.4908020001
politeness-request-001,60.72234813,70.53405929,0.1751077669
politeness-request-006,22.24134058,56.47372304,0.5808939099
politeness-request-025,21.32126414,75.34226242,0.4659143514
politeness-request-029,25.91013908,69.95558077,0.4632708401
politeness-request-031,28.67473661,89.66366983,0.3848956035
politeness-request-037,36.19209941,53.72446477,0.5006942915
politeness-request-053,22.68237216,68.20092821,0.4945992111
politeness-request-056,25.92815341,77.31897419,0.4285041538
politeness-request-061,36.51528315,57.92129469,0.4639903207
politeness-request-074,27.94907704,89.71203608,0.3901790479
politeness-request-093,35.43636492,68.59336703,0.3985237709
politeness-request-097,19.11170842,66.49323302,0.5259446243
