scenario_id,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
politeness-apology-003,34.48754833,0.7789103113,0.1669175106,0.7608152323,1.521630465,64.88089685,5.548628602,-0.4245013274
politeness-apology-013,43.77860203,0.6375041801,0.2468885992,0.5877564115,1.175512823,75.09802537,4.793734566,-0.2571660981
politeness-apology-043,44.00406372,0.7626028006,-0.01746442918,0.7624027972,1.524805594,66.49615358,5.413846977,-0.3988106328
politeness-apology-057,40.60909026,0.6068099308,0.2264968945,0.5629542156,1.125908431,78.14042492,4.607090381,-0.2055137491
politeness-apology-065,40.25221865,0.7640646029,0.1061725825,0.7566519015,1.513303803,66.19546987,5.438438623,-0.403617637
politeness-apology-067,34.93382658,0.8234800529,-0.1117618899,0.8158606974,1.631721395,62.31195022,5.777382969,-0.4646573684
politeness-apology-081,42.58303924,0.7295654792,0.3314022055,0.649952588,1.299905176,66.52533312,5.411472339,-0.3983435553
politeness-apology-098,34.30223432,0.6298720426,0.3202268023,0.5423961514,1.084792303,74.86169614,4.8088678,-0.2611498964
politeness-bad-news-delivery-020,32.57281485,0.8795375611,0.1398426653,0.8683492099,1.73669842,58.91139007,6.11087261,-0.5163630977
politeness-bad-news-delivery-028,45.10671016,0.6770850126,0.2808505479,0.616090159,1.232180318,71.30758494,5.048551291,-0.320487594
politeness-bad-news-delivery-066,37.2138709,0.7998591721,0.3137390315,0.7357598217,1.471519643,62.0872336,5.798293452,-0.4681267196
politeness-bad-news-delivery-073,45.44114972,0.6252792911,0.2637294633,0.5669399987,1.133879997,76.03614484,4.734590381,-0.2413097398
politeness-complaint-030,45.22459704,0.8685104009,-0.07628859305,0.8651533778,1.730306756,59.76147741,6.023947459,-0.5036009246
politeness-complaint-032,42.30363997,0.7627247465,0.3416310208,0.6819364226,1.363872845,64.05796373,5.619910142,-0.4374616505
politeness-complaint-040,37.16597953,0.6955159968,0.3200235497,0.617517149,1.235034298,69.26735064,5.19725378,-0.3540078386
politeness-complaint-049,44.85804265,0.84327344,-0.1165448621,0.8351810521,1.670362104,61.09656222,5.89231189,-0.4833349107
politeness-complaint-063,51.77465699,0.5789237203,0.02416457756,0.5784191795,1.156838359,81.62528791,4.41039792,-0.1456463918
politeness-complaint-072,44.08892041,0.6747805921,0.1888216845,0.6478234473,1.295646895,72.41389124,4.971421834,-0.3021387828
politeness-complaint-089,44.06689148,0.6373605964,0.147563772,0.6200431138,1.240086228,75.85789717,4.745715521,-0.24432764
politeness-correction-002,34.04834974,0.788877891,0.3980941052,0.6810649091,1.362129818,61.33521103,5.869385529,-0.479684358
politeness-correction-005,43.24729451,0.5928794678,-0.02729638549,0.5922507667,1.184501533,80.27454914,4.484609429,-0.1689272138
politeness-correction-007,30.64359246,0.887691009,0.1542885085,0.8741798348,1.74835967,58.39066724,6.165368834,-0.5241246346
politeness-correction-024,36.80865956,0.6584397724,0.37635719,0.54027604,1.08055208,71.23631444,5.053602265,-0.321665638
politeness-correction-027,52.04896876,0.6266069934,0.27433543,0.5633616921,1.126723384,75.79198077,4.749842877,-0.245443069
politeness-correction-045,40.05162688,0.8176811073,0.1334073132,0.806724787,1.613449574,62.57559857,5.753041253,-0.4605778505
politeness-correction-051,41.90038003,0.5955315097,-0.06496746294,0.5919772021,1.183954404,79.97407307,4.501458862,-0.1740937955
politeness-correction-076,41.23997442,0.7111163139,-0.2501298166,0.6656737088,1.331347418,68.98813192,5.218288856,-0.3585613209
politeness-correction-087,45.16843368,0.797453017,-0.1156852794,0.7890172561,1.578034512,63.93539682,5.630683751,-0.4393842926
politeness-criticism-or-feedback-023,32.105735,0.8918893889,-0.1110543666,0.8849483655,1.769896731,58.35104644,6.169555166,-0.5247134309
politeness-criticism-or-feedback-036,45.90931999,0.6742277227,0.3157567043,0.5957186632,1.191437326,71.04638996,5.067111787,-0.3248025015
politeness-criticism-or-feedback-041,44.77892266,0.5422978898,0.01873830598,0.5419740558,1.083948112,85.34950143,4.217950825,-0.08107742037
politeness-criticism-or-feedback-050,34.84148101,0.7364095947,0.2263917034,0.7007466644,1.401493329,67.35775317,5.344596324,-0.3849759438
politeness-criticism-or-feedback-054,45.45188674,0.9275364969,-0.3590453031,0.8552253642,1.710450728,54.48678648,6.60710648,-0.5808906911
politeness-criticism-or-feedback-071,43.74696945,0.7662823322,0.01076212079,0.7662067537,1.532413507,66.24689443,5.434217002,-0.4027963014
politeness-criticism-or-feedback-099,33.31986168,0.8407700062,0.368317525,0.7558018286,1.511603657,58.84637204,6.117624375,-0.5173345551
politeness-criticism-or-feedback-100,37.58904536,0.7659560133,0.287332848,0.7100200341,1.420040068,64.62988218,5.570178807,-0.4284639475
politeness-disagreement-012,44.44930354,0.6723816258,0.04989549802,0.6705277697,1.341055539,73.22719474,4.916206353,-0.2885773844
politeness-disagreement-035,37.32533016,0.7394076025,0.06626577719,0.7364322436,1.472864487,68.05448697,5.289878979,-0.3737246937
politeness-disagreement-047,39.03576671,0.6469093434,-0.07805849635,0.6421826607,1.284365321,75.29847814,4.78097312,-0.2537836365
politeness-disagreement-048,34.71323194,0.8290962792,0.1410885673,0.8170034616,1.634006923,61.83665783,5.821789415,-0.4719868104
politeness-disagreement-075,34.76971565,0.7559091941,0.243806175,0.7155118858,1.431023772,65.81099884,5.470210244,-0.4097479303
politeness-disagreement-086,47.02074327,0.6737621197,0.08018402441,0.6689737784,1.337947557,73.04468901,4.928489735,-0.2916257265
politeness-inquiry-sensitive-008,41.48135274,0.742032649,0.09231640436,0.7362677051,1.47253541,67.79018324,5.310503421,-0.3779994152
politeness-inquiry-sensitive-009,39.93147393,0.6413958197,0.04168226809,0.6400399879,1.280079976,75.84766397,4.746355803,-0.2445008261
politeness-inquiry-sensitive-016,38.75259463,0.6704537388,-0.1500505973,0.6534470401,1.30689408,73.02170059,4.930041304,-0.2920094864
politeness-inquiry-sensitive-092,33.84135116,0.617032483,0.007539767654,0.6169864156,1.233972831,78.03691551,4.613201299,-0.2072814299
